GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_278825,324500,2757500,Erebidae,Chamaita hirta,成蟲,2011,343814,3826_11165
3826_273304,303500,2746500,Erebidae,Chamaita hirta,成蟲,2011,343814,3826_10961
3826_273304,303500,2746500,Erebidae,Chamaita hirta,成蟲,2012,343814,3826_10961
3826_281312,311500,2762500,Erebidae,Chamaita hirta,成蟲,2012,343814,3826_11263
3826_273788,287500,2747500,Erebidae,Chamaita hirta,成蟲,2012,343814,3826_10958
3826_187200,199500,2574500,Erebidae,Chamaita hirta,成蟲,2012,343814,3826_7440
3826_274305,304500,2748500,Erebidae,Chamaita hirta,成蟲,2012,343814,3826_10961
3826_280316,315500,2760500,Erebidae,Chamaita hirta,成蟲,2013,343814,3826_11264
3826_188716,215500,2577500,Erebidae,Chamaita hirta,成蟲,2013,343814,3826_7544
3826_273826,325500,2747500,Erebidae,Chamaita hirta,成蟲,2013,343814,3826_10966
3826_280325,324500,2760500,Erebidae,Chamaita hirta,成蟲,2013,343814,3826_11265
3826_269811,310500,2739500,Erebidae,Chamaita hirta,成蟲,2013,343814,3826_10763
3826_170217,216500,2540500,Erebidae,Chamaita hirta,成蟲,2014,343814,3826_6844
3826_273304,303500,2746500,Erebidae,Chamaita hirta,成蟲,2014,343814,3826_10961
3826_279305,304500,2758500,Erebidae,Chamaita hirta,成蟲,2014,343814,3826_11161
3826_221310,309500,2642500,Erebidae,Chamaita hirta,成蟲,2015,343814,3826_8862
3826_273304,303500,2746500,Erebidae,Chamaita hirta,成蟲,2015,343814,3826_10961
3826_275307,306500,2750500,Erebidae,Chamaita hirta,成蟲,2015,343814,3826_11062
3826_282809,308500,2765500,Erebidae,Chamaita hirta,成蟲,2015,343814,3826_11362
3826_187200,199500,2574500,Erebidae,Chamaita hirta,成蟲,2015,343814,3826_7440
3826_274305,304500,2748500,Erebidae,Chamaita hirta,成蟲,2015,343814,3826_10961
3826_211732,231500,2623500,Erebidae,Chamaita hirta,成蟲,2015,343814,3826_8447
3826_261827,326500,2723500,Erebidae,Chamaita hirta,成蟲,2015,343814,3826_10466
3826_274316,315500,2748500,Erebidae,Chamaita hirta,成蟲,2016,343814,3826_10964
3826_273826,325500,2747500,Erebidae,Chamaita hirta,成蟲,2016,343814,3826_10966
3826_227250,249500,2654500,Erebidae,Chamaita hirta,成蟲,2016,343814,3826_9050
3826_213729,228500,2627500,Erebidae,Chamaita hirta,成蟲,2016,343814,3826_8546
3826_269278,277500,2738500,Erebidae,Chamaita hirta,成蟲,2016,343814,3826_10756
3826_277327,326500,2754500,Erebidae,Chamaita hirta,成蟲,2016,343814,3826_11066
3826_213729,228500,2627500,Erebidae,Chamaita hirta,幼蟲,2016,343814,3826_8546
3826_273781,280500,2747500,Erebidae,Chamaita hirta,成蟲,2016,343814,3826_10957
3826_263753,252500,2727500,Erebidae,Chamaita hirta,成蟲,2016,343814,3826_10551
3826_218230,229500,2636500,Erebidae,Chamaita hirta,成蟲,2017,343814,3826_8746
