GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_288310,309500,2776500,Geometridae,Chiasmia eleonora,成蟲,2011,414106,3826_11562
3826_291302,301500,2782500,Geometridae,Chiasmia eleonora,成蟲,2012,414106,3826_11661
3826_204726,225500,2609500,Geometridae,Chiasmia eleonora,成蟲,2012,414106,3826_8146
3826_282806,305500,2765500,Geometridae,Chiasmia eleonora,成蟲,2012,414106,3826_11362
3826_220741,240500,2641500,Geometridae,Chiasmia eleonora,成蟲,2012,414106,3826_8849
3826_188716,215500,2577500,Geometridae,Chiasmia eleonora,成蟲,2013,414106,3826_7544
3826_257742,241500,2715500,Geometridae,Chiasmia eleonora,成蟲,2013,414106,3826_10349
3826_273304,303500,2746500,Geometridae,Chiasmia eleonora,成蟲,2013,414106,3826_10961
3826_150219,218500,2500500,Geometridae,Chiasmia eleonora,成蟲,2013,414106,3826_6044
3826_175222,221500,2550500,Geometridae,Chiasmia eleonora,成蟲,2013,414106,3826_7045
3826_227759,258500,2655500,Geometridae,Chiasmia eleonora,成蟲,2011,414106,3826_9152
3826_264779,278500,2729500,Geometridae,Chiasmia eleonora,成蟲,2013,414106,3826_10556
3826_224244,243500,2648500,Geometridae,Chiasmia eleonora,成蟲,2014,414106,3826_8949
3826_200731,230500,2601500,Geometridae,Chiasmia eleonora,成蟲,2014,414106,3826_8047
3826_227258,257500,2654500,Geometridae,Chiasmia eleonora,成蟲,2014,414106,3826_9052
3826_287813,312500,2775500,Geometridae,Chiasmia eleonora,成蟲,2014,414106,3826_11563
3826_252226,225500,2704500,Geometridae,Chiasmia eleonora,成蟲,2012,414106,3826_10046
3826_170217,216500,2540500,Geometridae,Chiasmia eleonora,成蟲,2015,414106,3826_6844
3826_174221,220500,2548500,Geometridae,Chiasmia eleonora,成蟲,2015,414106,3826_6945
3826_220810,309500,2641500,Geometridae,Chiasmia eleonora,成蟲,2015,414106,3826_8862
3826_221310,309500,2642500,Geometridae,Chiasmia eleonora,成蟲,2015,414106,3826_8862
3826_281820,319500,2763500,Geometridae,Chiasmia eleonora,成蟲,2014,414106,3826_11264
3826_280801,300500,2761500,Geometridae,Chiasmia eleonora,成蟲,2014,414106,3826_11261
3826_281301,300500,2762500,Geometridae,Chiasmia eleonora,成蟲,2014,414106,3826_11261
3826_280304,303500,2760500,Geometridae,Chiasmia eleonora,成蟲,2015,414106,3826_11261
3826_236247,246500,2672500,Geometridae,Chiasmia eleonora,成蟲,2015,414106,3826_9450
3826_165716,215500,2531500,Geometridae,Chiasmia eleonora,成蟲,2015,414106,3826_6644
3826_211732,231500,2623500,Geometridae,Chiasmia eleonora,成蟲,2015,414106,3826_8447
3826_285313,312500,2770500,Geometridae,Chiasmia eleonora,成蟲,2015,414106,3826_11463
3826_271249,248500,2742500,Geometridae,Chiasmia eleonora,成蟲,2016,414106,3826_10850
3826_275786,285500,2751500,Geometridae,Chiasmia eleonora,成蟲,2016,414106,3826_11058
3826_224749,248500,2649500,Geometridae,Chiasmia eleonora,成蟲,2016,414106,3826_8950
3826_276297,296500,2752500,Geometridae,Chiasmia eleonora,成蟲,2016,414106,3826_11060
