GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_296307,306500,2792500,Geometridae,Chiasmia intermediaria,成蟲,2011,414110,3826_11862
3826_291300,299500,2782500,Geometridae,Chiasmia intermediaria,成蟲,2012,414110,3826_11660
3826_204726,225500,2609500,Geometridae,Chiasmia intermediaria,成蟲,2012,414110,3826_8146
3826_286791,290500,2773500,Geometridae,Chiasmia intermediaria,成蟲,2012,414110,3826_11459
3826_273788,287500,2747500,Geometridae,Chiasmia intermediaria,成蟲,2012,414110,3826_10958
3826_281309,308500,2762500,Geometridae,Chiasmia intermediaria,成蟲,2013,414110,3826_11262
3826_188716,215500,2577500,Geometridae,Chiasmia intermediaria,成蟲,2013,414110,3826_7544
3826_267778,277500,2735500,Geometridae,Chiasmia intermediaria,成蟲,2013,414110,3826_10756
3826_278306,305500,2756500,Geometridae,Chiasmia intermediaria,成蟲,2013,414110,3826_11162
3826_282820,319500,2765500,Geometridae,Chiasmia intermediaria,成蟲,2013,414110,3826_11364
3826_273826,325500,2747500,Geometridae,Chiasmia intermediaria,成蟲,2013,414110,3826_10966
3826_272276,275500,2744500,Geometridae,Chiasmia intermediaria,成蟲,2013,414110,3826_10856
3826_274307,306500,2748500,Geometridae,Chiasmia intermediaria,成蟲,2013,414110,3826_10962
3826_177203,202500,2554500,Geometridae,Chiasmia intermediaria,成蟲,2013,414110,3826_7041
3826_264279,278500,2728500,Geometridae,Chiasmia intermediaria,成蟲,2014,414110,3826_10556
3826_281820,319500,2763500,Geometridae,Chiasmia intermediaria,成蟲,2013,414110,3826_11264
3826_280787,286500,2761500,Geometridae,Chiasmia intermediaria,成蟲,2014,414110,3826_11258
3826_281309,308500,2762500,Geometridae,Chiasmia intermediaria,成蟲,2014,414110,3826_11262
3826_273826,325500,2747500,Geometridae,Chiasmia intermediaria,成蟲,2014,414110,3826_10966
3826_225806,305500,2651500,Geometridae,Chiasmia intermediaria,成蟲,2015,414110,3826_9062
3826_220810,309500,2641500,Geometridae,Chiasmia intermediaria,成蟲,2015,414110,3826_8862
3826_221310,309500,2642500,Geometridae,Chiasmia intermediaria,成蟲,2015,414110,3826_8862
3826_268819,318500,2737500,Geometridae,Chiasmia intermediaria,成蟲,2014,414110,3826_10764
3826_281301,300500,2762500,Geometridae,Chiasmia intermediaria,成蟲,2014,414110,3826_11261
3826_215255,254500,2630500,Geometridae,Chiasmia intermediaria,成蟲,2014,414110,3826_8651
3826_195215,214500,2590500,Geometridae,Chiasmia intermediaria,成蟲,2015,414110,3826_7843
3826_297809,308500,2795500,Geometridae,Chiasmia intermediaria,成蟲,2015,414110,3826_11962
3826_287813,312500,2775500,Geometridae,Chiasmia intermediaria,成蟲,2012,414110,3826_11563
3826_229767,266500,2659500,Geometridae,Chiasmia intermediaria,成蟲,2015,414110,3826_9154
3826_293303,302500,2786500,Geometridae,Chiasmia intermediaria,成蟲,2015,414110,3826_11761
3826_281844,343500,2763500,Geometridae,Chiasmia intermediaria,成蟲,2015,414110,3826_11269
3826_275786,285500,2751500,Geometridae,Chiasmia intermediaria,成蟲,2015,414110,3826_11058
3826_236243,242500,2672500,Geometridae,Chiasmia intermediaria,成蟲,2015,414110,3826_9449
3826_199220,219500,2598500,Geometridae,Chiasmia intermediaria,成蟲,2015,414110,3826_7944
3826_261831,330500,2723500,Geometridae,Chiasmia intermediaria,成蟲,2015,414110,3826_10467
3826_290329,328500,2780500,Geometridae,Chiasmia intermediaria,成蟲,2015,414110,3826_11666
3826_281309,308500,2762500,Geometridae,Chiasmia intermediaria,成蟲,2015,414110,3826_11262
3826_237230,229500,2674500,Geometridae,Chiasmia intermediaria,成蟲,2016,414110,3826_9446
3826_273279,278500,2746500,Geometridae,Chiasmia intermediaria,成蟲,2013,414110,3826_10956
3826_167728,227500,2535500,Geometridae,Chiasmia intermediaria,成蟲,2012,414110,3826_6746
3826_213712,211500,2627500,Geometridae,Chiasmia intermediaria,成蟲,2016,414110,3826_8543
3826_227258,257500,2654500,Geometridae,Chiasmia intermediaria,幼蟲,2014,414110,3826_9052
3826_289826,325500,2779500,Geometridae,Chiasmia intermediaria,成蟲,2016,414110,3826_11566
3826_213711,210500,2627500,Geometridae,Chiasmia intermediaria,成蟲,2016,414110,3826_8543
3826_152175,174500,2504500,Geometridae,Chiasmia intermediaria,成蟲,2016,414110,3826_6035
3826_289308,307500,2778500,Geometridae,Chiasmia intermediaria,成蟲,2016,414110,3826_11562
