GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_204726,225500,2609500,Geometridae,Chiasmia perfusaria,成蟲,2012,414109,3826_8146
3826_273788,287500,2747500,Geometridae,Chiasmia perfusaria,成蟲,2012,414109,3826_10958
3826_175725,224500,2551500,Geometridae,Chiasmia perfusaria,成蟲,2014,414109,3826_7045
3826_227258,257500,2654500,Geometridae,Chiasmia perfusaria,成蟲,2014,414109,3826_9052
3826_287813,312500,2775500,Geometridae,Chiasmia perfusaria,成蟲,2014,414109,3826_11563
3826_288310,309500,2776500,Geometridae,Chiasmia perfusaria,成蟲,2014,414109,3826_11562
3826_252226,225500,2704500,Geometridae,Chiasmia perfusaria,成蟲,2013,414109,3826_10046
3826_220810,309500,2641500,Geometridae,Chiasmia perfusaria,成蟲,2015,414109,3826_8862
3826_225806,305500,2651500,Geometridae,Chiasmia perfusaria,成蟲,2015,414109,3826_9062
3826_221310,309500,2642500,Geometridae,Chiasmia perfusaria,成蟲,2015,414109,3826_8862
3826_264279,278500,2728500,Geometridae,Chiasmia perfusaria,成蟲,2014,414109,3826_10556
3826_271249,248500,2742500,Geometridae,Chiasmia perfusaria,成蟲,2015,414109,3826_10850
3826_290805,304500,2781500,Geometridae,Chiasmia perfusaria,成蟲,2013,414109,3826_11661
3826_167728,227500,2535500,Geometridae,Chiasmia perfusaria,成蟲,2016,414109,3826_6746
3826_225806,305500,2651500,Geometridae,Chiasmia perfusaria,成蟲,2016,414109,3826_9062
3826_224749,248500,2649500,Geometridae,Chiasmia perfusaria,成蟲,2016,414109,3826_8950
3826_281810,309500,2763500,Geometridae,Chiasmia perfusaria,成蟲,2017,414109,3826_11262
3826_190782,281500,2581500,Geometridae,Chiasmia perfusaria,成蟲,2017,414109,3826_7657
3826_271249,248500,2742500,Geometridae,Chiasmia perfusaria,成蟲,2017,414109,3826_10850
3826_197218,217500,2594500,Geometridae,Chiasmia perfusaria,成蟲,2017,414109,3826_7844
3826_195214,213500,2590500,Geometridae,Chiasmia perfusaria,成蟲,2017,414109,3826_7843
3826_200230,229500,2600500,Geometridae,Chiasmia perfusaria,成蟲,2017,414109,3826_8046
3826_190782,281500,2581500,Geometridae,Chiasmia perfusaria,成蟲,2016,414109,3826_7657
3826_280321,320500,2760500,Geometridae,Chiasmia perfusaria,成蟲,2018,414109,3826_11265
3826_281810,309500,2763500,Geometridae,Chiasmia perfusaria,成蟲,2018,414109,3826_11262
3826_266755,254500,2733500,Geometridae,Chiasmia perfusaria,成蟲,2018,414109,3826_10651
3826_154218,217500,2508500,Geometridae,Chiasmia perfusaria,成蟲,2018,414109,3826_6144
3826_281274,273500,2762500,Geometridae,Chiasmia perfusaria,成蟲,2018,414109,3826_11255
3826_173684,183500,2547500,Geometridae,Chiasmia perfusaria,成蟲,2018,414109,3826_6937
3826_235232,231500,2670500,Geometridae,Chiasmia perfusaria,成蟲,2018,414109,3826_9447
3826_271249,248500,2742500,Geometridae,Chiasmia perfusaria,成蟲,2018,414109,3826_10850
3826_152714,213500,2505500,Geometridae,Chiasmia perfusaria,成蟲,2018,414109,3826_6143
3826_214744,243500,2629500,Geometridae,Chiasmia perfusaria,成蟲,2018,414109,3826_8549
3826_162692,191500,2525500,Geometridae,Chiasmia perfusaria,成蟲,2018,414109,3826_6539
3826_293308,307500,2786500,Geometridae,Chiasmia perfusaria,成蟲,2019,414109,3826_11762
3826_237245,244500,2674500,Geometridae,Chiasmia perfusaria,成蟲,2018,414109,3826_9449
3826_277807,306500,2755500,Geometridae,Chiasmia perfusaria,成蟲,2019,414109,3826_11162
3826_263260,259500,2726500,Geometridae,Chiasmia perfusaria,成蟲,2019,414109,3826_10552
3826_168208,207500,2536500,Geometridae,Chiasmia perfusaria,成蟲,2019,414109,3826_6742
3826_271249,248500,2742500,Geometridae,Chiasmia perfusaria,成蟲,2019,414109,3826_10850
3826_254738,237500,2709500,Geometridae,Chiasmia perfusaria,成蟲,2019,414109,3826_10148
3826_180757,256500,2561500,Geometridae,Chiasmia perfusaria,成蟲,2019,414109,3826_7252
3826_257745,244500,2715500,Geometridae,Chiasmia perfusaria,成蟲,2019,414109,3826_10349
3826_197218,217500,2594500,Geometridae,Chiasmia perfusaria,成蟲,2019,414109,3826_7844
3826_216751,250500,2633500,Geometridae,Chiasmia perfusaria,成蟲,2015,414109,3826_8651
3826_273788,287500,2747500,Geometridae,Chiasmia perfusaria,成蟲,2020,414109,3826_10958
3826_272276,275500,2744500,Geometridae,Chiasmia perfusaria,成蟲,2020,414109,3826_10856
3826_271250,249500,2742500,Geometridae,Chiasmia perfusaria,成蟲,2021,414109,3826_10850
3826_150245,244500,2500500,Geometridae,Chiasmia perfusaria,成蟲,2021,414109,3826_6049
3826_263324,323500,2726500,Geometridae,Chiasmia perfusaria,成蟲,2021,414109,3826_10565
3826_272276,275500,2744500,Geometridae,Chiasmia perfusaria,成蟲,2021,414109,3826_10856
3826_281310,309500,2762500,Geometridae,Chiasmia perfusaria,成蟲,2021,414109,3826_11262
3826_278306,305500,2756500,Geometridae,Chiasmia perfusaria,成蟲,2021,414109,3826_11162
3826_147746,245500,2495500,Geometridae,Chiasmia perfusaria,成蟲,2022,414109,3826_5950
3826_273792,291500,2747500,Geometridae,Chiasmia perfusaria,成蟲,2022,414109,3826_10959
3826_173186,185500,2546500,Geometridae,Chiasmia perfusaria,成蟲,2022,414109,3826_6938
3826_269273,272500,2738500,Geometridae,Chiasmia perfusaria,成蟲,2022,414109,3826_10755
3826_281810,309500,2763500,Geometridae,Chiasmia perfusaria,成蟲,2022,414109,3826_11262
