GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263798,297500,2727500,Geometridae,Chlorissa arcana,成蟲,2011,344920,3826_10560
3826_229767,266500,2659500,Geometridae,Chlorissa arcana,成蟲,2012,344920,3826_9154
3826_175725,224500,2551500,Geometridae,Chlorissa arcana,成蟲,2014,344920,3826_7045
3826_269811,310500,2739500,Geometridae,Chlorissa arcana,成蟲,2014,344920,3826_10763
3826_259784,283500,2719500,Geometridae,Chlorissa arcana,成蟲,2014,344920,3826_10357
3826_271279,278500,2742500,Geometridae,Chlorissa arcana,成蟲,2015,344920,3826_10856
3826_238290,289500,2676500,Geometridae,Chlorissa arcana,成蟲,2014,344920,3826_9558
3826_175725,224500,2551500,Geometridae,Chlorissa arcana,成蟲,2013,344920,3826_7045
3826_232753,252500,2665500,Geometridae,Chlorissa arcana,成蟲,2015,344920,3826_9351
3826_139724,223500,2479500,Geometridae,Chlorissa arcana,成蟲,2015,344920,3826_5545
3826_252226,225500,2704500,Geometridae,Chlorissa arcana,成蟲,2016,344920,3826_10046
3826_255762,261500,2711500,Geometridae,Chlorissa arcana,成蟲,2013,344920,3826_10253
3826_177231,230500,2554500,Geometridae,Chlorissa arcana,成蟲,2013,344920,3826_7047
3826_175205,204500,2550500,Geometridae,Chlorissa arcana,成蟲,2013,344920,3826_7041
3826_237301,300500,2674500,Geometridae,Chlorissa arcana,成蟲,2013,344920,3826_9461
3826_200219,218500,2600500,Geometridae,Chlorissa arcana,成蟲,2016,344920,3826_8044
3826_231268,267500,2662500,Geometridae,Chlorissa arcana,成蟲,2016,344920,3826_9254
3826_263260,259500,2726500,Geometridae,Chlorissa arcana,成蟲,2017,344920,3826_10552
3826_174221,220500,2548500,Geometridae,Chlorissa arcana,成蟲,2014,344920,3826_6945
3826_199233,232500,2598500,Geometridae,Chlorissa arcana,成蟲,2017,344920,3826_7947
3826_253242,241500,2706500,Geometridae,Chlorissa arcana,成蟲,2016,344920,3826_10149
3826_197723,222500,2595500,Geometridae,Chlorissa arcana,成蟲,2017,344920,3826_7945
3826_265289,288500,2730500,Geometridae,Chlorissa arcana,成蟲,2017,344920,3826_10658
3826_232753,252500,2665500,Geometridae,Chlorissa arcana,成蟲,2018,344920,3826_9351
3826_255812,311500,2711500,Geometridae,Chlorissa arcana,成蟲,2010,344920,3826_10263
3826_262249,248500,2724500,Geometridae,Chlorissa arcana,成蟲,2018,344920,3826_10450
3826_200220,219500,2600500,Geometridae,Chlorissa arcana,成蟲,2018,344920,3826_8044
3826_276297,296500,2752500,Geometridae,Chlorissa arcana,成蟲,2018,344920,3826_11060
3826_247282,281500,2694500,Geometridae,Chlorissa arcana,成蟲,2018,344920,3826_9857
3826_254738,237500,2709500,Geometridae,Chlorissa arcana,成蟲,2019,344920,3826_10148
3826_255743,242500,2711500,Geometridae,Chlorissa arcana,成蟲,2018,344920,3826_10249
3826_165724,223500,2531500,Geometridae,Chlorissa arcana,成蟲,2012,344920,3826_6645
3826_256737,236500,2713500,Geometridae,Chlorissa arcana,成蟲,2019,344920,3826_10248
3826_255743,242500,2711500,Geometridae,Chlorissa arcana,成蟲,2019,344920,3826_10249
3826_264779,278500,2729500,Geometridae,Chlorissa arcana,成蟲,2019,344920,3826_10556
3826_154218,217500,2508500,Geometridae,Chlorissa arcana,成蟲,2018,344920,3826_6144
3826_257745,244500,2715500,Geometridae,Chlorissa arcana,成蟲,2019,344920,3826_10349
3826_239300,299500,2678500,Geometridae,Chlorissa arcana,成蟲,2019,344920,3826_9560
3826_259282,281500,2718500,Geometridae,Chlorissa arcana,成蟲,2019,344920,3826_10357
