GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_232268,267500,2664500,Geometridae,Chlorodontopera taiwana,成蟲,2011,344729,3826_9254
3826_288310,309500,2776500,Geometridae,Chlorodontopera taiwana,成蟲,2010,344729,3826_11562
3826_274810,309500,2749500,Geometridae,Chlorodontopera taiwana,成蟲,2012,344729,3826_10962
3826_293303,302500,2786500,Geometridae,Chlorodontopera taiwana,成蟲,2012,344729,3826_11761
3826_291802,301500,2783500,Geometridae,Chlorodontopera taiwana,成蟲,2012,344729,3826_11661
3826_273788,287500,2747500,Geometridae,Chlorodontopera taiwana,成蟲,2012,344729,3826_10958
3826_167728,227500,2535500,Geometridae,Chlorodontopera taiwana,成蟲,2012,344729,3826_6746
3826_226305,304500,2652500,Geometridae,Chlorodontopera taiwana,成蟲,2013,344729,3826_9061
3826_269811,310500,2739500,Geometridae,Chlorodontopera taiwana,成蟲,2013,344729,3826_10763
3826_292806,305500,2785500,Geometridae,Chlorodontopera taiwana,成蟲,2013,344729,3826_11762
3826_270801,300500,2741500,Geometridae,Chlorodontopera taiwana,成蟲,2011,344729,3826_10861
3826_293303,302500,2786500,Geometridae,Chlorodontopera taiwana,幼蟲,2013,344729,3826_11761
3826_288310,309500,2776500,Geometridae,Chlorodontopera taiwana,成蟲,2014,344729,3826_11562
3826_293805,304500,2787500,Geometridae,Chlorodontopera taiwana,成蟲,2014,344729,3826_11761
3826_288836,335500,2777500,Geometridae,Chlorodontopera taiwana,成蟲,2014,344729,3826_11568
3826_280809,308500,2761500,Geometridae,Chlorodontopera taiwana,成蟲,2014,344729,3826_11262
3826_241751,250500,2683500,Geometridae,Chlorodontopera taiwana,成蟲,2014,344729,3826_9651
3826_232753,252500,2665500,Geometridae,Chlorodontopera taiwana,成蟲,2014,344729,3826_9351
3826_287813,312500,2775500,Geometridae,Chlorodontopera taiwana,成蟲,2013,344729,3826_11563
3826_273788,287500,2747500,Geometridae,Chlorodontopera taiwana,成蟲,2015,344729,3826_10958
3826_280316,315500,2760500,Geometridae,Chlorodontopera taiwana,成蟲,2015,344729,3826_11264
3826_269811,310500,2739500,Geometridae,Chlorodontopera taiwana,成蟲,2010,344729,3826_10763
3826_140225,224500,2480500,Geometridae,Chlorodontopera taiwana,成蟲,2012,344729,3826_5645
3826_290310,309500,2780500,Geometridae,Chlorodontopera taiwana,成蟲,2015,344729,3826_11662
3826_292806,305500,2785500,Geometridae,Chlorodontopera taiwana,成蟲,2012,344729,3826_11762
3826_290315,314500,2780500,Geometridae,Chlorodontopera taiwana,成蟲,2016,344729,3826_11663
3826_285329,328500,2770500,Geometridae,Chlorodontopera taiwana,成蟲,2015,344729,3826_11466
3826_139724,223500,2479500,Geometridae,Chlorodontopera taiwana,成蟲,2015,344729,3826_5545
3826_293303,302500,2786500,Geometridae,Chlorodontopera taiwana,成蟲,2016,344729,3826_11761
3826_287810,309500,2775500,Geometridae,Chlorodontopera taiwana,成蟲,2016,344729,3826_11562
3826_264283,282500,2728500,Geometridae,Chlorodontopera taiwana,成蟲,2016,344729,3826_10557
3826_293303,302500,2786500,Geometridae,Chlorodontopera taiwana,幼蟲,2016,344729,3826_11761
3826_276297,296500,2752500,Geometridae,Chlorodontopera taiwana,成蟲,2016,344729,3826_11060
3826_277327,326500,2754500,Geometridae,Chlorodontopera taiwana,成蟲,2016,344729,3826_11066
3826_224769,268500,2649500,Geometridae,Chlorodontopera taiwana,成蟲,2016,344729,3826_8954
3826_290310,309500,2780500,Geometridae,Chlorodontopera taiwana,成蟲,2016,344729,3826_11662
3826_182252,251500,2564500,Geometridae,Chlorodontopera taiwana,成蟲,2014,344729,3826_7251
3826_293303,302500,2786500,Geometridae,Chlorodontopera taiwana,成蟲,2017,344729,3826_11761
3826_288836,335500,2777500,Geometridae,Chlorodontopera taiwana,成蟲,2017,344729,3826_11568
3826_224749,248500,2649500,Geometridae,Chlorodontopera taiwana,成蟲,2017,344729,3826_8950
3826_281812,311500,2763500,Geometridae,Chlorodontopera taiwana,成蟲,2017,344729,3826_11263
3826_175223,222500,2550500,Geometridae,Chlorodontopera taiwana,成蟲,2017,344729,3826_7045
3826_263798,297500,2727500,Geometridae,Chlorodontopera taiwana,成蟲,2017,344729,3826_10560
3826_228252,251500,2656500,Geometridae,Chlorodontopera taiwana,幼蟲,2017,344729,3826_9151
3826_290310,309500,2780500,Geometridae,Chlorodontopera taiwana,成蟲,2017,344729,3826_11662
3826_293308,307500,2786500,Geometridae,Chlorodontopera taiwana,成蟲,2017,344729,3826_11762
3826_207230,229500,2614500,Geometridae,Chlorodontopera taiwana,成蟲,2017,344729,3826_8246
3826_292307,306500,2784500,Geometridae,Chlorodontopera taiwana,成蟲,2017,344729,3826_11662
3826_293308,307500,2786500,Geometridae,Chlorodontopera taiwana,成蟲,2018,344729,3826_11762
3826_264279,278500,2728500,Geometridae,Chlorodontopera taiwana,成蟲,2018,344729,3826_10556
3826_290310,309500,2780500,Geometridae,Chlorodontopera taiwana,成蟲,2018,344729,3826_11662
3826_293303,302500,2786500,Geometridae,Chlorodontopera taiwana,成蟲,2018,344729,3826_11761
3826_281334,333500,2762500,Geometridae,Chlorodontopera taiwana,成蟲,2018,344729,3826_11267
3826_280320,319500,2760500,Geometridae,Chlorodontopera taiwana,成蟲,2018,344729,3826_11264
3826_293807,306500,2787500,Geometridae,Chlorodontopera taiwana,成蟲,2018,344729,3826_11762
3826_282325,324500,2764500,Geometridae,Chlorodontopera taiwana,成蟲,2018,344729,3826_11265
3826_224749,248500,2649500,Geometridae,Chlorodontopera taiwana,成蟲,2018,344729,3826_8950
3826_288835,334500,2777500,Geometridae,Chlorodontopera taiwana,成蟲,2018,344729,3826_11567
3826_216751,250500,2633500,Geometridae,Chlorodontopera taiwana,成蟲,2014,344729,3826_8651
3826_287327,326500,2774500,Geometridae,Chlorodontopera taiwana,成蟲,2018,344729,3826_11466
3826_130734,233500,2461500,Geometridae,Chlorodontopera taiwana,成蟲,2017,344729,3826_5247
3826_263798,297500,2727500,Geometridae,Chlorodontopera taiwana,成蟲,2015,344729,3826_10560
3826_254738,237500,2709500,Geometridae,Chlorodontopera taiwana,成蟲,2018,344729,3826_10148
3826_264279,278500,2728500,Geometridae,Chlorodontopera taiwana,成蟲,2019,344729,3826_10556
3826_280320,319500,2760500,Geometridae,Chlorodontopera taiwana,成蟲,2019,344729,3826_11264
3826_266265,264500,2732500,Geometridae,Chlorodontopera taiwana,成蟲,2019,344729,3826_10653
3826_289337,336500,2778500,Geometridae,Chlorodontopera taiwana,成蟲,2019,344729,3826_11568
3826_293303,302500,2786500,Geometridae,Chlorodontopera taiwana,成蟲,2011,344729,3826_11761
3826_154218,217500,2508500,Geometridae,Chlorodontopera taiwana,成蟲,2013,344729,3826_6144
3826_290310,309500,2780500,Geometridae,Chlorodontopera taiwana,成蟲,2019,344729,3826_11662
3826_238794,293500,2677500,Geometridae,Chlorodontopera taiwana,成蟲,2019,344729,3826_9559
3826_288835,334500,2777500,Geometridae,Chlorodontopera taiwana,成蟲,2019,344729,3826_11567
3826_273788,287500,2747500,Geometridae,Chlorodontopera taiwana,成蟲,2013,344729,3826_10958
3826_291805,304500,2783500,Geometridae,Chlorodontopera taiwana,成蟲,2019,344729,3826_11661
3826_273788,287500,2747500,Geometridae,Chlorodontopera taiwana,成蟲,2019,344729,3826_10958
3826_292305,304500,2784500,Geometridae,Chlorodontopera taiwana,成蟲,2012,344729,3826_11661
3826_257745,244500,2715500,Geometridae,Chlorodontopera taiwana,成蟲,2019,344729,3826_10349
3826_280319,318500,2760500,Geometridae,Chlorodontopera taiwana,成蟲,2020,344729,3826_11264
3826_257745,244500,2715500,Geometridae,Chlorodontopera taiwana,成蟲,2020,344729,3826_10349
3826_292309,308500,2784500,Geometridae,Chlorodontopera taiwana,成蟲,2014,344729,3826_11662
3826_277327,326500,2754500,Geometridae,Chlorodontopera taiwana,成蟲,2020,344729,3826_11066
3826_273788,287500,2747500,Geometridae,Chlorodontopera taiwana,成蟲,2020,344729,3826_10958
3826_237801,300500,2675500,Geometridae,Chlorodontopera taiwana,成蟲,2020,344729,3826_9561
3826_175222,221500,2550500,Geometridae,Chlorodontopera taiwana,成蟲,2014,344729,3826_7045
3826_281844,343500,2763500,Geometridae,Chlorodontopera taiwana,成蟲,2021,344729,3826_11269
3826_292307,306500,2784500,Geometridae,Chlorodontopera taiwana,幼蟲,2021,344729,3826_11662
3826_288309,308500,2776500,Geometridae,Chlorodontopera taiwana,成蟲,2021,344729,3826_11562
3826_288309,308500,2776500,Geometridae,Chlorodontopera taiwana,幼蟲,2021,344729,3826_11562
3826_292307,306500,2784500,Geometridae,Chlorodontopera taiwana,成蟲,2021,344729,3826_11662
3826_292307,306500,2784500,Geometridae,Chlorodontopera taiwana,成蟲,2012,344729,3826_11662
3826_275307,306500,2750500,Geometridae,Chlorodontopera taiwana,成蟲,2022,344729,3826_11062
3826_130734,233500,2461500,Geometridae,Chlorodontopera taiwana,成蟲,2022,344729,3826_5247
3826_214744,243500,2629500,Geometridae,Chlorodontopera taiwana,成蟲,2022,344729,3826_8549
