GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_187200,199500,2574500,Choreutidae,Choreutis xanthogramma,成蟲,2011,344012,3826_7440
3826_297809,308500,2795500,Choreutidae,Choreutis xanthogramma,成蟲,2012,344012,3826_11962
3826_269770,269500,2739500,Choreutidae,Choreutis xanthogramma,成蟲,2012,344012,3826_10754
3826_155751,250500,2511500,Choreutidae,Choreutis xanthogramma,成蟲,2012,344012,3826_6251
3826_280316,315500,2760500,Choreutidae,Choreutis xanthogramma,成蟲,2012,344012,3826_11264
3826_173684,183500,2547500,Choreutidae,Choreutis xanthogramma,成蟲,2013,344012,3826_6937
3826_279301,300500,2758500,Choreutidae,Choreutis xanthogramma,成蟲,2013,344012,3826_11161
3826_286342,341500,2772500,Choreutidae,Choreutis xanthogramma,成蟲,2013,344012,3826_11469
3826_295316,315500,2790500,Choreutidae,Choreutis xanthogramma,成蟲,2014,344012,3826_11864
3826_157186,185500,2514500,Choreutidae,Choreutis xanthogramma,成蟲,2014,344012,3826_6238
3826_282307,306500,2764500,Choreutidae,Choreutis xanthogramma,成蟲,2014,344012,3826_11262
3826_198197,196500,2596500,Choreutidae,Choreutis xanthogramma,成蟲,2014,344012,3826_7940
3826_290322,321500,2780500,Choreutidae,Choreutis xanthogramma,成蟲,2014,344012,3826_11665
3826_280801,300500,2761500,Choreutidae,Choreutis xanthogramma,成蟲,2014,344012,3826_11261
3826_168208,207500,2536500,Choreutidae,Choreutis xanthogramma,成蟲,2013,344012,3826_6742
3826_270821,320500,2741500,Choreutidae,Choreutis xanthogramma,成蟲,2015,344012,3826_10865
3826_291822,321500,2783500,Choreutidae,Choreutis xanthogramma,成蟲,2014,344012,3826_11665
3826_288804,303500,2777500,Choreutidae,Choreutis xanthogramma,成蟲,2015,344012,3826_11561
3826_287811,310500,2775500,Choreutidae,Choreutis xanthogramma,成蟲,2015,344012,3826_11563
3826_284315,314500,2768500,Choreutidae,Choreutis xanthogramma,成蟲,2015,344012,3826_11363
3826_252833,332500,2705500,Choreutidae,Choreutis xanthogramma,成蟲,2015,344012,3826_10167
3826_281301,300500,2762500,Choreutidae,Choreutis xanthogramma,成蟲,2015,344012,3826_11261
3826_282313,312500,2764500,Choreutidae,Choreutis xanthogramma,成蟲,2012,344012,3826_11263
3826_282317,316500,2764500,Choreutidae,Choreutis xanthogramma,成蟲,2012,344012,3826_11264
3826_152175,174500,2504500,Choreutidae,Choreutis xanthogramma,成蟲,2014,344012,3826_6035
3826_285313,312500,2770500,Choreutidae,Choreutis xanthogramma,成蟲,2015,344012,3826_11463
3826_152175,174500,2504500,Choreutidae,Choreutis xanthogramma,成蟲,2016,344012,3826_6035
