GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_269312,311500,2738500,Geometridae,Chorodna creataria,成蟲,2011,414123,3826_10763
3826_140224,223500,2480500,Geometridae,Chorodna creataria,成蟲,2011,414123,3826_5645
3826_219243,242500,2638500,Geometridae,Chorodna creataria,成蟲,2012,414123,3826_8749
3826_214739,238500,2629500,Geometridae,Chorodna creataria,成蟲,2012,414123,3826_8548
3826_219244,243500,2638500,Geometridae,Chorodna creataria,成蟲,2012,414123,3826_8749
3826_263798,297500,2727500,Geometridae,Chorodna creataria,成蟲,2012,414123,3826_10560
3826_187200,199500,2574500,Geometridae,Chorodna creataria,成蟲,2012,414123,3826_7440
3826_204726,225500,2609500,Geometridae,Chorodna creataria,成蟲,2012,414123,3826_8146
3826_293303,302500,2786500,Geometridae,Chorodna creataria,成蟲,2012,414123,3826_11761
3826_272277,276500,2744500,Geometridae,Chorodna creataria,成蟲,2012,414123,3826_10856
3826_281820,319500,2763500,Geometridae,Chorodna creataria,成蟲,2012,414123,3826_11264
3826_212229,228500,2624500,Geometridae,Chorodna creataria,成蟲,2012,414123,3826_8446
3826_273788,287500,2747500,Geometridae,Chorodna creataria,成蟲,2012,414123,3826_10958
3826_263794,293500,2727500,Geometridae,Chorodna creataria,成蟲,2012,414123,3826_10559
3826_290805,304500,2781500,Geometridae,Chorodna creataria,成蟲,2012,414123,3826_11661
3826_151747,246500,2503500,Geometridae,Chorodna creataria,成蟲,2010,414123,3826_6050
3826_292305,304500,2784500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_11661
3826_273788,287500,2747500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_10958
3826_282806,305500,2765500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_11362
3826_291301,300500,2782500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_11661
3826_269315,314500,2738500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_10763
3826_269312,311500,2738500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_10763
3826_280787,286500,2761500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_11258
3826_150219,218500,2500500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_6044
3826_269811,310500,2739500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_10763
3826_292806,305500,2785500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_11762
3826_272776,275500,2745500,Geometridae,Chorodna creataria,成蟲,2012,414123,3826_10956
3826_273826,325500,2747500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_10966
3826_255762,261500,2711500,Geometridae,Chorodna creataria,成蟲,2012,414123,3826_10253
3826_237739,238500,2675500,Geometridae,Chorodna creataria,成蟲,2012,414123,3826_9548
3826_228759,258500,2657500,Geometridae,Chorodna creataria,成蟲,2012,414123,3826_9152
3826_265292,291500,2730500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_10659
3826_186222,221500,2572500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_7445
3826_265276,275500,2730500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_10656
3826_205239,238500,2610500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_8248
3826_289307,306500,2778500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_11562
3826_259754,253500,2719500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_10351
3826_222739,238500,2645500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_8948
3826_263260,259500,2726500,Geometridae,Chorodna creataria,成蟲,2014,414123,3826_10552
3826_269315,314500,2738500,Geometridae,Chorodna creataria,成蟲,2014,414123,3826_10763
3826_139724,223500,2479500,Geometridae,Chorodna creataria,成蟲,2014,414123,3826_5545
3826_227307,306500,2654500,Geometridae,Chorodna creataria,成蟲,2014,414123,3826_9062
3826_277838,337500,2755500,Geometridae,Chorodna creataria,成蟲,2014,414123,3826_11168
3826_279306,305500,2758500,Geometridae,Chorodna creataria,成蟲,2014,414123,3826_11162
3826_287811,310500,2775500,Geometridae,Chorodna creataria,成蟲,2014,414123,3826_11563
3826_227258,257500,2654500,Geometridae,Chorodna creataria,成蟲,2014,414123,3826_9052
3826_207230,229500,2614500,Geometridae,Chorodna creataria,成蟲,2014,414123,3826_8246
3826_225806,305500,2651500,Geometridae,Chorodna creataria,成蟲,2014,414123,3826_9062
3826_237228,227500,2674500,Geometridae,Chorodna creataria,成蟲,2014,414123,3826_9446
3826_241248,247500,2682500,Geometridae,Chorodna creataria,成蟲,2014,414123,3826_9650
3826_281309,308500,2762500,Geometridae,Chorodna creataria,成蟲,2014,414123,3826_11262
3826_281820,319500,2763500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_11264
3826_264279,278500,2728500,Geometridae,Chorodna creataria,成蟲,2013,414123,3826_10556
