GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263798,297500,2727500,Noctuidae,Chorsia mollicula,成蟲,2011,438533,3826_10560
3826_275267,266500,2750500,Noctuidae,Chorsia mollicula,成蟲,2013,438533,3826_11054
3826_170217,216500,2540500,Noctuidae,Chorsia mollicula,成蟲,2013,438533,3826_6844
3826_139724,223500,2479500,Noctuidae,Chorsia mollicula,成蟲,2014,438533,3826_5545
3826_228263,262500,2656500,Noctuidae,Chorsia mollicula,成蟲,2014,438533,3826_9153
3826_264279,278500,2728500,Noctuidae,Chorsia mollicula,成蟲,2013,438533,3826_10556
3826_273304,303500,2746500,Noctuidae,Chorsia mollicula,成蟲,2015,438533,3826_10961
3826_264779,278500,2729500,Noctuidae,Chorsia mollicula,成蟲,2014,438533,3826_10556
3826_170217,216500,2540500,Noctuidae,Chorsia mollicula,成蟲,2014,438533,3826_6844
3826_174221,220500,2548500,Noctuidae,Chorsia mollicula,成蟲,2015,438533,3826_6945
3826_264779,278500,2729500,Noctuidae,Chorsia mollicula,成蟲,2015,438533,3826_10556
3826_279306,305500,2758500,Noctuidae,Chorsia mollicula,成蟲,2015,438533,3826_11162
3826_273788,287500,2747500,Noctuidae,Chorsia mollicula,成蟲,2012,438533,3826_10958
3826_224769,268500,2649500,Noctuidae,Chorsia mollicula,成蟲,2015,438533,3826_8954
3826_175725,224500,2551500,Noctuidae,Chorsia mollicula,成蟲,2012,438533,3826_7045
3826_151747,246500,2503500,Noctuidae,Chorsia mollicula,成蟲,2016,438533,3826_6050
3826_175724,223500,2551500,Noctuidae,Chorsia mollicula,成蟲,2016,438533,3826_7045
3826_237301,300500,2674500,Noctuidae,Chorsia mollicula,成蟲,2013,438533,3826_9461
3826_273788,287500,2747500,Noctuidae,Chorsia mollicula,成蟲,2013,438533,3826_10958
3826_207229,228500,2614500,Noctuidae,Chorsia mollicula,成蟲,2016,438533,3826_8246
3826_231268,267500,2662500,Noctuidae,Chorsia mollicula,成蟲,2016,438533,3826_9254
3826_265791,290500,2731500,Noctuidae,Chorsia mollicula,成蟲,2016,438533,3826_10659
3826_197241,240500,2594500,Noctuidae,Chorsia mollicula,成蟲,2016,438533,3826_7849
3826_224749,248500,2649500,Noctuidae,Chorsia mollicula,成蟲,2017,438533,3826_8950
3826_236243,242500,2672500,Noctuidae,Chorsia mollicula,幼蟲,2017,438533,3826_9449
3826_264279,278500,2728500,Noctuidae,Chorsia mollicula,成蟲,2017,438533,3826_10556
3826_276802,301500,2753500,Noctuidae,Chorsia mollicula,成蟲,2017,438533,3826_11061
3826_195214,213500,2590500,Noctuidae,Chorsia mollicula,成蟲,2017,438533,3826_7843
3826_257753,252500,2715500,Noctuidae,Chorsia mollicula,成蟲,2017,438533,3826_10351
3826_207230,229500,2614500,Noctuidae,Chorsia mollicula,成蟲,2017,438533,3826_8246
3826_264811,310500,2729500,Noctuidae,Chorsia mollicula,成蟲,2010,438533,3826_10563
3826_175724,223500,2551500,Noctuidae,Chorsia mollicula,成蟲,2015,438533,3826_7045
3826_255812,311500,2711500,Noctuidae,Chorsia mollicula,成蟲,2010,438533,3826_10263
3826_255262,261500,2710500,Noctuidae,Chorsia mollicula,成蟲,2018,438533,3826_10253
3826_232268,267500,2664500,Noctuidae,Chorsia mollicula,成蟲,2011,438533,3826_9254
3826_266264,263500,2732500,Noctuidae,Chorsia mollicula,成蟲,2018,438533,3826_10653
3826_224769,268500,2649500,Noctuidae,Chorsia mollicula,成蟲,2018,438533,3826_8954
3826_265782,281500,2731500,Noctuidae,Chorsia mollicula,成蟲,2018,438533,3826_10657
3826_222739,238500,2645500,Noctuidae,Chorsia mollicula,成蟲,2018,438533,3826_8948
3826_260294,293500,2720500,Noctuidae,Chorsia mollicula,成蟲,2016,438533,3826_10459
3826_257253,252500,2714500,Noctuidae,Chorsia mollicula,成蟲,2018,438533,3826_10251
3826_255743,242500,2711500,Noctuidae,Chorsia mollicula,成蟲,2018,438533,3826_10249
3826_276802,301500,2753500,Noctuidae,Chorsia mollicula,成蟲,2016,438533,3826_11061
3826_228252,251500,2656500,Noctuidae,Chorsia mollicula,成蟲,2018,438533,3826_9151
3826_242745,244500,2685500,Noctuidae,Chorsia mollicula,成蟲,2018,438533,3826_9749
3826_259784,283500,2719500,Noctuidae,Chorsia mollicula,成蟲,2010,438533,3826_10357
3826_269273,272500,2738500,Noctuidae,Chorsia mollicula,成蟲,2018,438533,3826_10755
3826_238800,299500,2677500,Noctuidae,Chorsia mollicula,成蟲,2019,438533,3826_9560
3826_255743,242500,2711500,Noctuidae,Chorsia mollicula,成蟲,2019,438533,3826_10249
3826_175224,223500,2550500,Noctuidae,Chorsia mollicula,成蟲,2015,438533,3826_7045
3826_254738,237500,2709500,Noctuidae,Chorsia mollicula,成蟲,2019,438533,3826_10148
3826_264279,278500,2728500,Noctuidae,Chorsia mollicula,成蟲,2019,438533,3826_10556
3826_197218,217500,2594500,Noctuidae,Chorsia mollicula,成蟲,2019,438533,3826_7844
3826_276802,301500,2753500,Noctuidae,Chorsia mollicula,成蟲,2019,438533,3826_11061
3826_251728,227500,2703500,Noctuidae,Chorsia mollicula,成蟲,2019,438533,3826_10046
3826_175725,224500,2551500,Noctuidae,Chorsia mollicula,成蟲,2014,438533,3826_7045
3826_154218,217500,2508500,Noctuidae,Chorsia mollicula,成蟲,2020,438533,3826_6144
3826_170218,217500,2540500,Noctuidae,Chorsia mollicula,成蟲,2014,438533,3826_6844
3826_277327,326500,2754500,Noctuidae,Chorsia mollicula,成蟲,2020,438533,3826_11066
3826_269811,310500,2739500,Noctuidae,Chorsia mollicula,成蟲,2020,438533,3826_10763
3826_175224,223500,2550500,Noctuidae,Chorsia mollicula,成蟲,2020,438533,3826_7045
3826_257745,244500,2715500,Noctuidae,Chorsia mollicula,成蟲,2019,438533,3826_10349
3826_257745,244500,2715500,Noctuidae,Chorsia mollicula,成蟲,2020,438533,3826_10349
3826_266293,292500,2732500,Noctuidae,Chorsia mollicula,成蟲,2020,438533,3826_10659
3826_237791,290500,2675500,Noctuidae,Chorsia mollicula,成蟲,2020,438533,3826_9559
3826_241248,247500,2682500,Noctuidae,Chorsia mollicula,成蟲,2020,438533,3826_9650
3826_259800,299500,2719500,Noctuidae,Chorsia mollicula,成蟲,2015,438533,3826_10360
3826_273788,287500,2747500,Noctuidae,Chorsia mollicula,成蟲,2020,438533,3826_10958
3826_229766,265500,2659500,Noctuidae,Chorsia mollicula,成蟲,2014,438533,3826_9154
3826_265782,281500,2731500,Noctuidae,Chorsia mollicula,成蟲,2020,438533,3826_10657
3826_274280,279500,2748500,Noctuidae,Chorsia mollicula,成蟲,2021,438533,3826_10956
3826_264791,290500,2729500,Noctuidae,Chorsia mollicula,成蟲,2021,438533,3826_10559
3826_273788,287500,2747500,Noctuidae,Chorsia mollicula,成蟲,2021,438533,3826_10958
3826_273792,291500,2747500,Noctuidae,Chorsia mollicula,成蟲,2021,438533,3826_10959
3826_248781,280500,2697500,Noctuidae,Chorsia mollicula,成蟲,2021,438533,3826_9957
3826_263296,295500,2726500,Noctuidae,Chorsia mollicula,成蟲,2020,438533,3826_10560
3826_200230,229500,2600500,Noctuidae,Chorsia mollicula,成蟲,2021,438533,3826_8046
3826_230272,271500,2660500,Noctuidae,Chorsia mollicula,成蟲,2021,438533,3826_9255
3826_277327,326500,2754500,Noctuidae,Chorsia mollicula,成蟲,2017,438533,3826_11066
3826_273807,306500,2747500,Noctuidae,Chorsia mollicula,成蟲,2021,438533,3826_10962
3826_269273,272500,2738500,Noctuidae,Chorsia mollicula,成蟲,2022,438533,3826_10755
3826_222739,238500,2645500,Noctuidae,Chorsia mollicula,幼蟲,2022,438533,3826_8948
3826_259249,248500,2718500,Noctuidae,Chorsia mollicula,成蟲,2022,438533,3826_10350
3826_225806,305500,2651500,Noctuidae,Chorsia mollicula,成蟲,2022,438533,3826_9062
3826_224769,268500,2649500,Noctuidae,Chorsia mollicula,成蟲,2022,438533,3826_8954
3826_153718,217500,2507500,Noctuidae,Chorsia mollicula,成蟲,2022,438533,3826_6144
