GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_268765,264500,2737500,Erebidae,Chrysaeglia magnifica,幼蟲,2011,343816,3826_10753
3826_239301,300500,2678500,Erebidae,Chrysaeglia magnifica,成蟲,2011,343816,3826_9561
3826_263294,293500,2726500,Erebidae,Chrysaeglia magnifica,成蟲,2011,343816,3826_10559
3826_263294,293500,2726500,Erebidae,Chrysaeglia magnifica,幼蟲,2011,343816,3826_10559
3826_238752,251500,2677500,Erebidae,Chrysaeglia magnifica,成蟲,2011,343816,3826_9551
3826_203222,221500,2606500,Erebidae,Chrysaeglia magnifica,成蟲,2011,343816,3826_8145
3826_157679,178500,2515500,Erebidae,Chrysaeglia magnifica,幼蟲,2011,343816,3826_6336
3826_263798,297500,2727500,Erebidae,Chrysaeglia magnifica,幼蟲,2011,343816,3826_10560
3826_263297,296500,2726500,Erebidae,Chrysaeglia magnifica,成蟲,2011,343816,3826_10560
3826_284810,309500,2769500,Erebidae,Chrysaeglia magnifica,幼蟲,2011,343816,3826_11362
3826_284810,309500,2769500,Erebidae,Chrysaeglia magnifica,成蟲,2011,343816,3826_11362
3826_207230,229500,2614500,Erebidae,Chrysaeglia magnifica,成蟲,2011,343816,3826_8246
3826_283807,306500,2767500,Erebidae,Chrysaeglia magnifica,成蟲,2010,343816,3826_11362
3826_282809,308500,2765500,Erebidae,Chrysaeglia magnifica,幼蟲,2010,343816,3826_11362
3826_284810,309500,2769500,Erebidae,Chrysaeglia magnifica,成蟲,2012,343816,3826_11362
3826_291302,301500,2782500,Erebidae,Chrysaeglia magnifica,成蟲,2012,343816,3826_11661
3826_280304,303500,2760500,Erebidae,Chrysaeglia magnifica,成蟲,2011,343816,3826_11261
3826_291329,328500,2782500,Erebidae,Chrysaeglia magnifica,成蟲,2011,343816,3826_11666
3826_283816,315500,2767500,Erebidae,Chrysaeglia magnifica,成蟲,2012,343816,3826_11364
3826_289311,310500,2778500,Erebidae,Chrysaeglia magnifica,成蟲,2012,343816,3826_11563
3826_269811,310500,2739500,Erebidae,Chrysaeglia magnifica,成蟲,2011,343816,3826_10763
3826_290315,314500,2780500,Erebidae,Chrysaeglia magnifica,成蟲,2011,343816,3826_11663
3826_284809,308500,2769500,Erebidae,Chrysaeglia magnifica,成蟲,2011,343816,3826_11362
3826_222739,238500,2645500,Erebidae,Chrysaeglia magnifica,成蟲,2010,343816,3826_8948
3826_289310,309500,2778500,Erebidae,Chrysaeglia magnifica,幼蟲,2011,343816,3826_11562
3826_289311,310500,2778500,Erebidae,Chrysaeglia magnifica,蛹,2012,343816,3826_11563
3826_289311,310500,2778500,Erebidae,Chrysaeglia magnifica,幼蟲,2012,343816,3826_11563
3826_283808,307500,2767500,Erebidae,Chrysaeglia magnifica,幼蟲,2012,343816,3826_11362
3826_287813,312500,2775500,Erebidae,Chrysaeglia magnifica,幼蟲,2011,343816,3826_11563
3826_287813,312500,2775500,Erebidae,Chrysaeglia magnifica,幼蟲,2010,343816,3826_11563
3826_169208,207500,2538500,Erebidae,Chrysaeglia magnifica,成蟲,2011,343816,3826_6742
3826_289798,297500,2779500,Erebidae,Chrysaeglia magnifica,成蟲,2012,343816,3826_11560
3826_291802,301500,2783500,Erebidae,Chrysaeglia magnifica,幼蟲,2012,343816,3826_11661
3826_192696,195500,2585500,Erebidae,Chrysaeglia magnifica,幼蟲,2012,343816,3826_7740
3826_284810,309500,2769500,Erebidae,Chrysaeglia magnifica,幼蟲,2012,343816,3826_11362
3826_291300,299500,2782500,Erebidae,Chrysaeglia magnifica,幼蟲,2012,343816,3826_11660
3826_278801,300500,2757500,Erebidae,Chrysaeglia magnifica,成蟲,2011,343816,3826_11161
3826_291306,305500,2782500,Erebidae,Chrysaeglia magnifica,幼蟲,2012,343816,3826_11662
3826_209230,229500,2618500,Erebidae,Chrysaeglia magnifica,成蟲,2012,343816,3826_8346
3826_288306,305500,2776500,Erebidae,Chrysaeglia magnifica,成蟲,2012,343816,3826_11562
3826_219243,242500,2638500,Erebidae,Chrysaeglia magnifica,成蟲,2012,343816,3826_8749
3826_283807,306500,2767500,Erebidae,Chrysaeglia magnifica,幼蟲,2012,343816,3826_11362
3826_187200,199500,2574500,Erebidae,Chrysaeglia magnifica,成蟲,2011,343816,3826_7440
3826_218230,229500,2636500,Erebidae,Chrysaeglia magnifica,成蟲,2012,343816,3826_8746
3826_280304,303500,2760500,Erebidae,Chrysaeglia magnifica,幼蟲,2012,343816,3826_11261
3826_280304,303500,2760500,Erebidae,Chrysaeglia magnifica,幼蟲,2011,343816,3826_11261
3826_187200,199500,2574500,Erebidae,Chrysaeglia magnifica,成蟲,2012,343816,3826_7440
3826_281810,309500,2763500,Erebidae,Chrysaeglia magnifica,幼蟲,2010,343816,3826_11262
3826_281309,308500,2762500,Erebidae,Chrysaeglia magnifica,成蟲,2010,343816,3826_11262
3826_290304,303500,2780500,Erebidae,Chrysaeglia magnifica,成蟲,2012,343816,3826_11661
