GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_283292,291500,2766500,Noctuidae,Chrysodeixis eriosoma,成蟲,2012,346140,3826_11359
3826_280773,272500,2761500,Noctuidae,Chrysodeixis eriosoma,成蟲,2012,346140,3826_11255
3826_290805,304500,2781500,Noctuidae,Chrysodeixis eriosoma,成蟲,2012,346140,3826_11661
3826_269315,314500,2738500,Noctuidae,Chrysodeixis eriosoma,成蟲,2013,346140,3826_10763
3826_171670,169500,2543500,Noctuidae,Chrysodeixis eriosoma,成蟲,2013,346140,3826_6834
3826_281309,308500,2762500,Noctuidae,Chrysodeixis eriosoma,成蟲,2013,346140,3826_11262
3826_187200,199500,2574500,Noctuidae,Chrysodeixis eriosoma,成蟲,2014,346140,3826_7440
3826_286317,316500,2772500,Noctuidae,Chrysodeixis eriosoma,成蟲,2014,346140,3826_11464
3826_221712,211500,2643500,Noctuidae,Chrysodeixis eriosoma,成蟲,2014,346140,3826_8843
3826_220810,309500,2641500,Noctuidae,Chrysodeixis eriosoma,成蟲,2015,346140,3826_8862
3826_221310,309500,2642500,Noctuidae,Chrysodeixis eriosoma,成蟲,2015,346140,3826_8862
3826_264283,282500,2728500,Noctuidae,Chrysodeixis eriosoma,成蟲,2015,346140,3826_10557
3826_176652,151500,2553500,Noctuidae,Chrysodeixis eriosoma,成蟲,2010,346140,3826_7031
3826_285293,292500,2770500,Noctuidae,Chrysodeixis eriosoma,成蟲,2015,346140,3826_11459
3826_195215,214500,2590500,Noctuidae,Chrysodeixis eriosoma,成蟲,2015,346140,3826_7843
3826_293308,307500,2786500,Noctuidae,Chrysodeixis eriosoma,成蟲,2015,346140,3826_11762
3826_293308,307500,2786500,Noctuidae,Chrysodeixis eriosoma,成蟲,2011,346140,3826_11762
3826_226225,224500,2652500,Noctuidae,Chrysodeixis eriosoma,成蟲,2013,346140,3826_9045
3826_281810,309500,2763500,Noctuidae,Chrysodeixis eriosoma,成蟲,2015,346140,3826_11262
3826_152175,174500,2504500,Noctuidae,Chrysodeixis eriosoma,成蟲,2013,346140,3826_6035
3826_237228,227500,2674500,Noctuidae,Chrysodeixis eriosoma,成蟲,2014,346140,3826_9446
3826_288310,309500,2776500,Noctuidae,Chrysodeixis eriosoma,成蟲,2013,346140,3826_11562
3826_151747,246500,2503500,Noctuidae,Chrysodeixis eriosoma,成蟲,2016,346140,3826_6050
3826_281810,309500,2763500,Noctuidae,Chrysodeixis eriosoma,成蟲,2016,346140,3826_11262
3826_293308,307500,2786500,Noctuidae,Chrysodeixis eriosoma,成蟲,2016,346140,3826_11762
3826_175205,204500,2550500,Noctuidae,Chrysodeixis eriosoma,成蟲,2013,346140,3826_7041
3826_289809,308500,2779500,Noctuidae,Chrysodeixis eriosoma,成蟲,2016,346140,3826_11562
3826_159220,219500,2518500,Noctuidae,Chrysodeixis eriosoma,成蟲,2015,346140,3826_6344
3826_239221,220500,2678500,Noctuidae,Chrysodeixis eriosoma,幼蟲,2016,346140,3826_9545
3826_288804,303500,2777500,Noctuidae,Chrysodeixis eriosoma,成蟲,2016,346140,3826_11561
3826_282784,283500,2765500,Noctuidae,Chrysodeixis eriosoma,成蟲,2017,346140,3826_11357
3826_281810,309500,2763500,Noctuidae,Chrysodeixis eriosoma,成蟲,2017,346140,3826_11262
3826_224749,248500,2649500,Noctuidae,Chrysodeixis eriosoma,成蟲,2017,346140,3826_8950
