GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_273304,303500,2746500,Geometridae,Cleora alienaria,成蟲,2011,414159,3826_10961
3826_287813,312500,2775500,Geometridae,Cleora alienaria,成蟲,2012,414159,3826_11563
3826_291805,304500,2783500,Geometridae,Cleora alienaria,成蟲,2012,414159,3826_11661
3826_292305,304500,2784500,Geometridae,Cleora alienaria,成蟲,2012,414159,3826_11661
3826_291302,301500,2782500,Geometridae,Cleora alienaria,成蟲,2012,414159,3826_11661
3826_290304,303500,2780500,Geometridae,Cleora alienaria,成蟲,2012,414159,3826_11661
3826_218230,229500,2636500,Geometridae,Cleora alienaria,成蟲,2012,414159,3826_8746
3826_175202,201500,2550500,Geometridae,Cleora alienaria,成蟲,2012,414159,3826_7041
3826_273788,287500,2747500,Geometridae,Cleora alienaria,成蟲,2012,414159,3826_10958
3826_279306,305500,2758500,Geometridae,Cleora alienaria,成蟲,2012,414159,3826_11162
3826_281309,308500,2762500,Geometridae,Cleora alienaria,成蟲,2012,414159,3826_11262
3826_154714,213500,2509500,Geometridae,Cleora alienaria,成蟲,2013,414159,3826_6143
3826_284810,309500,2769500,Geometridae,Cleora alienaria,成蟲,2011,414159,3826_11362
3826_281309,308500,2762500,Geometridae,Cleora alienaria,成蟲,2013,414159,3826_11262
3826_275267,266500,2750500,Geometridae,Cleora alienaria,成蟲,2013,414159,3826_11054
3826_281810,309500,2763500,Geometridae,Cleora alienaria,成蟲,2013,414159,3826_11262
3826_188716,215500,2577500,Geometridae,Cleora alienaria,成蟲,2013,414159,3826_7544
3826_273826,325500,2747500,Geometridae,Cleora alienaria,成蟲,2013,414159,3826_10966
3826_291801,300500,2783500,Geometridae,Cleora alienaria,成蟲,2013,414159,3826_11661
3826_284308,307500,2768500,Geometridae,Cleora alienaria,成蟲,2012,414159,3826_11362
3826_273786,285500,2747500,Geometridae,Cleora alienaria,成蟲,2012,414159,3826_10958
3826_272276,275500,2744500,Geometridae,Cleora alienaria,成蟲,2013,414159,3826_10856
3826_284310,309500,2768500,Geometridae,Cleora alienaria,成蟲,2012,414159,3826_11362
3826_281820,319500,2763500,Geometridae,Cleora alienaria,成蟲,2013,414159,3826_11264
3826_221211,210500,2642500,Geometridae,Cleora alienaria,成蟲,2013,414159,3826_8843
3826_170217,216500,2540500,Geometridae,Cleora alienaria,成蟲,2013,414159,3826_6844
3826_256234,233500,2712500,Geometridae,Cleora alienaria,成蟲,2014,414159,3826_10247
3826_224213,212500,2648500,Geometridae,Cleora alienaria,成蟲,2014,414159,3826_8943
3826_152714,213500,2505500,Geometridae,Cleora alienaria,成蟲,2013,414159,3826_6143
3826_288836,335500,2777500,Geometridae,Cleora alienaria,成蟲,2014,414159,3826_11568
3826_281810,309500,2763500,Geometridae,Cleora alienaria,成蟲,2014,414159,3826_11262
3826_289836,335500,2779500,Geometridae,Cleora alienaria,成蟲,2014,414159,3826_11568
3826_271249,248500,2742500,Geometridae,Cleora alienaria,成蟲,2013,414159,3826_10850
3826_292307,306500,2784500,Geometridae,Cleora alienaria,成蟲,2014,414159,3826_11662
3826_289823,322500,2779500,Geometridae,Cleora alienaria,成蟲,2014,414159,3826_11565
3826_213228,227500,2626500,Geometridae,Cleora alienaria,成蟲,2014,414159,3826_8546
3826_271249,248500,2742500,Geometridae,Cleora alienaria,成蟲,2011,414159,3826_10850
3826_220810,309500,2641500,Geometridae,Cleora alienaria,成蟲,2015,414159,3826_8862
3826_286306,305500,2772500,Geometridae,Cleora alienaria,成蟲,2014,414159,3826_11462
3826_284792,291500,2769500,Geometridae,Cleora alienaria,成蟲,2014,414159,3826_11359
3826_281301,300500,2762500,Geometridae,Cleora alienaria,成蟲,2015,414159,3826_11261
