GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_291297,296500,2782500,Noctuidae,Condica illecta,成蟲,2011,346161,3826_11660
3826_281313,312500,2762500,Noctuidae,Condica illecta,幼蟲,2010,346161,3826_11263
3826_287813,312500,2775500,Noctuidae,Condica illecta,成蟲,2012,346161,3826_11563
3826_220242,241500,2640500,Noctuidae,Condica illecta,幼蟲,2012,346161,3826_8849
3826_279306,305500,2758500,Noctuidae,Condica illecta,成蟲,2012,346161,3826_11162
3826_272781,280500,2745500,Noctuidae,Condica illecta,幼蟲,2012,346161,3826_10957
3826_204726,225500,2609500,Noctuidae,Condica illecta,成蟲,2012,346161,3826_8146
3826_221213,212500,2642500,Noctuidae,Condica illecta,幼蟲,2012,346161,3826_8843
3826_280316,315500,2760500,Noctuidae,Condica illecta,幼蟲,2012,346161,3826_11264
3826_273788,287500,2747500,Noctuidae,Condica illecta,成蟲,2013,346161,3826_10958
3826_188716,215500,2577500,Noctuidae,Condica illecta,成蟲,2013,346161,3826_7544
3826_270276,275500,2740500,Noctuidae,Condica illecta,幼蟲,2013,346161,3826_10856
3826_268762,261500,2737500,Noctuidae,Condica illecta,幼蟲,2013,346161,3826_10753
3826_291329,328500,2782500,Noctuidae,Condica illecta,成蟲,2013,346161,3826_11666
3826_282307,306500,2764500,Noctuidae,Condica illecta,幼蟲,2013,346161,3826_11262
3826_275267,266500,2750500,Noctuidae,Condica illecta,幼蟲,2014,346161,3826_11054
3826_237727,226500,2675500,Noctuidae,Condica illecta,幼蟲,2014,346161,3826_9546
3826_288808,307500,2777500,Noctuidae,Condica illecta,幼蟲,2014,346161,3826_11562
3826_287814,313500,2775500,Noctuidae,Condica illecta,幼蟲,2015,346161,3826_11563
3826_286780,279500,2773500,Noctuidae,Condica illecta,幼蟲,2015,346161,3826_11456
3826_281310,309500,2762500,Noctuidae,Condica illecta,幼蟲,2015,346161,3826_11262
3826_285310,309500,2770500,Noctuidae,Condica illecta,幼蟲,2011,346161,3826_11462
3826_275786,285500,2751500,Noctuidae,Condica illecta,成蟲,2015,346161,3826_11058
3826_273788,287500,2747500,Noctuidae,Condica illecta,幼蟲,2012,346161,3826_10958
3826_273278,277500,2746500,Noctuidae,Condica illecta,幼蟲,2011,346161,3826_10956
3826_152175,174500,2504500,Noctuidae,Condica illecta,成蟲,2013,346161,3826_6035
3826_272772,271500,2745500,Noctuidae,Condica illecta,幼蟲,2012,346161,3826_10955
3826_152175,174500,2504500,Noctuidae,Condica illecta,成蟲,2016,346161,3826_6035
3826_293308,307500,2786500,Noctuidae,Condica illecta,成蟲,2016,346161,3826_11762
3826_118230,229500,2436500,Noctuidae,Condica illecta,成蟲,2016,346161,3826_4746
3826_267279,278500,2734500,Noctuidae,Condica illecta,幼蟲,2016,346161,3826_10656
3826_263753,252500,2727500,Noctuidae,Condica illecta,幼蟲,2016,346161,3826_10551
3826_280805,304500,2761500,Noctuidae,Condica illecta,幼蟲,2016,346161,3826_11261
3826_236313,312500,2672500,Noctuidae,Condica illecta,幼蟲,2016,346161,3826_9463
3826_288804,303500,2777500,Noctuidae,Condica illecta,幼蟲,2016,346161,3826_11561
