GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_228264,263500,2656500,Erebidae,Conicornuta convexa,成蟲,2011,441396,3826_9153
3826_187200,199500,2574500,Erebidae,Conicornuta convexa,成蟲,2011,441396,3826_7440
3826_273760,259500,2747500,Erebidae,Conicornuta convexa,成蟲,2020,441396,3826_10952
3826_253236,235500,2706500,Erebidae,Conicornuta convexa,成蟲,2012,441396,3826_10148
3826_273788,287500,2747500,Erebidae,Conicornuta convexa,成蟲,2012,441396,3826_10958
3826_269770,269500,2739500,Erebidae,Conicornuta convexa,幼蟲,2012,441396,3826_10754
3826_272275,274500,2744500,Erebidae,Conicornuta convexa,成蟲,2013,441396,3826_10855
3826_272276,275500,2744500,Erebidae,Conicornuta convexa,成蟲,2013,441396,3826_10856
3826_269312,311500,2738500,Erebidae,Conicornuta convexa,成蟲,2013,441396,3826_10763
3826_267778,277500,2735500,Erebidae,Conicornuta convexa,成蟲,2013,441396,3826_10756
3826_273788,287500,2747500,Erebidae,Conicornuta convexa,幼蟲,2012,441396,3826_10958
3826_270276,275500,2740500,Erebidae,Conicornuta convexa,成蟲,2013,441396,3826_10856
3826_273279,278500,2746500,Erebidae,Conicornuta convexa,成蟲,2014,441396,3826_10956
3826_236733,232500,2673500,Erebidae,Conicornuta convexa,成蟲,2014,441396,3826_9447
3826_268276,275500,2736500,Erebidae,Conicornuta convexa,成蟲,2014,441396,3826_10756
3826_270777,276500,2741500,Erebidae,Conicornuta convexa,成蟲,2014,441396,3826_10856
3826_278306,305500,2756500,Erebidae,Conicornuta convexa,成蟲,2014,441396,3826_11162
3826_280809,308500,2761500,Erebidae,Conicornuta convexa,成蟲,2014,441396,3826_11262
3826_281309,308500,2762500,Erebidae,Conicornuta convexa,成蟲,2014,441396,3826_11262
3826_280304,303500,2760500,Erebidae,Conicornuta convexa,成蟲,2014,441396,3826_11261
3826_263253,252500,2726500,Erebidae,Conicornuta convexa,成蟲,2015,441396,3826_10551
3826_288825,324500,2777500,Erebidae,Conicornuta convexa,成蟲,2014,441396,3826_11565
3826_280304,303500,2760500,Erebidae,Conicornuta convexa,成蟲,2015,441396,3826_11261
3826_281309,308500,2762500,Erebidae,Conicornuta convexa,成蟲,2015,441396,3826_11262
3826_273788,287500,2747500,Erebidae,Conicornuta convexa,成蟲,2015,441396,3826_10958
3826_290310,309500,2780500,Erebidae,Conicornuta convexa,成蟲,2015,441396,3826_11662
3826_165716,215500,2531500,Erebidae,Conicornuta convexa,成蟲,2015,441396,3826_6644
3826_282313,312500,2764500,Erebidae,Conicornuta convexa,成蟲,2012,441396,3826_11263
3826_288315,314500,2776500,Erebidae,Conicornuta convexa,成蟲,2015,441396,3826_11563
3826_270273,272500,2740500,Erebidae,Conicornuta convexa,成蟲,2013,441396,3826_10855
3826_269774,273500,2739500,Erebidae,Conicornuta convexa,成蟲,2013,441396,3826_10755
3826_269775,274500,2739500,Erebidae,Conicornuta convexa,成蟲,2013,441396,3826_10755
3826_269276,275500,2738500,Erebidae,Conicornuta convexa,成蟲,2013,441396,3826_10756
3826_252226,225500,2704500,Erebidae,Conicornuta convexa,成蟲,2014,441396,3826_10046
3826_263753,252500,2727500,Erebidae,Conicornuta convexa,成蟲,2016,441396,3826_10551
3826_287843,342500,2775500,Erebidae,Conicornuta convexa,成蟲,2016,441396,3826_11569
3826_266258,257500,2732500,Erebidae,Conicornuta convexa,成蟲,2016,441396,3826_10652
3826_226252,251500,2652500,Erebidae,Conicornuta convexa,成蟲,2016,441396,3826_9051
3826_287810,309500,2775500,Erebidae,Conicornuta convexa,成蟲,2016,441396,3826_11562
3826_225761,260500,2651500,Erebidae,Conicornuta convexa,成蟲,2014,441396,3826_9053
3826_289809,308500,2779500,Erebidae,Conicornuta convexa,成蟲,2016,441396,3826_11562
3826_277327,326500,2754500,Erebidae,Conicornuta convexa,成蟲,2016,441396,3826_11066
3826_264750,249500,2729500,Erebidae,Conicornuta convexa,成蟲,2016,441396,3826_10550
3826_248231,230500,2696500,Erebidae,Conicornuta convexa,成蟲,2016,441396,3826_9947
3826_265791,290500,2731500,Erebidae,Conicornuta convexa,成蟲,2016,441396,3826_10659
3826_234314,313500,2668500,Erebidae,Conicornuta convexa,成蟲,2016,441396,3826_9363
3826_276805,304500,2753500,Erebidae,Conicornuta convexa,成蟲,2017,441396,3826_11061
3826_281333,332500,2762500,Erebidae,Conicornuta convexa,成蟲,2017,441396,3826_11267
3826_267278,277500,2734500,Erebidae,Conicornuta convexa,成蟲,2017,441396,3826_10656
3826_262249,248500,2724500,Erebidae,Conicornuta convexa,成蟲,2017,441396,3826_10450
3826_197218,217500,2594500,Erebidae,Conicornuta convexa,成蟲,2017,441396,3826_7844
3826_281309,308500,2762500,Erebidae,Conicornuta convexa,幼蟲,2014,441396,3826_11262
3826_281810,309500,2763500,Erebidae,Conicornuta convexa,成蟲,2017,441396,3826_11262
3826_270286,285500,2740500,Erebidae,Conicornuta convexa,幼蟲,2017,441396,3826_10858
3826_264279,278500,2728500,Erebidae,Conicornuta convexa,成蟲,2018,441396,3826_10556
3826_273304,303500,2746500,Erebidae,Conicornuta convexa,成蟲,2018,441396,3826_10961
3826_256737,236500,2713500,Erebidae,Conicornuta convexa,成蟲,2018,441396,3826_10248
3826_251728,227500,2703500,Erebidae,Conicornuta convexa,成蟲,2018,441396,3826_10046
3826_168208,207500,2536500,Erebidae,Conicornuta convexa,成蟲,2018,441396,3826_6742
3826_261280,279500,2722500,Erebidae,Conicornuta convexa,成蟲,2018,441396,3826_10456
3826_230726,225500,2661500,Erebidae,Conicornuta convexa,成蟲,2018,441396,3826_9246
3826_154218,217500,2508500,Erebidae,Conicornuta convexa,成蟲,2018,441396,3826_6144
3826_280308,307500,2760500,Erebidae,Conicornuta convexa,成蟲,2018,441396,3826_11262
3826_259754,253500,2719500,Erebidae,Conicornuta convexa,成蟲,2018,441396,3826_10351
3826_262759,258500,2725500,Erebidae,Conicornuta convexa,成蟲,2018,441396,3826_10552
3826_130734,233500,2461500,Erebidae,Conicornuta convexa,成蟲,2017,441396,3826_5247
3826_255743,242500,2711500,Erebidae,Conicornuta convexa,成蟲,2018,441396,3826_10249
3826_276802,301500,2753500,Erebidae,Conicornuta convexa,成蟲,2016,441396,3826_11061
