GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_297809,308500,2795500,Geometridae,Corymica deducta,成蟲,2012,344762,3826_11962
3826_219243,242500,2638500,Geometridae,Corymica deducta,成蟲,2012,344762,3826_8749
3826_273788,287500,2747500,Geometridae,Corymica deducta,成蟲,2012,344762,3826_10958
3826_280316,315500,2760500,Geometridae,Corymica deducta,成蟲,2013,344762,3826_11264
3826_189703,202500,2579500,Geometridae,Corymica deducta,幼蟲,2012,344762,3826_7541
3826_267778,277500,2735500,Geometridae,Corymica deducta,成蟲,2013,344762,3826_10756
3826_273788,287500,2747500,Geometridae,Corymica deducta,成蟲,2013,344762,3826_10958
3826_189703,202500,2579500,Geometridae,Corymica deducta,成蟲,2012,344762,3826_7541
3826_275267,266500,2750500,Geometridae,Corymica deducta,成蟲,2013,344762,3826_11054
3826_272776,275500,2745500,Geometridae,Corymica deducta,成蟲,2012,344762,3826_10956
3826_152714,213500,2505500,Geometridae,Corymica deducta,成蟲,2012,344762,3826_6143
3826_270248,247500,2740500,Geometridae,Corymica deducta,成蟲,2014,344762,3826_10850
3826_175725,224500,2551500,Geometridae,Corymica deducta,成蟲,2014,344762,3826_7045
3826_285818,317500,2771500,Geometridae,Corymica deducta,成蟲,2014,344762,3826_11464
3826_293303,302500,2786500,Geometridae,Corymica deducta,成蟲,2014,344762,3826_11761
3826_274305,304500,2748500,Geometridae,Corymica deducta,成蟲,2014,344762,3826_10961
3826_287813,312500,2775500,Geometridae,Corymica deducta,成蟲,2014,344762,3826_11563
3826_264779,278500,2729500,Geometridae,Corymica deducta,成蟲,2015,344762,3826_10556
3826_252226,225500,2704500,Geometridae,Corymica deducta,成蟲,2014,344762,3826_10046
3826_281810,309500,2763500,Geometridae,Corymica deducta,成蟲,2015,344762,3826_11262
3826_266764,263500,2733500,Geometridae,Corymica deducta,成蟲,2016,344762,3826_10653
3826_273279,278500,2746500,Geometridae,Corymica deducta,成蟲,2013,344762,3826_10956
3826_271769,268500,2743500,Geometridae,Corymica deducta,成蟲,2013,344762,3826_10854
3826_276297,296500,2752500,Geometridae,Corymica deducta,成蟲,2012,344762,3826_11060
3826_213711,210500,2627500,Geometridae,Corymica deducta,成蟲,2016,344762,3826_8543
3826_293303,302500,2786500,Geometridae,Corymica deducta,成蟲,2016,344762,3826_11761
3826_270751,250500,2741500,Geometridae,Corymica deducta,成蟲,2016,344762,3826_10851
3826_269280,279500,2738500,Geometridae,Corymica deducta,成蟲,2014,344762,3826_10756
3826_269811,310500,2739500,Geometridae,Corymica deducta,成蟲,2016,344762,3826_10763
3826_267279,278500,2734500,Geometridae,Corymica deducta,成蟲,2016,344762,3826_10656
3826_264279,278500,2728500,Geometridae,Corymica deducta,成蟲,2016,344762,3826_10556
3826_224749,248500,2649500,Geometridae,Corymica deducta,成蟲,2016,344762,3826_8950
3826_213711,210500,2627500,Geometridae,Corymica deducta,成蟲,2017,344762,3826_8543
3826_292803,302500,2785500,Geometridae,Corymica deducta,成蟲,2017,344762,3826_11761
3826_263753,252500,2727500,Geometridae,Corymica deducta,成蟲,2017,344762,3826_10551
3826_281810,309500,2763500,Geometridae,Corymica deducta,成蟲,2017,344762,3826_11262
3826_266265,264500,2732500,Geometridae,Corymica deducta,成蟲,2017,344762,3826_10653
3826_293303,302500,2786500,Geometridae,Corymica deducta,成蟲,2017,344762,3826_11761
3826_175222,221500,2550500,Geometridae,Corymica deducta,成蟲,2017,344762,3826_7045
3826_229266,265500,2658500,Geometridae,Corymica deducta,成蟲,2017,344762,3826_9154
3826_270273,272500,2740500,Geometridae,Corymica deducta,成蟲,2017,344762,3826_10855
3826_282307,306500,2764500,Geometridae,Corymica deducta,成蟲,2017,344762,3826_11262
3826_205721,220500,2611500,Geometridae,Corymica deducta,成蟲,2017,344762,3826_8245
3826_232753,252500,2665500,Geometridae,Corymica deducta,成蟲,2017,344762,3826_9351
3826_293308,307500,2786500,Geometridae,Corymica deducta,成蟲,2017,344762,3826_11762
3826_207230,229500,2614500,Geometridae,Corymica deducta,幼蟲,2017,344762,3826_8246
3826_219741,240500,2639500,Geometridae,Corymica deducta,成蟲,2017,344762,3826_8749
3826_154218,217500,2508500,Geometridae,Corymica deducta,成蟲,2017,344762,3826_6144
3826_289805,304500,2779500,Geometridae,Corymica deducta,成蟲,2013,344762,3826_11561
3826_267278,277500,2734500,Geometridae,Corymica deducta,成蟲,2017,344762,3826_10656
3826_271279,278500,2742500,Geometridae,Corymica deducta,成蟲,2017,344762,3826_10856
3826_255812,311500,2711500,Geometridae,Corymica deducta,成蟲,2010,344762,3826_10263
3826_280805,304500,2761500,Geometridae,Corymica deducta,幼蟲,2018,344762,3826_11261
3826_282784,283500,2765500,Geometridae,Corymica deducta,幼蟲,2018,344762,3826_11357
