GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_242745,244500,2685500,Geometridae,Corymica spatiosa,成蟲,2011,344764,3826_9749
3826_166722,221500,2533500,Geometridae,Corymica spatiosa,成蟲,2011,344764,3826_6645
3826_291302,301500,2782500,Geometridae,Corymica spatiosa,成蟲,2012,344764,3826_11661
3826_187200,199500,2574500,Geometridae,Corymica spatiosa,成蟲,2012,344764,3826_7440
3826_218230,229500,2636500,Geometridae,Corymica spatiosa,成蟲,2012,344764,3826_8746
3826_204726,225500,2609500,Geometridae,Corymica spatiosa,成蟲,2012,344764,3826_8146
3826_275307,306500,2750500,Geometridae,Corymica spatiosa,成蟲,2012,344764,3826_11062
3826_198726,225500,2597500,Geometridae,Corymica spatiosa,成蟲,2012,344764,3826_7946
3826_273788,287500,2747500,Geometridae,Corymica spatiosa,成蟲,2012,344764,3826_10958
3826_267778,277500,2735500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_10756
3826_292307,306500,2784500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_11662
3826_282820,319500,2765500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_11364
3826_187200,199500,2574500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_7440
3826_150219,218500,2500500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_6044
3826_255762,261500,2711500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_10253
3826_269811,310500,2739500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_10763
3826_274304,303500,2748500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_10961
3826_281301,300500,2762500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_11261
3826_270273,272500,2740500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_10855
3826_282809,308500,2765500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_11362
3826_282300,299500,2764500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_11260
3826_220810,309500,2641500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_8862
3826_200731,230500,2601500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_8047
3826_175222,221500,2550500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_7045
3826_139724,223500,2479500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_5545
3826_264279,278500,2728500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_10556
3826_263260,259500,2726500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_10552
3826_263798,297500,2727500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_10560
3826_227307,306500,2654500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_9062
3826_264808,307500,2729500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_10562
3826_229766,265500,2659500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_9154
3826_265804,303500,2731500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_10661
3826_280316,315500,2760500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_11264
3826_280805,304500,2761500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_11261
3826_280809,308500,2761500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_11262
3826_153718,217500,2507500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_6144
3826_274290,289500,2748500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_10958
3826_282307,306500,2764500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_11262
3826_279316,315500,2758500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_11164
3826_283845,344500,2767500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_11369
3826_223302,301500,2646500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_8961
3826_255262,261500,2710500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_10253
3826_240741,240500,2681500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_9649
3826_272780,279500,2745500,Geometridae,Corymica spatiosa,成蟲,2014,344764,3826_10956
3826_195215,214500,2590500,Geometridae,Corymica spatiosa,成蟲,2015,344764,3826_7843
3826_279306,305500,2758500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_11162
3826_284810,309500,2769500,Geometridae,Corymica spatiosa,成蟲,2015,344764,3826_11362
3826_293308,307500,2786500,Geometridae,Corymica spatiosa,成蟲,2015,344764,3826_11762
3826_275786,285500,2751500,Geometridae,Corymica spatiosa,成蟲,2015,344764,3826_11058
3826_255762,261500,2711500,Geometridae,Corymica spatiosa,成蟲,2012,344764,3826_10253
3826_237789,288500,2675500,Geometridae,Corymica spatiosa,成蟲,2012,344764,3826_9558
3826_218230,229500,2636500,Geometridae,Corymica spatiosa,幼蟲,2013,344764,3826_8746
3826_272277,276500,2744500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_10856
3826_276808,307500,2753500,Geometridae,Corymica spatiosa,成蟲,2012,344764,3826_11062
3826_273279,278500,2746500,Geometridae,Corymica spatiosa,成蟲,2012,344764,3826_10956
3826_211732,231500,2623500,Geometridae,Corymica spatiosa,成蟲,2015,344764,3826_8447
3826_264279,278500,2728500,Geometridae,Corymica spatiosa,成蟲,2016,344764,3826_10556
3826_263260,259500,2726500,Geometridae,Corymica spatiosa,成蟲,2016,344764,3826_10552
3826_273279,278500,2746500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_10956
3826_273280,279500,2746500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_10956
3826_269278,277500,2738500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_10756
3826_291801,300500,2783500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_11661
3826_281810,309500,2763500,Geometridae,Corymica spatiosa,成蟲,2016,344764,3826_11262
3826_290805,304500,2781500,Geometridae,Corymica spatiosa,成蟲,2013,344764,3826_11661
