GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_286791,290500,2773500,Erebidae,Cosmophila lyona,成蟲,2012,346005,3826_11459
3826_291801,300500,2783500,Erebidae,Cosmophila lyona,成蟲,2013,346005,3826_11661
3826_281309,308500,2762500,Erebidae,Cosmophila lyona,成蟲,2013,346005,3826_11262
3826_152210,209500,2504500,Erebidae,Cosmophila lyona,成蟲,2013,346005,3826_6042
3826_150219,218500,2500500,Erebidae,Cosmophila lyona,成蟲,2013,346005,3826_6044
3826_237248,247500,2674500,Erebidae,Cosmophila lyona,成蟲,2015,346005,3826_9450
3826_291802,301500,2783500,Erebidae,Cosmophila lyona,成蟲,2015,346005,3826_11661
3826_164183,182500,2528500,Erebidae,Cosmophila lyona,成蟲,2015,346005,3826_6537
3826_291801,300500,2783500,Erebidae,Cosmophila lyona,成蟲,2012,346005,3826_11661
3826_152175,174500,2504500,Erebidae,Cosmophila lyona,成蟲,2015,346005,3826_6035
3826_265790,289500,2731500,Erebidae,Cosmophila lyona,成蟲,2016,346005,3826_10658
3826_177779,278500,2555500,Erebidae,Cosmophila lyona,成蟲,2015,346005,3826_7156
3826_218230,229500,2636500,Erebidae,Cosmophila lyona,成蟲,2016,346005,3826_8746
3826_267279,278500,2734500,Erebidae,Cosmophila lyona,成蟲,2016,346005,3826_10656
3826_155691,190500,2511500,Erebidae,Cosmophila lyona,成蟲,2016,346005,3826_6239
3826_238231,230500,2676500,Erebidae,Cosmophila lyona,成蟲,2017,346005,3826_9547
3826_287794,293500,2775500,Erebidae,Cosmophila lyona,成蟲,2018,346005,3826_11559
3826_264283,282500,2728500,Erebidae,Cosmophila lyona,成蟲,2018,346005,3826_10557
3826_231705,204500,2663500,Erebidae,Cosmophila lyona,成蟲,2018,346005,3826_9241
3826_267261,260500,2734500,Erebidae,Cosmophila lyona,成蟲,2018,346005,3826_10653
3826_154218,217500,2508500,Erebidae,Cosmophila lyona,成蟲,2018,346005,3826_6144
3826_266264,263500,2732500,Erebidae,Cosmophila lyona,成蟲,2018,346005,3826_10653
3826_242745,244500,2685500,Erebidae,Cosmophila lyona,成蟲,2018,346005,3826_9749
3826_255812,311500,2711500,Erebidae,Cosmophila lyona,成蟲,2010,346005,3826_10263
3826_266755,254500,2733500,Erebidae,Cosmophila lyona,成蟲,2018,346005,3826_10651
3826_257253,252500,2714500,Erebidae,Cosmophila lyona,成蟲,2018,346005,3826_10251
3826_255743,242500,2711500,Erebidae,Cosmophila lyona,成蟲,2018,346005,3826_10249
3826_282307,306500,2764500,Erebidae,Cosmophila lyona,成蟲,2019,346005,3826_11262
3826_241231,230500,2682500,Erebidae,Cosmophila lyona,成蟲,2019,346005,3826_9647
3826_287294,293500,2774500,Erebidae,Cosmophila lyona,成蟲,2019,346005,3826_11459
3826_289805,304500,2779500,Erebidae,Cosmophila lyona,成蟲,2012,346005,3826_11561
3826_209730,229500,2619500,Erebidae,Cosmophila lyona,成蟲,2017,346005,3826_8346
3826_264778,277500,2729500,Erebidae,Cosmophila lyona,成蟲,2018,346005,3826_10556
3826_283807,306500,2767500,Erebidae,Cosmophila lyona,成蟲,2014,346005,3826_11362
3826_289805,304500,2779500,Erebidae,Cosmophila lyona,成蟲,2014,346005,3826_11561
3826_259800,299500,2719500,Erebidae,Cosmophila lyona,成蟲,2014,346005,3826_10360
3826_269315,314500,2738500,Erebidae,Cosmophila lyona,成蟲,2020,346005,3826_10763
3826_272276,275500,2744500,Erebidae,Cosmophila lyona,成蟲,2020,346005,3826_10856
3826_156715,214500,2513500,Erebidae,Cosmophila lyona,成蟲,2020,346005,3826_6243
3826_273788,287500,2747500,Erebidae,Cosmophila lyona,成蟲,2021,346005,3826_10958
3826_282307,306500,2764500,Erebidae,Cosmophila lyona,成蟲,2021,346005,3826_11262
3826_162692,191500,2525500,Erebidae,Cosmophila lyona,成蟲,2021,346005,3826_6539
3826_147746,245500,2495500,Erebidae,Cosmophila lyona,成蟲,2021,346005,3826_5950
3826_267262,261500,2734500,Erebidae,Cosmophila lyona,成蟲,2022,346005,3826_10653
3826_218737,236500,2637500,Erebidae,Cosmophila lyona,成蟲,2022,346005,3826_8748
3826_284810,309500,2769500,Erebidae,Cosmophila lyona,成蟲,2022,346005,3826_11362
