GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_273788,287500,2747500,Erebidae,Creatonotos gangis,成蟲,2012,343822,3826_10958
3826_152210,209500,2504500,Erebidae,Creatonotos gangis,成蟲,2013,343822,3826_6042
3826_238700,199500,2677500,Erebidae,Creatonotos gangis,成蟲,2016,343822,3826_9540
3826_222805,304500,2645500,Erebidae,Creatonotos gangis,成蟲,2014,343822,3826_8961
3826_282292,291500,2764500,Erebidae,Creatonotos gangis,成蟲,2015,343822,3826_11259
3826_287813,312500,2775500,Erebidae,Creatonotos gangis,成蟲,2014,343822,3826_11563
3826_268819,318500,2737500,Erebidae,Creatonotos gangis,成蟲,2014,343822,3826_10764
3826_151183,182500,2502500,Erebidae,Creatonotos gangis,成蟲,2014,343822,3826_6037
3826_292292,291500,2784500,Erebidae,Creatonotos gangis,成蟲,2015,343822,3826_11659
3826_243326,325500,2686500,Erebidae,Creatonotos gangis,成蟲,2015,343822,3826_9766
3826_279306,305500,2758500,Erebidae,Creatonotos gangis,成蟲,2015,343822,3826_11162
3826_245724,223500,2691500,Erebidae,Creatonotos gangis,成蟲,2015,343822,3826_9845
3826_273781,280500,2747500,Erebidae,Creatonotos gangis,成蟲,2012,343822,3826_10957
3826_291801,300500,2783500,Erebidae,Creatonotos gangis,成蟲,2012,343822,3826_11661
3826_225807,306500,2651500,Erebidae,Creatonotos gangis,成蟲,2015,343822,3826_9062
3826_281309,308500,2762500,Erebidae,Creatonotos gangis,成蟲,2015,343822,3826_11262
3826_186781,280500,2573500,Erebidae,Creatonotos gangis,成蟲,2016,343822,3826_7457
3826_157178,177500,2514500,Erebidae,Creatonotos gangis,成蟲,2016,343822,3826_6236
3826_220699,198500,2641500,Erebidae,Creatonotos gangis,成蟲,2016,343822,3826_8840
3826_289300,299500,2778500,Erebidae,Creatonotos gangis,成蟲,2016,343822,3826_11560
3826_176654,153500,2553500,Erebidae,Creatonotos gangis,幼蟲,2016,343822,3826_7031
3826_287811,310500,2775500,Erebidae,Creatonotos gangis,幼蟲,2016,343822,3826_11563
3826_224749,248500,2649500,Erebidae,Creatonotos gangis,成蟲,2017,343822,3826_8950
3826_251724,223500,2703500,Erebidae,Creatonotos gangis,成蟲,2022,343822,3826_10045
3826_284802,301500,2769500,Erebidae,Creatonotos gangis,成蟲,2017,343822,3826_11361
3826_281810,309500,2763500,Erebidae,Creatonotos gangis,成蟲,2017,343822,3826_11262
3826_212706,205500,2625500,Erebidae,Creatonotos gangis,成蟲,2017,343822,3826_8542
3826_280804,303500,2761500,Erebidae,Creatonotos gangis,成蟲,2017,343822,3826_11261
3826_201180,179500,2602500,Erebidae,Creatonotos gangis,成蟲,2017,343822,3826_8036
3826_285313,312500,2770500,Erebidae,Creatonotos gangis,成蟲,2017,343822,3826_11463
3826_152708,207500,2505500,Erebidae,Creatonotos gangis,成蟲,2017,343822,3826_6142
3826_254232,231500,2708500,Erebidae,Creatonotos gangis,成蟲,2018,343822,3826_10147
3826_276756,255500,2753500,Erebidae,Creatonotos gangis,成蟲,2018,343822,3826_11052
3826_281301,300500,2762500,Erebidae,Creatonotos gangis,成蟲,2018,343822,3826_11261
3826_269273,272500,2738500,Erebidae,Creatonotos gangis,成蟲,2018,343822,3826_10755
3826_154679,178500,2509500,Erebidae,Creatonotos gangis,幼蟲,2018,343822,3826_6136
3826_267260,259500,2734500,Erebidae,Creatonotos gangis,成蟲,2018,343822,3826_10652
3826_149195,194500,2498500,Erebidae,Creatonotos gangis,成蟲,2018,343822,3826_5939
3826_281810,309500,2763500,Erebidae,Creatonotos gangis,成蟲,2018,343822,3826_11262
3826_279782,281500,2759500,Erebidae,Creatonotos gangis,成蟲,2018,343822,3826_11157
3826_285299,298500,2770500,Erebidae,Creatonotos gangis,幼蟲,2018,343822,3826_11460
3826_152175,174500,2504500,Erebidae,Creatonotos gangis,成蟲,2018,343822,3826_6035
3826_276756,255500,2753500,Erebidae,Creatonotos gangis,幼蟲,2018,343822,3826_11052
3826_269271,270500,2738500,Erebidae,Creatonotos gangis,成蟲,2018,343822,3826_10755
3826_252833,332500,2705500,Erebidae,Creatonotos gangis,成蟲,2018,343822,3826_10167
3826_205689,188500,2611500,Erebidae,Creatonotos gangis,成蟲,2019,343822,3826_8238
3826_270754,253500,2741500,Erebidae,Creatonotos gangis,成蟲,2018,343822,3826_10851
3826_172173,172500,2544500,Erebidae,Creatonotos gangis,成蟲,2019,343822,3826_6835
3826_117734,233500,2435500,Erebidae,Creatonotos gangis,成蟲,2019,343822,3826_4747
3826_154218,217500,2508500,Erebidae,Creatonotos gangis,成蟲,2013,343822,3826_6144
