GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_239301,300500,2678500,Erebidae,Cyana hamata hamata,成蟲,2011,433597,3826_9561
3826_228264,263500,2656500,Erebidae,Cyana hamata hamata,成蟲,2011,433597,3826_9153
3826_242745,244500,2685500,Erebidae,Cyana hamata hamata,成蟲,2011,433597,3826_9749
3826_238752,251500,2677500,Erebidae,Cyana hamata hamata,成蟲,2011,433597,3826_9551
3826_291804,303500,2783500,Erebidae,Cyana hamata hamata,成蟲,2011,433597,3826_11661
3826_187200,199500,2574500,Erebidae,Cyana hamata hamata,成蟲,2011,433597,3826_7440
3826_269312,311500,2738500,Erebidae,Cyana hamata hamata,成蟲,2011,433597,3826_10763
3826_273304,303500,2746500,Erebidae,Cyana hamata hamata,成蟲,2011,433597,3826_10961
3826_166722,221500,2533500,Erebidae,Cyana hamata hamata,成蟲,2011,433597,3826_6645
3826_219741,240500,2639500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_8749
3826_234267,266500,2668500,Erebidae,Cyana hamata hamata,成蟲,2010,433597,3826_9354
3826_291805,304500,2783500,Erebidae,Cyana hamata hamata,幼蟲,2012,433597,3826_11661
3826_287813,312500,2775500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_11563
3826_288838,337500,2777500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_11568
3826_273304,303500,2746500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_10961
3826_292305,304500,2784500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_11661
3826_291302,301500,2782500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_11661
3826_281312,311500,2762500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_11263
3826_272277,276500,2744500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_10856
3826_275267,266500,2750500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_11054
3826_187200,199500,2574500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_7440
3826_219244,243500,2638500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_8749
3826_253236,235500,2706500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_10148
3826_204726,225500,2609500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_8146
3826_291801,300500,2783500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_11661
3826_198726,225500,2597500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_7946
3826_197218,217500,2594500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_7844
3826_204739,238500,2609500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_8148
3826_237801,300500,2675500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_9561
3826_273788,287500,2747500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_10958
3826_284309,308500,2768500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_11362
3826_228759,258500,2657500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_9152
3826_238251,250500,2676500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_9551
3826_265289,288500,2730500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_10658
3826_290805,304500,2781500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_11661
3826_123727,226500,2447500,Erebidae,Cyana hamata hamata,成蟲,2012,433597,3826_4946
3826_293805,304500,2787500,Erebidae,Cyana hamata hamata,幼蟲,2013,433597,3826_11761
3826_284315,314500,2768500,Erebidae,Cyana hamata hamata,成蟲,2013,433597,3826_11363
3826_291805,304500,2783500,Erebidae,Cyana hamata hamata,成蟲,2013,433597,3826_11661
3826_292304,303500,2784500,Erebidae,Cyana hamata hamata,成蟲,2013,433597,3826_11661
3826_292307,306500,2784500,Erebidae,Cyana hamata hamata,成蟲,2013,433597,3826_11662
3826_271769,268500,2743500,Erebidae,Cyana hamata hamata,成蟲,2013,433597,3826_10854
3826_272277,276500,2744500,Erebidae,Cyana hamata hamata,成蟲,2013,433597,3826_10856
3826_257742,241500,2715500,Erebidae,Cyana hamata hamata,成蟲,2013,433597,3826_10349
3826_267778,277500,2735500,Erebidae,Cyana hamata hamata,成蟲,2013,433597,3826_10756
3826_188716,215500,2577500,Erebidae,Cyana hamata hamata,成蟲,2013,433597,3826_7544
3826_207229,228500,2614500,Erebidae,Cyana hamata hamata,成蟲,2013,433597,3826_8246
3826_279306,305500,2758500,Erebidae,Cyana hamata hamata,成蟲,2013,433597,3826_11162
3826_150219,218500,2500500,Erebidae,Cyana hamata hamata,成蟲,2013,433597,3826_6044
3826_263798,297500,2727500,Erebidae,Cyana hamata hamata,成蟲,2013,433597,3826_10560
3826_269811,310500,2739500,Erebidae,Cyana hamata hamata,成蟲,2013,433597,3826_10763
3826_268826,325500,2737500,Erebidae,Cyana hamata hamata,成蟲,2013,433597,3826_10766
3826_291801,300500,2783500,Erebidae,Cyana hamata hamata,成蟲,2013,433597,3826_11661
3826_273826,325500,2747500,Erebidae,Cyana hamata hamata,成蟲,2013,433597,3826_10966
