GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263798,297500,2727500,Erebidae,Cyana propinqua,成蟲,2012,343829,3826_10560
3826_267778,277500,2735500,Erebidae,Cyana propinqua,成蟲,2013,343829,3826_10756
3826_288310,309500,2776500,Erebidae,Cyana propinqua,成蟲,2013,343829,3826_11562
3826_269774,273500,2739500,Erebidae,Cyana propinqua,成蟲,2014,343829,3826_10755
3826_259791,290500,2719500,Erebidae,Cyana propinqua,成蟲,2015,343829,3826_10359
3826_195215,214500,2590500,Erebidae,Cyana propinqua,成蟲,2015,343829,3826_7843
3826_241275,274500,2682500,Erebidae,Cyana propinqua,成蟲,2015,343829,3826_9655
3826_292805,304500,2785500,Erebidae,Cyana propinqua,成蟲,2014,343829,3826_11761
3826_268276,275500,2736500,Erebidae,Cyana propinqua,幼蟲,2014,343829,3826_10756
3826_270776,275500,2741500,Erebidae,Cyana propinqua,幼蟲,2016,343829,3826_10856
3826_270777,276500,2741500,Erebidae,Cyana propinqua,幼蟲,2016,343829,3826_10856
3826_242745,244500,2685500,Erebidae,Cyana propinqua,成蟲,2013,343829,3826_9749
3826_259784,283500,2719500,Erebidae,Cyana propinqua,成蟲,2016,343829,3826_10357
3826_263260,259500,2726500,Erebidae,Cyana propinqua,成蟲,2016,343829,3826_10552
3826_289809,308500,2779500,Erebidae,Cyana propinqua,成蟲,2016,343829,3826_11562
3826_248728,227500,2697500,Erebidae,Cyana propinqua,成蟲,2017,343829,3826_9946
3826_293303,302500,2786500,Erebidae,Cyana propinqua,成蟲,2017,343829,3826_11761
3826_200230,229500,2600500,Erebidae,Cyana propinqua,成蟲,2017,343829,3826_8046
3826_214229,228500,2628500,Erebidae,Cyana propinqua,成蟲,2017,343829,3826_8546
3826_281810,309500,2763500,Erebidae,Cyana propinqua,成蟲,2017,343829,3826_11262
3826_187200,199500,2574500,Erebidae,Cyana propinqua,幼蟲,2017,343829,3826_7440
3826_271279,278500,2742500,Erebidae,Cyana propinqua,成蟲,2017,343829,3826_10856
3826_199222,221500,2598500,Erebidae,Cyana propinqua,成蟲,2017,343829,3826_7945
3826_200220,219500,2600500,Erebidae,Cyana propinqua,成蟲,2018,343829,3826_8044
3826_254805,304500,2709500,Erebidae,Cyana propinqua,成蟲,2018,343829,3826_10161
3826_251789,288500,2703500,Erebidae,Cyana propinqua,成蟲,2018,343829,3826_10058
3826_266265,264500,2732500,Erebidae,Cyana propinqua,成蟲,2018,343829,3826_10653
3826_209230,229500,2618500,Erebidae,Cyana propinqua,成蟲,2018,343829,3826_8346
3826_154218,217500,2508500,Erebidae,Cyana propinqua,成蟲,2018,343829,3826_6144
3826_240248,247500,2680500,Erebidae,Cyana propinqua,成蟲,2018,343829,3826_9650
3826_281324,323500,2762500,Erebidae,Cyana propinqua,成蟲,2018,343829,3826_11265
3826_276793,292500,2753500,Erebidae,Cyana propinqua,成蟲,2018,343829,3826_11059
3826_209730,229500,2619500,Erebidae,Cyana propinqua,成蟲,2019,343829,3826_8346
3826_273304,303500,2746500,Erebidae,Cyana propinqua,成蟲,2019,343829,3826_10961
3826_255743,242500,2711500,Erebidae,Cyana propinqua,成蟲,2018,343829,3826_10249
3826_207230,229500,2614500,Erebidae,Cyana propinqua,成蟲,2019,343829,3826_8246
3826_273796,295500,2747500,Erebidae,Cyana propinqua,成蟲,2019,343829,3826_10960
3826_263798,297500,2727500,Erebidae,Cyana propinqua,成蟲,2011,343829,3826_10560
3826_255743,242500,2711500,Erebidae,Cyana propinqua,成蟲,2019,343829,3826_10249
3826_279300,299500,2758500,Erebidae,Cyana propinqua,成蟲,2019,343829,3826_11160
3826_237233,232500,2674500,Erebidae,Cyana propinqua,成蟲,2019,343829,3826_9447
3826_265765,264500,2731500,Erebidae,Cyana propinqua,成蟲,2019,343829,3826_10653
3826_200219,218500,2600500,Erebidae,Cyana propinqua,成蟲,2019,343829,3826_8044
3826_198717,216500,2597500,Erebidae,Cyana propinqua,成蟲,2019,343829,3826_7944
3826_251789,288500,2703500,Erebidae,Cyana propinqua,成蟲,2019,343829,3826_10058
3826_274305,304500,2748500,Erebidae,Cyana propinqua,成蟲,2019,343829,3826_10961
3826_282822,321500,2765500,Erebidae,Cyana propinqua,成蟲,2019,343829,3826_11365
3826_251728,227500,2703500,Erebidae,Cyana propinqua,成蟲,2020,343829,3826_10046
3826_209730,229500,2619500,Erebidae,Cyana propinqua,成蟲,2015,343829,3826_8346
3826_273796,295500,2747500,Erebidae,Cyana propinqua,成蟲,2020,343829,3826_10960
3826_277327,326500,2754500,Erebidae,Cyana propinqua,成蟲,2020,343829,3826_11066
3826_239300,299500,2678500,Erebidae,Cyana propinqua,成蟲,2020,343829,3826_9560
3826_261760,259500,2723500,Erebidae,Cyana propinqua,成蟲,2020,343829,3826_10452
3826_238794,293500,2677500,Erebidae,Cyana propinqua,成蟲,2020,343829,3826_9559
3826_139225,224500,2478500,Erebidae,Cyana propinqua,成蟲,2020,343829,3826_5545
3826_273788,287500,2747500,Erebidae,Cyana propinqua,成蟲,2020,343829,3826_10958
3826_247226,225500,2694500,Erebidae,Cyana propinqua,成蟲,2020,343829,3826_9846
3826_255762,261500,2711500,Erebidae,Cyana propinqua,成蟲,2020,343829,3826_10253
3826_293303,302500,2786500,Erebidae,Cyana propinqua,成蟲,2021,343829,3826_11761
3826_271271,270500,2742500,Erebidae,Cyana propinqua,成蟲,2021,343829,3826_10855
3826_217792,291500,2635500,Erebidae,Cyana propinqua,成蟲,2021,343829,3826_8759
3826_282317,316500,2764500,Erebidae,Cyana propinqua,成蟲,2013,343829,3826_11264
3826_219234,233500,2638500,Erebidae,Cyana propinqua,成蟲,2022,343829,3826_8747
3826_139225,224500,2478500,Erebidae,Cyana propinqua,成蟲,2022,343829,3826_5545
3826_293303,302500,2786500,Erebidae,Cyana propinqua,成蟲,2015,343829,3826_11761
