GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_264281,280500,2728500,Noctuidae,Cymatophoropsis formosana,成蟲,2013,346187,3826_10557
3826_224769,268500,2649500,Noctuidae,Cymatophoropsis formosana,成蟲,2013,346187,3826_8954
3826_186733,232500,2573500,Noctuidae,Cymatophoropsis formosana,成蟲,2014,346187,3826_7447
3826_264279,278500,2728500,Noctuidae,Cymatophoropsis formosana,成蟲,2014,346187,3826_10556
3826_175223,222500,2550500,Noctuidae,Cymatophoropsis formosana,成蟲,2014,346187,3826_7045
3826_188240,239500,2576500,Noctuidae,Cymatophoropsis formosana,成蟲,2015,346187,3826_7548
3826_264279,278500,2728500,Noctuidae,Cymatophoropsis formosana,成蟲,2015,346187,3826_10556
3826_264283,282500,2728500,Noctuidae,Cymatophoropsis formosana,成蟲,2015,346187,3826_10557
3826_264779,278500,2729500,Noctuidae,Cymatophoropsis formosana,成蟲,2014,346187,3826_10556
3826_203289,288500,2606500,Noctuidae,Cymatophoropsis formosana,成蟲,2014,346187,3826_8158
3826_215255,254500,2630500,Noctuidae,Cymatophoropsis formosana,成蟲,2014,346187,3826_8651
3826_175726,225500,2551500,Noctuidae,Cymatophoropsis formosana,成蟲,2012,346187,3826_7046
3826_195715,214500,2591500,Noctuidae,Cymatophoropsis formosana,成蟲,2014,346187,3826_7843
3826_266769,268500,2733500,Noctuidae,Cymatophoropsis formosana,幼蟲,2016,346187,3826_10654
3826_263260,259500,2726500,Noctuidae,Cymatophoropsis formosana,成蟲,2016,346187,3826_10552
3826_207230,229500,2614500,Noctuidae,Cymatophoropsis formosana,成蟲,2016,346187,3826_8246
3826_261280,279500,2722500,Noctuidae,Cymatophoropsis formosana,成蟲,2017,346187,3826_10456
3826_259282,281500,2718500,Noctuidae,Cymatophoropsis formosana,成蟲,2017,346187,3826_10357
3826_195716,215500,2591500,Noctuidae,Cymatophoropsis formosana,幼蟲,2017,346187,3826_7844
3826_207235,234500,2614500,Noctuidae,Cymatophoropsis formosana,成蟲,2017,346187,3826_8247
3826_225263,262500,2650500,Noctuidae,Cymatophoropsis formosana,成蟲,2017,346187,3826_9053
3826_267278,277500,2734500,Noctuidae,Cymatophoropsis formosana,成蟲,2017,346187,3826_10656
