GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_292805,304500,2785500,Sphingidae,Cypoides chinensis,成蟲,2010,347647,3826_11761
3826_297809,308500,2795500,Sphingidae,Cypoides chinensis,幼蟲,2012,347647,3826_11962
3826_297809,308500,2795500,Sphingidae,Cypoides chinensis,成蟲,2012,347647,3826_11962
3826_290294,293500,2780500,Sphingidae,Cypoides chinensis,成蟲,2012,347647,3826_11659
3826_204726,225500,2609500,Sphingidae,Cypoides chinensis,成蟲,2012,347647,3826_8146
3826_279306,305500,2758500,Sphingidae,Cypoides chinensis,成蟲,2013,347647,3826_11162
3826_266771,270500,2733500,Sphingidae,Cypoides chinensis,成蟲,2013,347647,3826_10655
3826_228759,258500,2657500,Sphingidae,Cypoides chinensis,幼蟲,2013,347647,3826_9152
3826_288310,309500,2776500,Sphingidae,Cypoides chinensis,幼蟲,2013,347647,3826_11562
3826_282809,308500,2765500,Sphingidae,Cypoides chinensis,成蟲,2014,347647,3826_11362
3826_286813,312500,2773500,Sphingidae,Cypoides chinensis,成蟲,2011,347647,3826_11463
3826_279306,305500,2758500,Sphingidae,Cypoides chinensis,成蟲,2014,347647,3826_11162
3826_272775,274500,2745500,Sphingidae,Cypoides chinensis,成蟲,2014,347647,3826_10955
3826_140224,223500,2480500,Sphingidae,Cypoides chinensis,成蟲,2014,347647,3826_5645
3826_139724,223500,2479500,Sphingidae,Cypoides chinensis,成蟲,2014,347647,3826_5545
3826_291805,304500,2783500,Sphingidae,Cypoides chinensis,成蟲,2014,347647,3826_11661
3826_284792,291500,2769500,Sphingidae,Cypoides chinensis,成蟲,2014,347647,3826_11359
3826_289824,323500,2779500,Sphingidae,Cypoides chinensis,成蟲,2014,347647,3826_11565
3826_291303,302500,2782500,Sphingidae,Cypoides chinensis,幼蟲,2014,347647,3826_11661
3826_285817,316500,2771500,Sphingidae,Cypoides chinensis,成蟲,2014,347647,3826_11464
3826_279801,300500,2759500,Sphingidae,Cypoides chinensis,成蟲,2015,347647,3826_11161
3826_291801,300500,2783500,Sphingidae,Cypoides chinensis,成蟲,2014,347647,3826_11661
3826_227741,240500,2655500,Sphingidae,Cypoides chinensis,幼蟲,2014,347647,3826_9149
3826_285293,292500,2770500,Sphingidae,Cypoides chinensis,成蟲,2015,347647,3826_11459
3826_175725,224500,2551500,Sphingidae,Cypoides chinensis,成蟲,2014,347647,3826_7045
3826_280805,304500,2761500,Sphingidae,Cypoides chinensis,幼蟲,2014,347647,3826_11261
3826_282806,305500,2765500,Sphingidae,Cypoides chinensis,幼蟲,2015,347647,3826_11362
3826_281341,340500,2762500,Sphingidae,Cypoides chinensis,幼蟲,2015,347647,3826_11269
3826_290804,303500,2781500,Sphingidae,Cypoides chinensis,成蟲,2015,347647,3826_11661
3826_272775,274500,2745500,Sphingidae,Cypoides chinensis,成蟲,2015,347647,3826_10955
3826_290292,291500,2780500,Sphingidae,Cypoides chinensis,成蟲,2012,347647,3826_11659
3826_282784,283500,2765500,Sphingidae,Cypoides chinensis,幼蟲,2015,347647,3826_11357
3826_279306,305500,2758500,Sphingidae,Cypoides chinensis,成蟲,2012,347647,3826_11162
3826_279306,305500,2758500,Sphingidae,Cypoides chinensis,成蟲,2015,347647,3826_11162
3826_279306,305500,2758500,Sphingidae,Cypoides chinensis,幼蟲,2015,347647,3826_11162
3826_293308,307500,2786500,Sphingidae,Cypoides chinensis,成蟲,2011,347647,3826_11762
3826_282809,308500,2765500,Sphingidae,Cypoides chinensis,幼蟲,2015,347647,3826_11362
3826_232753,252500,2665500,Sphingidae,Cypoides chinensis,幼蟲,2015,347647,3826_9351
3826_272276,275500,2744500,Sphingidae,Cypoides chinensis,幼蟲,2015,347647,3826_10856
3826_285293,292500,2770500,Sphingidae,Cypoides chinensis,幼蟲,2015,347647,3826_11459
3826_286288,287500,2772500,Sphingidae,Cypoides chinensis,幼蟲,2015,347647,3826_11458
3826_293308,307500,2786500,Sphingidae,Cypoides chinensis,成蟲,2015,347647,3826_11762
3826_282808,307500,2765500,Sphingidae,Cypoides chinensis,成蟲,2015,347647,3826_11362
3826_291801,300500,2783500,Sphingidae,Cypoides chinensis,成蟲,2012,347647,3826_11661
