GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263798,297500,2727500,Geometridae,Deileptenia rimosaria,成蟲,2011,344774,3826_10560
3826_273788,287500,2747500,Geometridae,Deileptenia rimosaria,成蟲,2013,344774,3826_10958
3826_247282,281500,2694500,Geometridae,Deileptenia rimosaria,成蟲,2013,344774,3826_9857
3826_254805,304500,2709500,Geometridae,Deileptenia rimosaria,成蟲,2013,344774,3826_10161
3826_200731,230500,2601500,Geometridae,Deileptenia rimosaria,成蟲,2014,344774,3826_8047
3826_281820,319500,2763500,Geometridae,Deileptenia rimosaria,成蟲,2013,344774,3826_11264
3826_264279,278500,2728500,Geometridae,Deileptenia rimosaria,成蟲,2014,344774,3826_10556
3826_264279,278500,2728500,Geometridae,Deileptenia rimosaria,成蟲,2015,344774,3826_10556
3826_256762,261500,2713500,Geometridae,Deileptenia rimosaria,成蟲,2015,344774,3826_10253
3826_264779,278500,2729500,Geometridae,Deileptenia rimosaria,成蟲,2015,344774,3826_10556
3826_198733,232500,2597500,Geometridae,Deileptenia rimosaria,成蟲,2015,344774,3826_7947
3826_237785,284500,2675500,Geometridae,Deileptenia rimosaria,成蟲,2012,344774,3826_9557
3826_227258,257500,2654500,Geometridae,Deileptenia rimosaria,幼蟲,2015,344774,3826_9052
3826_207230,229500,2614500,Geometridae,Deileptenia rimosaria,幼蟲,2015,344774,3826_8246
3826_269315,314500,2738500,Geometridae,Deileptenia rimosaria,成蟲,2012,344774,3826_10763
3826_256262,261500,2712500,Geometridae,Deileptenia rimosaria,成蟲,2016,344774,3826_10253
3826_269811,310500,2739500,Geometridae,Deileptenia rimosaria,成蟲,2016,344774,3826_10763
3826_209230,229500,2618500,Geometridae,Deileptenia rimosaria,成蟲,2016,344774,3826_8346
3826_275806,305500,2751500,Geometridae,Deileptenia rimosaria,成蟲,2016,344774,3826_11062
3826_264279,278500,2728500,Geometridae,Deileptenia rimosaria,成蟲,2016,344774,3826_10556
3826_232268,267500,2664500,Geometridae,Deileptenia rimosaria,成蟲,2013,344774,3826_9254
3826_185749,248500,2571500,Geometridae,Deileptenia rimosaria,成蟲,2016,344774,3826_7450
3826_198739,238500,2597500,Geometridae,Deileptenia rimosaria,成蟲,2016,344774,3826_7948
3826_254805,304500,2709500,Geometridae,Deileptenia rimosaria,成蟲,2016,344774,3826_10161
3826_277327,326500,2754500,Geometridae,Deileptenia rimosaria,成蟲,2016,344774,3826_11066
3826_207230,229500,2614500,Geometridae,Deileptenia rimosaria,成蟲,2017,344774,3826_8246
3826_260294,293500,2720500,Geometridae,Deileptenia rimosaria,成蟲,2017,344774,3826_10459
3826_199233,232500,2598500,Geometridae,Deileptenia rimosaria,成蟲,2017,344774,3826_7947
3826_200230,229500,2600500,Geometridae,Deileptenia rimosaria,成蟲,2017,344774,3826_8046
3826_264279,278500,2728500,Geometridae,Deileptenia rimosaria,成蟲,2017,344774,3826_10556
3826_254805,304500,2709500,Geometridae,Deileptenia rimosaria,成蟲,2017,344774,3826_10161
3826_207230,229500,2614500,Geometridae,Deileptenia rimosaria,成蟲,2018,344774,3826_8246
3826_255262,261500,2710500,Geometridae,Deileptenia rimosaria,成蟲,2018,344774,3826_10253
3826_280320,319500,2760500,Geometridae,Deileptenia rimosaria,成蟲,2018,344774,3826_11264
3826_258301,300500,2716500,Geometridae,Deileptenia rimosaria,成蟲,2018,344774,3826_10361
3826_241751,250500,2683500,Geometridae,Deileptenia rimosaria,成蟲,2018,344774,3826_9651
3826_238794,293500,2677500,Geometridae,Deileptenia rimosaria,成蟲,2018,344774,3826_9559
3826_224769,268500,2649500,Geometridae,Deileptenia rimosaria,成蟲,2018,344774,3826_8954
3826_241248,247500,2682500,Geometridae,Deileptenia rimosaria,成蟲,2018,344774,3826_9650
3826_254805,304500,2709500,Geometridae,Deileptenia rimosaria,成蟲,2018,344774,3826_10161
3826_257802,301500,2715500,Geometridae,Deileptenia rimosaria,成蟲,2018,344774,3826_10361
3826_255262,261500,2710500,Geometridae,Deileptenia rimosaria,成蟲,2017,344774,3826_10253
3826_256762,261500,2713500,Geometridae,Deileptenia rimosaria,成蟲,2010,344774,3826_10253
3826_259261,260500,2718500,Geometridae,Deileptenia rimosaria,成蟲,2010,344774,3826_10353
3826_273796,295500,2747500,Geometridae,Deileptenia rimosaria,成蟲,2019,344774,3826_10960
3826_238794,293500,2677500,Geometridae,Deileptenia rimosaria,成蟲,2019,344774,3826_9559
3826_259801,300500,2719500,Geometridae,Deileptenia rimosaria,成蟲,2019,344774,3826_10361
3826_200731,230500,2601500,Geometridae,Deileptenia rimosaria,成蟲,2019,344774,3826_8047
3826_239282,281500,2678500,Geometridae,Deileptenia rimosaria,幼蟲,2019,344774,3826_9557
3826_241248,247500,2682500,Geometridae,Deileptenia rimosaria,成蟲,2019,344774,3826_9650
3826_198739,238500,2597500,Geometridae,Deileptenia rimosaria,成蟲,2019,344774,3826_7948
3826_200230,229500,2600500,Geometridae,Deileptenia rimosaria,成蟲,2019,344774,3826_8046
3826_253799,298500,2707500,Geometridae,Deileptenia rimosaria,成蟲,2019,344774,3826_10160
3826_254805,304500,2709500,Geometridae,Deileptenia rimosaria,成蟲,2019,344774,3826_10161
3826_207230,229500,2614500,Geometridae,Deileptenia rimosaria,成蟲,2015,344774,3826_8246
3826_207729,228500,2615500,Geometridae,Deileptenia rimosaria,成蟲,2019,344774,3826_8346
3826_209230,229500,2618500,Geometridae,Deileptenia rimosaria,成蟲,2019,344774,3826_8346
3826_232268,267500,2664500,Geometridae,Deileptenia rimosaria,成蟲,2020,344774,3826_9254
3826_269811,310500,2739500,Geometridae,Deileptenia rimosaria,成蟲,2020,344774,3826_10763
3826_198240,239500,2596500,Geometridae,Deileptenia rimosaria,幼蟲,2020,344774,3826_7948
3826_241248,247500,2682500,Geometridae,Deileptenia rimosaria,成蟲,2020,344774,3826_9650
3826_207230,229500,2614500,Geometridae,Deileptenia rimosaria,成蟲,2020,344774,3826_8246
3826_238794,293500,2677500,Geometridae,Deileptenia rimosaria,成蟲,2020,344774,3826_9559
3826_198720,219500,2597500,Geometridae,Deileptenia rimosaria,成蟲,2021,344774,3826_7944
3826_255804,303500,2711500,Geometridae,Deileptenia rimosaria,成蟲,2021,344774,3826_10261
3826_241248,247500,2682500,Geometridae,Deileptenia rimosaria,成蟲,2021,344774,3826_9650
3826_207230,229500,2614500,Geometridae,Deileptenia rimosaria,成蟲,2021,344774,3826_8246
3826_238794,293500,2677500,Geometridae,Deileptenia rimosaria,成蟲,2021,344774,3826_9559
3826_200230,229500,2600500,Geometridae,Deileptenia rimosaria,成蟲,2021,344774,3826_8046
3826_200731,230500,2601500,Geometridae,Deileptenia rimosaria,成蟲,2021,344774,3826_8047
3826_237785,284500,2675500,Geometridae,Deileptenia rimosaria,成蟲,2021,344774,3826_9557
3826_255262,261500,2710500,Geometridae,Deileptenia rimosaria,成蟲,2021,344774,3826_10253
3826_238293,292500,2676500,Geometridae,Deileptenia rimosaria,成蟲,2020,344774,3826_9559
3826_254805,304500,2709500,Geometridae,Deileptenia rimosaria,成蟲,2021,344774,3826_10161
3826_200230,229500,2600500,Geometridae,Deileptenia rimosaria,成蟲,2022,344774,3826_8046
3826_264279,278500,2728500,Geometridae,Deileptenia rimosaria,成蟲,2022,344774,3826_10556
3826_255262,261500,2710500,Geometridae,Deileptenia rimosaria,成蟲,2022,344774,3826_10253
3826_185749,248500,2571500,Geometridae,Deileptenia rimosaria,成蟲,2022,344774,3826_7450
