GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_274305,304500,2748500,Lecithoceridae,Deltoplastis commatopa,成蟲,2012,345567,3826_10961
3826_194706,205500,2589500,Lecithoceridae,Deltoplastis commatopa,成蟲,2012,345567,3826_7742
3826_273788,287500,2747500,Lecithoceridae,Deltoplastis commatopa,成蟲,2012,345567,3826_10958
3826_228264,263500,2656500,Lecithoceridae,Deltoplastis commatopa,成蟲,2013,345567,3826_9153
3826_237248,247500,2674500,Lecithoceridae,Deltoplastis commatopa,成蟲,2013,345567,3826_9450
3826_277800,299500,2755500,Lecithoceridae,Deltoplastis commatopa,成蟲,2014,345567,3826_11160
3826_187200,199500,2574500,Lecithoceridae,Deltoplastis commatopa,成蟲,2014,345567,3826_7440
3826_263792,291500,2727500,Lecithoceridae,Deltoplastis commatopa,成蟲,2014,345567,3826_10559
3826_140225,224500,2480500,Lecithoceridae,Deltoplastis commatopa,成蟲,2014,345567,3826_5645
3826_259800,299500,2719500,Lecithoceridae,Deltoplastis commatopa,成蟲,2015,345567,3826_10360
3826_195214,213500,2590500,Lecithoceridae,Deltoplastis commatopa,成蟲,2015,345567,3826_7843
3826_272774,273500,2745500,Lecithoceridae,Deltoplastis commatopa,成蟲,2015,345567,3826_10955
3826_264279,278500,2728500,Lecithoceridae,Deltoplastis commatopa,成蟲,2015,345567,3826_10556
3826_274305,304500,2748500,Lecithoceridae,Deltoplastis commatopa,成蟲,2015,345567,3826_10961
3826_239300,299500,2678500,Lecithoceridae,Deltoplastis commatopa,成蟲,2015,345567,3826_9560
3826_202213,212500,2604500,Lecithoceridae,Deltoplastis commatopa,成蟲,2016,345567,3826_8043
3826_263263,262500,2726500,Lecithoceridae,Deltoplastis commatopa,成蟲,2016,345567,3826_10553
3826_290309,308500,2780500,Lecithoceridae,Deltoplastis commatopa,成蟲,2016,345567,3826_11662
3826_227306,305500,2654500,Lecithoceridae,Deltoplastis commatopa,成蟲,2017,345567,3826_9062
3826_263266,265500,2726500,Lecithoceridae,Deltoplastis commatopa,成蟲,2017,345567,3826_10554
3826_292805,304500,2785500,Lecithoceridae,Deltoplastis commatopa,成蟲,2017,345567,3826_11761
3826_228809,308500,2657500,Lecithoceridae,Deltoplastis commatopa,成蟲,2014,345567,3826_9162
3826_223803,302500,2647500,Lecithoceridae,Deltoplastis commatopa,成蟲,2015,345567,3826_8961
3826_290310,309500,2780500,Lecithoceridae,Deltoplastis commatopa,成蟲,2017,345567,3826_11662
3826_237230,229500,2674500,Lecithoceridae,Deltoplastis commatopa,成蟲,2017,345567,3826_9446
3826_242745,244500,2685500,Lecithoceridae,Deltoplastis commatopa,成蟲,2017,345567,3826_9749
3826_154218,217500,2508500,Lecithoceridae,Deltoplastis commatopa,成蟲,2018,345567,3826_6144
3826_237230,229500,2674500,Lecithoceridae,Deltoplastis commatopa,成蟲,2018,345567,3826_9446
3826_281312,311500,2762500,Lecithoceridae,Deltoplastis commatopa,成蟲,2018,345567,3826_11263
3826_269811,310500,2739500,Lecithoceridae,Deltoplastis commatopa,成蟲,2018,345567,3826_10763
3826_257242,241500,2714500,Lecithoceridae,Deltoplastis commatopa,成蟲,2018,345567,3826_10249
3826_269811,310500,2739500,Lecithoceridae,Deltoplastis commatopa,成蟲,2010,345567,3826_10763
3826_255743,242500,2711500,Lecithoceridae,Deltoplastis commatopa,成蟲,2018,345567,3826_10249
3826_274305,304500,2748500,Lecithoceridae,Deltoplastis commatopa,成蟲,2019,345567,3826_10961
3826_270301,300500,2740500,Lecithoceridae,Deltoplastis commatopa,成蟲,2019,345567,3826_10861
3826_165724,223500,2531500,Lecithoceridae,Deltoplastis commatopa,成蟲,2019,345567,3826_6645
3826_281809,308500,2763500,Lecithoceridae,Deltoplastis commatopa,成蟲,2019,345567,3826_11262
3826_272276,275500,2744500,Lecithoceridae,Deltoplastis commatopa,成蟲,2019,345567,3826_10856
3826_272774,273500,2745500,Lecithoceridae,Deltoplastis commatopa,成蟲,2019,345567,3826_10955
3826_241742,241500,2683500,Lecithoceridae,Deltoplastis commatopa,成蟲,2019,345567,3826_9649
3826_291808,307500,2783500,Lecithoceridae,Deltoplastis commatopa,成蟲,2019,345567,3826_11662
3826_266794,293500,2733500,Lecithoceridae,Deltoplastis commatopa,成蟲,2019,345567,3826_10659
3826_272273,272500,2744500,Lecithoceridae,Deltoplastis commatopa,成蟲,2019,345567,3826_10855
3826_254738,237500,2709500,Lecithoceridae,Deltoplastis commatopa,成蟲,2019,345567,3826_10148
3826_222302,301500,2644500,Lecithoceridae,Deltoplastis commatopa,成蟲,2019,345567,3826_8861
3826_274798,297500,2749500,Lecithoceridae,Deltoplastis commatopa,成蟲,2019,345567,3826_10960
3826_187200,199500,2574500,Lecithoceridae,Deltoplastis commatopa,成蟲,2010,345567,3826_7440
3826_264791,290500,2729500,Lecithoceridae,Deltoplastis commatopa,成蟲,2019,345567,3826_10559
3826_263792,291500,2727500,Lecithoceridae,Deltoplastis commatopa,成蟲,2019,345567,3826_10559
3826_290315,314500,2780500,Lecithoceridae,Deltoplastis commatopa,成蟲,2020,345567,3826_11663
3826_290310,309500,2780500,Lecithoceridae,Deltoplastis commatopa,成蟲,2020,345567,3826_11662
3826_290309,308500,2780500,Lecithoceridae,Deltoplastis commatopa,成蟲,2020,345567,3826_11662
3826_273826,325500,2747500,Lecithoceridae,Deltoplastis commatopa,成蟲,2020,345567,3826_10966
3826_291808,307500,2783500,Lecithoceridae,Deltoplastis commatopa,成蟲,2020,345567,3826_11662
3826_281313,312500,2762500,Lecithoceridae,Deltoplastis commatopa,成蟲,2020,345567,3826_11263
3826_273786,285500,2747500,Lecithoceridae,Deltoplastis commatopa,成蟲,2020,345567,3826_10958
3826_256736,235500,2713500,Lecithoceridae,Deltoplastis commatopa,成蟲,2020,345567,3826_10248
3826_273788,287500,2747500,Lecithoceridae,Deltoplastis commatopa,成蟲,2020,345567,3826_10958
3826_170218,217500,2540500,Lecithoceridae,Deltoplastis commatopa,成蟲,2014,345567,3826_6844
3826_269280,279500,2738500,Lecithoceridae,Deltoplastis commatopa,成蟲,2020,345567,3826_10756
3826_291805,304500,2783500,Lecithoceridae,Deltoplastis commatopa,成蟲,2015,345567,3826_11661
3826_153716,215500,2507500,Lecithoceridae,Deltoplastis commatopa,成蟲,2020,345567,3826_6144
3826_223302,301500,2646500,Lecithoceridae,Deltoplastis commatopa,成蟲,2021,345567,3826_8961
3826_290310,309500,2780500,Lecithoceridae,Deltoplastis commatopa,成蟲,2021,345567,3826_11662
3826_265768,267500,2731500,Lecithoceridae,Deltoplastis commatopa,成蟲,2021,345567,3826_10654
3826_291802,301500,2783500,Lecithoceridae,Deltoplastis commatopa,成蟲,2021,345567,3826_11661
3826_263260,259500,2726500,Lecithoceridae,Deltoplastis commatopa,成蟲,2021,345567,3826_10552
3826_291803,302500,2783500,Lecithoceridae,Deltoplastis commatopa,成蟲,2016,345567,3826_11661
3826_290311,310500,2780500,Lecithoceridae,Deltoplastis commatopa,成蟲,2020,345567,3826_11663
3826_241751,250500,2683500,Lecithoceridae,Deltoplastis commatopa,成蟲,2021,345567,3826_9651
3826_278306,305500,2756500,Lecithoceridae,Deltoplastis commatopa,成蟲,2021,345567,3826_11162
3826_201778,277500,2603500,Lecithoceridae,Deltoplastis commatopa,幼蟲,2022,345567,3826_8056
3826_147746,245500,2495500,Lecithoceridae,Deltoplastis commatopa,成蟲,2022,345567,3826_5950
