GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_287813,312500,2775500,Lasiocampidae,Dendrolimus punctatus,成蟲,2012,345531,3826_11563
3826_237248,247500,2674500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2012,345531,3826_9450
3826_224244,243500,2648500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2012,345531,3826_8949
3826_206243,242500,2612500,Lasiocampidae,Dendrolimus punctatus,成蟲,2012,345531,3826_8249
3826_247215,214500,2694500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2014,345531,3826_9843
3826_244705,204500,2689500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2014,345531,3826_9741
3826_264283,282500,2728500,Lasiocampidae,Dendrolimus punctatus,成蟲,2015,345531,3826_10557
3826_264279,278500,2728500,Lasiocampidae,Dendrolimus punctatus,成蟲,2014,345531,3826_10556
3826_224769,268500,2649500,Lasiocampidae,Dendrolimus punctatus,成蟲,2015,345531,3826_8954
3826_273788,287500,2747500,Lasiocampidae,Dendrolimus punctatus,成蟲,2012,345531,3826_10958
3826_225247,246500,2650500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2016,345531,3826_9050
3826_230726,225500,2661500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2016,345531,3826_9246
3826_295815,314500,2791500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2016,345531,3826_11863
3826_247282,281500,2694500,Lasiocampidae,Dendrolimus punctatus,成蟲,2015,345531,3826_9857
3826_218742,241500,2637500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2016,345531,3826_8749
3826_238251,250500,2676500,Lasiocampidae,Dendrolimus punctatus,成蟲,2016,345531,3826_9551
3826_270751,250500,2741500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2012,345531,3826_10851
3826_224749,248500,2649500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2017,345531,3826_8950
3826_226813,312500,2653500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2017,345531,3826_9063
3826_209226,225500,2618500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2017,345531,3826_8346
3826_218742,241500,2637500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2017,345531,3826_8749
3826_228252,251500,2656500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2017,345531,3826_9151
3826_237248,247500,2674500,Lasiocampidae,Dendrolimus punctatus,成蟲,2017,345531,3826_9450
3826_222246,245500,2644500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2017,345531,3826_8850
3826_237230,229500,2674500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2017,345531,3826_9446
3826_227756,255500,2655500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2017,345531,3826_9152
3826_237783,282500,2675500,Lasiocampidae,Dendrolimus punctatus,成蟲,2017,345531,3826_9557
3826_232753,252500,2665500,Lasiocampidae,Dendrolimus punctatus,成蟲,2017,345531,3826_9351
3826_237248,247500,2674500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2017,345531,3826_9450
3826_228759,258500,2657500,Lasiocampidae,Dendrolimus punctatus,成蟲,2017,345531,3826_9152
3826_236780,279500,2673500,Lasiocampidae,Dendrolimus punctatus,成蟲,2013,345531,3826_9456
3826_256762,261500,2713500,Lasiocampidae,Dendrolimus punctatus,成蟲,2017,345531,3826_10253
3826_232753,252500,2665500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2017,345531,3826_9351
3826_232753,252500,2665500,Lasiocampidae,Dendrolimus punctatus,成蟲,2018,345531,3826_9351
3826_219230,229500,2638500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2018,345531,3826_8746
3826_237240,239500,2674500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2018,345531,3826_9448
3826_246782,281500,2693500,Lasiocampidae,Dendrolimus punctatus,成蟲,2018,345531,3826_9857
3826_265265,264500,2730500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2015,345531,3826_10653
3826_282784,283500,2765500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2018,345531,3826_11357
3826_273792,291500,2747500,Lasiocampidae,Dendrolimus punctatus,成蟲,2018,345531,3826_10959
3826_203209,208500,2606500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2019,345531,3826_8142
3826_283256,255500,2766500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2019,345531,3826_11352
3826_285293,292500,2770500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2019,345531,3826_11459
3826_164261,260500,2528500,Lasiocampidae,Dendrolimus punctatus,成蟲,2012,345531,3826_6553
3826_238752,251500,2677500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2019,345531,3826_9551
3826_218742,241500,2637500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2019,345531,3826_8749
3826_269760,259500,2739500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2019,345531,3826_10752
3826_211208,207500,2622500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2019,345531,3826_8442
3826_232753,252500,2665500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2019,345531,3826_9351
3826_277297,296500,2754500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2019,345531,3826_11060
3826_281820,319500,2763500,Lasiocampidae,Dendrolimus punctatus,成蟲,2014,345531,3826_11264
3826_234232,231500,2668500,Lasiocampidae,Dendrolimus punctatus,成蟲,2019,345531,3826_9347
3826_237230,229500,2674500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2019,345531,3826_9446
3826_282784,283500,2765500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2019,345531,3826_11357
3826_271748,247500,2743500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2020,345531,3826_10850
3826_279301,300500,2758500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2020,345531,3826_11161
3826_252226,225500,2704500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2021,345531,3826_10046
3826_289802,301500,2779500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2020,345531,3826_11561
3826_241751,250500,2683500,Lasiocampidae,Dendrolimus punctatus,成蟲,2019,345531,3826_9651
3826_220243,242500,2640500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2019,345531,3826_8849
3826_292801,300500,2785500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2020,345531,3826_11761
3826_224749,248500,2649500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2020,345531,3826_8950
3826_222739,238500,2645500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2020,345531,3826_8948
3826_224769,268500,2649500,Lasiocampidae,Dendrolimus punctatus,成蟲,2020,345531,3826_8954
3826_224769,268500,2649500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2020,345531,3826_8954
3826_290805,304500,2781500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2020,345531,3826_11661
3826_273788,287500,2747500,Lasiocampidae,Dendrolimus punctatus,成蟲,2020,345531,3826_10958
3826_207230,229500,2614500,Lasiocampidae,Dendrolimus punctatus,成蟲,2020,345531,3826_8246
3826_289309,308500,2778500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2021,345531,3826_11562
3826_269280,279500,2738500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2020,345531,3826_10756
3826_238251,250500,2676500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2020,345531,3826_9551
3826_247282,281500,2694500,Lasiocampidae,Dendrolimus punctatus,成蟲,2020,345531,3826_9857
3826_218742,241500,2637500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2021,345531,3826_8749
3826_219231,230500,2638500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2021,345531,3826_8747
3826_237785,284500,2675500,Lasiocampidae,Dendrolimus punctatus,成蟲,2021,345531,3826_9557
3826_238752,251500,2677500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2015,345531,3826_9551
3826_285793,292500,2771500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2021,345531,3826_11459
3826_259249,248500,2718500,Lasiocampidae,Dendrolimus punctatus,成蟲,2021,345531,3826_10350
3826_279322,321500,2758500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2013,345531,3826_11165
3826_259249,248500,2718500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2021,345531,3826_10350
3826_237248,247500,2674500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2021,345531,3826_9450
3826_237752,251500,2675500,Lasiocampidae,Dendrolimus punctatus,成蟲,2021,345531,3826_9551
3826_273792,291500,2747500,Lasiocampidae,Dendrolimus punctatus,成蟲,2021,345531,3826_10959
3826_291305,304500,2782500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2022,345531,3826_11661
3826_260251,250500,2720500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2022,345531,3826_10451
3826_280799,298500,2761500,Lasiocampidae,Dendrolimus punctatus,成蟲,2022,345531,3826_11260
3826_276247,246500,2752500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2022,345531,3826_11050
3826_271748,247500,2743500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2022,345531,3826_10850
3826_293303,302500,2786500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2022,345531,3826_11761
3826_291305,304500,2782500,Lasiocampidae,Dendrolimus punctatus,成蟲,2022,345531,3826_11661
3826_269780,279500,2739500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2022,345531,3826_10756
3826_270752,251500,2741500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2022,345531,3826_10851
3826_273792,291500,2747500,Lasiocampidae,Dendrolimus punctatus,成蟲,2022,345531,3826_10959
3826_281810,309500,2763500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2022,345531,3826_11262
3826_263252,251500,2726500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2022,345531,3826_10551
3826_263260,259500,2726500,Lasiocampidae,Dendrolimus punctatus,幼蟲,2022,345531,3826_10552
