GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_259800,299500,2719500,Geometridae,Derambila dentifera,成蟲,2013,414087,3826_10360
3826_172714,213500,2545500,Geometridae,Derambila dentifera,成蟲,2014,414087,3826_6943
3826_273304,303500,2746500,Geometridae,Derambila dentifera,成蟲,2014,414087,3826_10961
3826_182214,213500,2564500,Geometridae,Derambila dentifera,成蟲,2015,414087,3826_7243
3826_227258,257500,2654500,Geometridae,Derambila dentifera,成蟲,2013,414087,3826_9052
3826_170218,217500,2540500,Geometridae,Derambila dentifera,成蟲,2015,414087,3826_6844
3826_187200,199500,2574500,Geometridae,Derambila dentifera,成蟲,2015,414087,3826_7440
3826_234267,266500,2668500,Geometridae,Derambila dentifera,成蟲,2010,414087,3826_9354
3826_204739,238500,2609500,Geometridae,Derambila dentifera,成蟲,2012,414087,3826_8148
3826_229248,247500,2658500,Geometridae,Derambila dentifera,成蟲,2016,414087,3826_9150
3826_237248,247500,2674500,Geometridae,Derambila dentifera,成蟲,2016,414087,3826_9450
3826_228770,269500,2657500,Geometridae,Derambila dentifera,成蟲,2016,414087,3826_9154
3826_237303,302500,2674500,Geometridae,Derambila dentifera,成蟲,2016,414087,3826_9461
3826_190782,281500,2581500,Geometridae,Derambila dentifera,成蟲,2017,414087,3826_7657
3826_204739,238500,2609500,Geometridae,Derambila dentifera,成蟲,2017,414087,3826_8148
3826_264283,282500,2728500,Geometridae,Derambila dentifera,成蟲,2018,414087,3826_10557
3826_154218,217500,2508500,Geometridae,Derambila dentifera,成蟲,2018,414087,3826_6144
3826_216751,250500,2633500,Geometridae,Derambila dentifera,成蟲,2014,414087,3826_8651
3826_216751,250500,2633500,Geometridae,Derambila dentifera,成蟲,2013,414087,3826_8651
3826_255743,242500,2711500,Geometridae,Derambila dentifera,成蟲,2018,414087,3826_10249
3826_255743,242500,2711500,Geometridae,Derambila dentifera,成蟲,2019,414087,3826_10249
3826_225263,262500,2650500,Geometridae,Derambila dentifera,成蟲,2019,414087,3826_9053
3826_265773,272500,2731500,Geometridae,Derambila dentifera,成蟲,2019,414087,3826_10655
3826_225306,305500,2650500,Geometridae,Derambila dentifera,成蟲,2019,414087,3826_9062
3826_254738,237500,2709500,Geometridae,Derambila dentifera,成蟲,2019,414087,3826_10148
3826_257745,244500,2715500,Geometridae,Derambila dentifera,成蟲,2019,414087,3826_10349
3826_256737,236500,2713500,Geometridae,Derambila dentifera,成蟲,2019,414087,3826_10248
3826_185231,230500,2570500,Geometridae,Derambila dentifera,成蟲,2020,414087,3826_7447
3826_238252,251500,2676500,Geometridae,Derambila dentifera,成蟲,2020,414087,3826_9551
3826_266264,263500,2732500,Geometridae,Derambila dentifera,成蟲,2020,414087,3826_10653
3826_273796,295500,2747500,Geometridae,Derambila dentifera,成蟲,2020,414087,3826_10960
3826_274280,279500,2748500,Geometridae,Derambila dentifera,成蟲,2021,414087,3826_10956
3826_194722,221500,2589500,Geometridae,Derambila dentifera,成蟲,2020,414087,3826_7745
3826_257745,244500,2715500,Geometridae,Derambila dentifera,成蟲,2020,414087,3826_10349
3826_265275,274500,2730500,Geometridae,Derambila dentifera,成蟲,2021,414087,3826_10655
3826_275307,306500,2750500,Geometridae,Derambila dentifera,成蟲,2022,414087,3826_11062
3826_269273,272500,2738500,Geometridae,Derambila dentifera,成蟲,2022,414087,3826_10755
