GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_297809,308500,2795500,Pterophoridae,Diacrotricha fasciola,成蟲,2012,347374,3826_11962
3826_236217,216500,2672500,Pterophoridae,Diacrotricha fasciola,成蟲,2012,347374,3826_9444
3826_282806,305500,2765500,Pterophoridae,Diacrotricha fasciola,成蟲,2012,347374,3826_11362
3826_229706,205500,2659500,Pterophoridae,Diacrotricha fasciola,成蟲,2013,347374,3826_9142
3826_289798,297500,2779500,Pterophoridae,Diacrotricha fasciola,成蟲,2013,347374,3826_11560
3826_218230,229500,2636500,Pterophoridae,Diacrotricha fasciola,幼蟲,2014,347374,3826_8746
3826_221211,210500,2642500,Pterophoridae,Diacrotricha fasciola,成蟲,2014,347374,3826_8843
3826_288306,305500,2776500,Pterophoridae,Diacrotricha fasciola,成蟲,2014,347374,3826_11562
3826_282806,305500,2765500,Pterophoridae,Diacrotricha fasciola,成蟲,2014,347374,3826_11362
3826_283807,306500,2767500,Pterophoridae,Diacrotricha fasciola,成蟲,2014,347374,3826_11362
3826_221211,210500,2642500,Pterophoridae,Diacrotricha fasciola,成蟲,2015,347374,3826_8843
3826_282809,308500,2765500,Pterophoridae,Diacrotricha fasciola,成蟲,2015,347374,3826_11362
3826_283807,306500,2767500,Pterophoridae,Diacrotricha fasciola,成蟲,2015,347374,3826_11362
3826_236217,216500,2672500,Pterophoridae,Diacrotricha fasciola,成蟲,2015,347374,3826_9444
3826_283783,282500,2767500,Pterophoridae,Diacrotricha fasciola,成蟲,2015,347374,3826_11357
3826_291801,300500,2783500,Pterophoridae,Diacrotricha fasciola,成蟲,2012,347374,3826_11661
3826_152175,174500,2504500,Pterophoridae,Diacrotricha fasciola,成蟲,2016,347374,3826_6035
3826_273279,278500,2746500,Pterophoridae,Diacrotricha fasciola,成蟲,2013,347374,3826_10956
3826_236217,216500,2672500,Pterophoridae,Diacrotricha fasciola,成蟲,2013,347374,3826_9444
3826_198197,196500,2596500,Pterophoridae,Diacrotricha fasciola,成蟲,2016,347374,3826_7940
3826_282784,283500,2765500,Pterophoridae,Diacrotricha fasciola,成蟲,2016,347374,3826_11357
3826_282307,306500,2764500,Pterophoridae,Diacrotricha fasciola,成蟲,2016,347374,3826_11262
3826_282307,306500,2764500,Pterophoridae,Diacrotricha fasciola,成蟲,2017,347374,3826_11262
3826_271249,248500,2742500,Pterophoridae,Diacrotricha fasciola,成蟲,2017,347374,3826_10850
3826_169668,167500,2539500,Pterophoridae,Diacrotricha fasciola,成蟲,2017,347374,3826_6734
3826_238225,224500,2676500,Pterophoridae,Diacrotricha fasciola,成蟲,2017,347374,3826_9545
3826_282784,283500,2765500,Pterophoridae,Diacrotricha fasciola,成蟲,2017,347374,3826_11357
3826_293303,302500,2786500,Pterophoridae,Diacrotricha fasciola,成蟲,2017,347374,3826_11761
3826_271250,249500,2742500,Pterophoridae,Diacrotricha fasciola,成蟲,2017,347374,3826_10850
3826_282809,308500,2765500,Pterophoridae,Diacrotricha fasciola,成蟲,2017,347374,3826_11362
3826_282307,306500,2764500,Pterophoridae,Diacrotricha fasciola,成蟲,2018,347374,3826_11262
3826_262249,248500,2724500,Pterophoridae,Diacrotricha fasciola,成蟲,2018,347374,3826_10450
3826_155680,179500,2511500,Pterophoridae,Diacrotricha fasciola,成蟲,2018,347374,3826_6236
3826_269761,260500,2739500,Pterophoridae,Diacrotricha fasciola,成蟲,2018,347374,3826_10753
3826_275782,281500,2751500,Pterophoridae,Diacrotricha fasciola,成蟲,2018,347374,3826_11057
3826_182197,196500,2564500,Pterophoridae,Diacrotricha fasciola,成蟲,2018,347374,3826_7240
3826_269754,253500,2739500,Pterophoridae,Diacrotricha fasciola,成蟲,2018,347374,3826_10751
3826_281309,308500,2762500,Pterophoridae,Diacrotricha fasciola,成蟲,2018,347374,3826_11262
3826_276793,292500,2753500,Pterophoridae,Diacrotricha fasciola,成蟲,2018,347374,3826_11059
3826_282307,306500,2764500,Pterophoridae,Diacrotricha fasciola,成蟲,2019,347374,3826_11262
3826_285293,292500,2770500,Pterophoridae,Diacrotricha fasciola,成蟲,2019,347374,3826_11459
3826_186701,200500,2573500,Pterophoridae,Diacrotricha fasciola,成蟲,2010,347374,3826_7441
3826_287804,303500,2775500,Pterophoridae,Diacrotricha fasciola,成蟲,2019,347374,3826_11561
3826_282784,283500,2765500,Pterophoridae,Diacrotricha fasciola,成蟲,2019,347374,3826_11357
3826_282307,306500,2764500,Pterophoridae,Diacrotricha fasciola,成蟲,2020,347374,3826_11262
3826_283807,306500,2767500,Pterophoridae,Diacrotricha fasciola,成蟲,2020,347374,3826_11362
3826_274829,328500,2749500,Pterophoridae,Diacrotricha fasciola,成蟲,2020,347374,3826_10966
3826_219230,229500,2638500,Pterophoridae,Diacrotricha fasciola,成蟲,2019,347374,3826_8746
3826_222212,211500,2644500,Pterophoridae,Diacrotricha fasciola,成蟲,2019,347374,3826_8843
3826_283807,306500,2767500,Pterophoridae,Diacrotricha fasciola,成蟲,2021,347374,3826_11362
3826_289805,304500,2779500,Pterophoridae,Diacrotricha fasciola,成蟲,2014,347374,3826_11561
3826_225806,305500,2651500,Pterophoridae,Diacrotricha fasciola,成蟲,2021,347374,3826_9062
3826_287312,311500,2774500,Pterophoridae,Diacrotricha fasciola,蛹,2021,347374,3826_11463
3826_285793,292500,2771500,Pterophoridae,Diacrotricha fasciola,成蟲,2021,347374,3826_11459
3826_285793,292500,2771500,Pterophoridae,Diacrotricha fasciola,幼蟲,2021,347374,3826_11459
3826_263324,323500,2726500,Pterophoridae,Diacrotricha fasciola,成蟲,2021,347374,3826_10565
3826_286813,312500,2773500,Pterophoridae,Diacrotricha fasciola,成蟲,2021,347374,3826_11463
3826_286813,312500,2773500,Pterophoridae,Diacrotricha fasciola,蛹,2021,347374,3826_11463
3826_283783,282500,2767500,Pterophoridae,Diacrotricha fasciola,成蟲,2022,347374,3826_11357
3826_282307,306500,2764500,Pterophoridae,Diacrotricha fasciola,成蟲,2022,347374,3826_11262
3826_287811,310500,2775500,Pterophoridae,Diacrotricha fasciola,成蟲,2022,347374,3826_11563
3826_147688,187500,2495500,Pterophoridae,Diacrotricha fasciola,成蟲,2022,347374,3826_5938
