GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_291300,299500,2782500,Noctuidae,Diarsia nigrosigna,成蟲,2011,346201,3826_11660
3826_206243,242500,2612500,Noctuidae,Diarsia nigrosigna,成蟲,2013,346201,3826_8249
3826_242252,251500,2684500,Noctuidae,Diarsia nigrosigna,成蟲,2014,346201,3826_9651
3826_204739,238500,2609500,Noctuidae,Diarsia nigrosigna,成蟲,2014,346201,3826_8148
3826_185749,248500,2571500,Noctuidae,Diarsia nigrosigna,成蟲,2014,346201,3826_7450
3826_221310,309500,2642500,Noctuidae,Diarsia nigrosigna,成蟲,2015,346201,3826_8862
3826_264279,278500,2728500,Noctuidae,Diarsia nigrosigna,成蟲,2014,346201,3826_10556
3826_281810,309500,2763500,Noctuidae,Diarsia nigrosigna,成蟲,2015,346201,3826_11262
3826_281309,308500,2762500,Noctuidae,Diarsia nigrosigna,成蟲,2012,346201,3826_11262
3826_290805,304500,2781500,Noctuidae,Diarsia nigrosigna,成蟲,2013,346201,3826_11661
3826_298803,302500,2797500,Noctuidae,Diarsia nigrosigna,成蟲,2016,346201,3826_11961
3826_264279,278500,2728500,Noctuidae,Diarsia nigrosigna,成蟲,2016,346201,3826_10556
3826_248733,232500,2697500,Noctuidae,Diarsia nigrosigna,成蟲,2016,346201,3826_9947
3826_273788,287500,2747500,Noctuidae,Diarsia nigrosigna,成蟲,2013,346201,3826_10958
3826_255762,261500,2711500,Noctuidae,Diarsia nigrosigna,成蟲,2013,346201,3826_10253
3826_198733,232500,2597500,Noctuidae,Diarsia nigrosigna,成蟲,2016,346201,3826_7947
3826_197241,240500,2594500,Noctuidae,Diarsia nigrosigna,成蟲,2016,346201,3826_7849
3826_237785,284500,2675500,Noctuidae,Diarsia nigrosigna,成蟲,2016,346201,3826_9557
3826_209230,229500,2618500,Noctuidae,Diarsia nigrosigna,成蟲,2017,346201,3826_8346
3826_199225,224500,2598500,Noctuidae,Diarsia nigrosigna,成蟲,2017,346201,3826_7945
3826_281812,311500,2763500,Noctuidae,Diarsia nigrosigna,成蟲,2017,346201,3826_11263
3826_165724,223500,2531500,Noctuidae,Diarsia nigrosigna,幼蟲,2016,346201,3826_6645
3826_253242,241500,2706500,Noctuidae,Diarsia nigrosigna,成蟲,2016,346201,3826_10149
3826_235280,279500,2670500,Noctuidae,Diarsia nigrosigna,成蟲,2017,346201,3826_9456
3826_198236,235500,2596500,Noctuidae,Diarsia nigrosigna,成蟲,2017,346201,3826_7948
3826_281810,309500,2763500,Noctuidae,Diarsia nigrosigna,成蟲,2017,346201,3826_11262
3826_267278,277500,2734500,Noctuidae,Diarsia nigrosigna,成蟲,2017,346201,3826_10656
3826_207230,229500,2614500,Noctuidae,Diarsia nigrosigna,成蟲,2017,346201,3826_8246
3826_229266,265500,2658500,Noctuidae,Diarsia nigrosigna,成蟲,2017,346201,3826_9154
3826_255812,311500,2711500,Noctuidae,Diarsia nigrosigna,成蟲,2015,346201,3826_10263
3826_235280,279500,2670500,Noctuidae,Diarsia nigrosigna,成蟲,2010,346201,3826_9456
3826_255812,311500,2711500,Noctuidae,Diarsia nigrosigna,成蟲,2010,346201,3826_10263
3826_175223,222500,2550500,Noctuidae,Diarsia nigrosigna,成蟲,2018,346201,3826_7045
3826_281810,309500,2763500,Noctuidae,Diarsia nigrosigna,成蟲,2018,346201,3826_11262
3826_269271,270500,2738500,Noctuidae,Diarsia nigrosigna,成蟲,2018,346201,3826_10755
3826_240248,247500,2680500,Noctuidae,Diarsia nigrosigna,成蟲,2018,346201,3826_9650
3826_259800,299500,2719500,Noctuidae,Diarsia nigrosigna,成蟲,2017,346201,3826_10360
3826_264779,278500,2729500,Noctuidae,Diarsia nigrosigna,成蟲,2018,346201,3826_10556
3826_249787,286500,2699500,Noctuidae,Diarsia nigrosigna,成蟲,2018,346201,3826_9958
3826_281810,309500,2763500,Noctuidae,Diarsia nigrosigna,成蟲,2019,346201,3826_11262
3826_255262,261500,2710500,Noctuidae,Diarsia nigrosigna,成蟲,2019,346201,3826_10253
3826_254738,237500,2709500,Noctuidae,Diarsia nigrosigna,成蟲,2019,346201,3826_10148
3826_293308,307500,2786500,Noctuidae,Diarsia nigrosigna,成蟲,2019,346201,3826_11762
3826_255743,242500,2711500,Noctuidae,Diarsia nigrosigna,成蟲,2019,346201,3826_10249
3826_229266,265500,2658500,Noctuidae,Diarsia nigrosigna,成蟲,2019,346201,3826_9154
3826_200219,218500,2600500,Noctuidae,Diarsia nigrosigna,成蟲,2019,346201,3826_8044
3826_286336,335500,2772500,Noctuidae,Diarsia nigrosigna,成蟲,2020,346201,3826_11468
