GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_206243,242500,2612500,Noctuidae,Diarsia subtincta,成蟲,2012,346203,3826_8249
3826_284310,309500,2768500,Noctuidae,Diarsia subtincta,成蟲,2012,346203,3826_11362
3826_264279,278500,2728500,Noctuidae,Diarsia subtincta,成蟲,2013,346203,3826_10556
3826_255762,261500,2711500,Noctuidae,Diarsia subtincta,成蟲,2013,346203,3826_10253
3826_255812,311500,2711500,Noctuidae,Diarsia subtincta,成蟲,2014,346203,3826_10263
3826_236280,279500,2672500,Noctuidae,Diarsia subtincta,成蟲,2015,346203,3826_9456
3826_263798,297500,2727500,Noctuidae,Diarsia subtincta,成蟲,2014,346203,3826_10560
3826_275786,285500,2751500,Noctuidae,Diarsia subtincta,成蟲,2015,346203,3826_11058
3826_237789,288500,2675500,Noctuidae,Diarsia subtincta,成蟲,2012,346203,3826_9558
3826_200229,228500,2600500,Noctuidae,Diarsia subtincta,成蟲,2015,346203,3826_8046
3826_254805,304500,2709500,Noctuidae,Diarsia subtincta,成蟲,2015,346203,3826_10161
3826_290805,304500,2781500,Noctuidae,Diarsia subtincta,成蟲,2013,346203,3826_11661
3826_263798,297500,2727500,Noctuidae,Diarsia subtincta,成蟲,2016,346203,3826_10560
3826_238290,289500,2676500,Noctuidae,Diarsia subtincta,成蟲,2016,346203,3826_9558
3826_207230,229500,2614500,Noctuidae,Diarsia subtincta,成蟲,2017,346203,3826_8246
3826_293303,302500,2786500,Noctuidae,Diarsia subtincta,成蟲,2017,346203,3826_11761
3826_199225,224500,2598500,Noctuidae,Diarsia subtincta,成蟲,2017,346203,3826_7945
3826_260292,291500,2720500,Noctuidae,Diarsia subtincta,成蟲,2017,346203,3826_10459
3826_199233,232500,2598500,Noctuidae,Diarsia subtincta,成蟲,2017,346203,3826_7947
3826_281812,311500,2763500,Noctuidae,Diarsia subtincta,成蟲,2017,346203,3826_11263
3826_220810,309500,2641500,Noctuidae,Diarsia subtincta,成蟲,2016,346203,3826_8862
3826_264279,278500,2728500,Noctuidae,Diarsia subtincta,成蟲,2017,346203,3826_10556
3826_198236,235500,2596500,Noctuidae,Diarsia subtincta,成蟲,2017,346203,3826_7948
3826_263798,297500,2727500,Noctuidae,Diarsia subtincta,成蟲,2017,346203,3826_10560
3826_255812,311500,2711500,Noctuidae,Diarsia subtincta,成蟲,2013,346203,3826_10263
3826_255812,311500,2711500,Noctuidae,Diarsia subtincta,成蟲,2015,346203,3826_10263
3826_255812,311500,2711500,Noctuidae,Diarsia subtincta,成蟲,2010,346203,3826_10263
3826_224769,268500,2649500,Noctuidae,Diarsia subtincta,成蟲,2018,346203,3826_8954
3826_236780,279500,2673500,Noctuidae,Diarsia subtincta,成蟲,2018,346203,3826_9456
3826_233271,270500,2666500,Noctuidae,Diarsia subtincta,成蟲,2018,346203,3826_9355
3826_198234,233500,2596500,Noctuidae,Diarsia subtincta,成蟲,2018,346203,3826_7947
3826_241751,250500,2683500,Noctuidae,Diarsia subtincta,成蟲,2018,346203,3826_9651
3826_263798,297500,2727500,Noctuidae,Diarsia subtincta,成蟲,2019,346203,3826_10560
3826_241248,247500,2682500,Noctuidae,Diarsia subtincta,成蟲,2019,346203,3826_9650
3826_254805,304500,2709500,Noctuidae,Diarsia subtincta,成蟲,2019,346203,3826_10161
3826_257745,244500,2715500,Noctuidae,Diarsia subtincta,成蟲,2019,346203,3826_10349
3826_264778,277500,2729500,Noctuidae,Diarsia subtincta,成蟲,2020,346203,3826_10556
3826_207230,229500,2614500,Noctuidae,Diarsia subtincta,成蟲,2015,346203,3826_8246
3826_139724,223500,2479500,Noctuidae,Diarsia subtincta,成蟲,2013,346203,3826_5545
3826_175222,221500,2550500,Noctuidae,Diarsia subtincta,成蟲,2013,346203,3826_7045
3826_254805,304500,2709500,Noctuidae,Diarsia subtincta,成蟲,2020,346203,3826_10161
3826_255305,304500,2710500,Noctuidae,Diarsia subtincta,成蟲,2020,346203,3826_10261
3826_257745,244500,2715500,Noctuidae,Diarsia subtincta,成蟲,2020,346203,3826_10349
3826_236780,279500,2673500,Noctuidae,Diarsia subtincta,成蟲,2020,346203,3826_9456
3826_259800,299500,2719500,Noctuidae,Diarsia subtincta,成蟲,2014,346203,3826_10360
3826_235278,277500,2670500,Noctuidae,Diarsia subtincta,成蟲,2020,346203,3826_9456
3826_207230,229500,2614500,Noctuidae,Diarsia subtincta,成蟲,2020,346203,3826_8246
3826_207230,229500,2614500,Noctuidae,Diarsia subtincta,成蟲,2021,346203,3826_8246
3826_234278,277500,2668500,Noctuidae,Diarsia subtincta,成蟲,2021,346203,3826_9356
3826_231268,267500,2662500,Noctuidae,Diarsia subtincta,成蟲,2020,346203,3826_9254
3826_273788,287500,2747500,Noctuidae,Diarsia subtincta,成蟲,2020,346203,3826_10958
3826_199222,221500,2598500,Noctuidae,Diarsia subtincta,成蟲,2022,346203,3826_7945
