GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_273304,303500,2746500,Erebidae,Diduga taiwana,成蟲,2011,443537,3826_10961
3826_263798,297500,2727500,Erebidae,Diduga taiwana,成蟲,2011,443537,3826_10560
3826_269315,314500,2738500,Erebidae,Diduga taiwana,成蟲,2012,443537,3826_10763
3826_291302,301500,2782500,Erebidae,Diduga taiwana,成蟲,2012,443537,3826_11661
3826_187200,199500,2574500,Erebidae,Diduga taiwana,成蟲,2012,443537,3826_7440
3826_198726,225500,2597500,Erebidae,Diduga taiwana,成蟲,2012,443537,3826_7946
3826_273788,287500,2747500,Erebidae,Diduga taiwana,成蟲,2012,443537,3826_10958
3826_261315,314500,2722500,Erebidae,Diduga taiwana,成蟲,2013,443537,3826_10463
3826_269315,314500,2738500,Erebidae,Diduga taiwana,成蟲,2013,443537,3826_10763
3826_273304,303500,2746500,Erebidae,Diduga taiwana,成蟲,2013,443537,3826_10961
3826_289309,308500,2778500,Erebidae,Diduga taiwana,成蟲,2013,443537,3826_11562
3826_122234,233500,2444500,Erebidae,Diduga taiwana,成蟲,2013,443537,3826_4847
3826_282307,306500,2764500,Erebidae,Diduga taiwana,成蟲,2013,443537,3826_11262
3826_228264,263500,2656500,Erebidae,Diduga taiwana,成蟲,2013,443537,3826_9153
3826_170217,216500,2540500,Erebidae,Diduga taiwana,成蟲,2014,443537,3826_6844
3826_272780,279500,2745500,Erebidae,Diduga taiwana,成蟲,2014,443537,3826_10956
3826_139724,223500,2479500,Erebidae,Diduga taiwana,成蟲,2014,443537,3826_5545
3826_227258,257500,2654500,Erebidae,Diduga taiwana,成蟲,2014,443537,3826_9052
3826_181755,254500,2563500,Erebidae,Diduga taiwana,成蟲,2014,443537,3826_7251
3826_203712,211500,2607500,Erebidae,Diduga taiwana,成蟲,2014,443537,3826_8143
3826_280316,315500,2760500,Erebidae,Diduga taiwana,成蟲,2014,443537,3826_11264
3826_281810,309500,2763500,Erebidae,Diduga taiwana,成蟲,2014,443537,3826_11262
3826_153718,217500,2507500,Erebidae,Diduga taiwana,成蟲,2014,443537,3826_6144
3826_225251,250500,2650500,Erebidae,Diduga taiwana,成蟲,2015,443537,3826_9051
3826_159220,219500,2518500,Erebidae,Diduga taiwana,成蟲,2015,443537,3826_6344
3826_220810,309500,2641500,Erebidae,Diduga taiwana,成蟲,2015,443537,3826_8862
3826_277800,299500,2755500,Erebidae,Diduga taiwana,成蟲,2015,443537,3826_11160
3826_151747,246500,2503500,Erebidae,Diduga taiwana,成蟲,2015,443537,3826_6050
3826_199720,219500,2599500,Erebidae,Diduga taiwana,成蟲,2015,443537,3826_7944
3826_281301,300500,2762500,Erebidae,Diduga taiwana,成蟲,2014,443537,3826_11261
3826_215255,254500,2630500,Erebidae,Diduga taiwana,成蟲,2014,443537,3826_8651
3826_280316,315500,2760500,Erebidae,Diduga taiwana,成蟲,2013,443537,3826_11264
3826_280304,303500,2760500,Erebidae,Diduga taiwana,成蟲,2015,443537,3826_11261
3826_293308,307500,2786500,Erebidae,Diduga taiwana,成蟲,2015,443537,3826_11762
3826_232753,252500,2665500,Erebidae,Diduga taiwana,成蟲,2015,443537,3826_9351
3826_272277,276500,2744500,Erebidae,Diduga taiwana,成蟲,2013,443537,3826_10856
3826_175725,224500,2551500,Erebidae,Diduga taiwana,成蟲,2011,443537,3826_7045
3826_288310,309500,2776500,Erebidae,Diduga taiwana,成蟲,2016,443537,3826_11562
3826_224769,268500,2649500,Erebidae,Diduga taiwana,成蟲,2015,443537,3826_8954
3826_293807,306500,2787500,Erebidae,Diduga taiwana,成蟲,2016,443537,3826_11762
3826_279305,304500,2758500,Erebidae,Diduga taiwana,成蟲,2016,443537,3826_11161
3826_165715,214500,2531500,Erebidae,Diduga taiwana,成蟲,2016,443537,3826_6643
3826_192760,259500,2585500,Erebidae,Diduga taiwana,成蟲,2012,443537,3826_7752
3826_290805,304500,2781500,Erebidae,Diduga taiwana,成蟲,2013,443537,3826_11661
3826_274305,304500,2748500,Erebidae,Diduga taiwana,成蟲,2016,443537,3826_10961
3826_198220,219500,2596500,Erebidae,Diduga taiwana,成蟲,2016,443537,3826_7944
3826_218734,233500,2637500,Erebidae,Diduga taiwana,成蟲,2016,443537,3826_8747
3826_151747,246500,2503500,Erebidae,Diduga taiwana,成蟲,2016,443537,3826_6050
3826_292805,304500,2785500,Erebidae,Diduga taiwana,成蟲,2014,443537,3826_11761
3826_152175,174500,2504500,Erebidae,Diduga taiwana,成蟲,2016,443537,3826_6035
3826_289308,307500,2778500,Erebidae,Diduga taiwana,成蟲,2016,443537,3826_11562
3826_284315,314500,2768500,Erebidae,Diduga taiwana,成蟲,2016,443537,3826_11363
3826_277800,299500,2755500,Erebidae,Diduga taiwana,成蟲,2016,443537,3826_11160
3826_237301,300500,2674500,Erebidae,Diduga taiwana,成蟲,2013,443537,3826_9461
3826_207230,229500,2614500,Erebidae,Diduga taiwana,成蟲,2016,443537,3826_8246
3826_195213,212500,2590500,Erebidae,Diduga taiwana,成蟲,2013,443537,3826_7843
3826_125723,222500,2451500,Erebidae,Diduga taiwana,成蟲,2013,443537,3826_5045
3826_154218,217500,2508500,Erebidae,Diduga taiwana,成蟲,2013,443537,3826_6144
3826_209730,229500,2619500,Erebidae,Diduga taiwana,成蟲,2016,443537,3826_8346
3826_287810,309500,2775500,Erebidae,Diduga taiwana,成蟲,2016,443537,3826_11562
3826_277327,326500,2754500,Erebidae,Diduga taiwana,成蟲,2016,443537,3826_11066
3826_223748,247500,2647500,Erebidae,Diduga taiwana,成蟲,2016,443537,3826_8950
3826_288835,334500,2777500,Erebidae,Diduga taiwana,成蟲,2014,443537,3826_11567
3826_252226,225500,2704500,Erebidae,Diduga taiwana,成蟲,2017,443537,3826_10046
3826_266265,264500,2732500,Erebidae,Diduga taiwana,成蟲,2017,443537,3826_10653
3826_288310,309500,2776500,Erebidae,Diduga taiwana,成蟲,2017,443537,3826_11562
3826_293807,306500,2787500,Erebidae,Diduga taiwana,成蟲,2014,443537,3826_11762
3826_265257,256500,2730500,Erebidae,Diduga taiwana,成蟲,2017,443537,3826_10652
3826_289309,308500,2778500,Erebidae,Diduga taiwana,成蟲,2017,443537,3826_11562
3826_266766,265500,2733500,Erebidae,Diduga taiwana,成蟲,2017,443537,3826_10654
3826_218734,233500,2637500,Erebidae,Diduga taiwana,成蟲,2017,443537,3826_8747
3826_281309,308500,2762500,Erebidae,Diduga taiwana,成蟲,2017,443537,3826_11262
3826_220810,309500,2641500,Erebidae,Diduga taiwana,成蟲,2017,443537,3826_8862
3826_282792,291500,2765500,Erebidae,Diduga taiwana,成蟲,2017,443537,3826_11359
3826_292307,306500,2784500,Erebidae,Diduga taiwana,成蟲,2017,443537,3826_11662
3826_281810,309500,2763500,Erebidae,Diduga taiwana,成蟲,2017,443537,3826_11262
3826_152175,174500,2504500,Erebidae,Diduga taiwana,成蟲,2017,443537,3826_6035
