GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263798,297500,2727500,Noctuidae,Discibocome pulchra,成蟲,2011,346215,3826_10560
3826_254805,304500,2709500,Noctuidae,Discibocome pulchra,成蟲,2012,346215,3826_10161
3826_255762,261500,2711500,Noctuidae,Discibocome pulchra,成蟲,2012,346215,3826_10253
3826_263798,297500,2727500,Noctuidae,Discibocome pulchra,成蟲,2012,346215,3826_10560
3826_264279,278500,2728500,Noctuidae,Discibocome pulchra,成蟲,2012,346215,3826_10556
3826_200231,230500,2600500,Noctuidae,Discibocome pulchra,成蟲,2012,346215,3826_8047
3826_197745,244500,2595500,Noctuidae,Discibocome pulchra,幼蟲,2010,346215,3826_7949
3826_264279,278500,2728500,Noctuidae,Discibocome pulchra,成蟲,2013,346215,3826_10556
3826_209230,229500,2618500,Noctuidae,Discibocome pulchra,幼蟲,2013,346215,3826_8346
3826_263798,297500,2727500,Noctuidae,Discibocome pulchra,成蟲,2013,346215,3826_10560
3826_238794,293500,2677500,Noctuidae,Discibocome pulchra,成蟲,2013,346215,3826_9559
3826_241275,274500,2682500,Noctuidae,Discibocome pulchra,成蟲,2013,346215,3826_9655
3826_200731,230500,2601500,Noctuidae,Discibocome pulchra,成蟲,2014,346215,3826_8047
3826_263798,297500,2727500,Noctuidae,Discibocome pulchra,成蟲,2014,346215,3826_10560
3826_200230,229500,2600500,Noctuidae,Discibocome pulchra,成蟲,2014,346215,3826_8046
3826_255762,261500,2711500,Noctuidae,Discibocome pulchra,成蟲,2014,346215,3826_10253
3826_237311,310500,2674500,Noctuidae,Discibocome pulchra,成蟲,2013,346215,3826_9463
3826_203243,242500,2606500,Noctuidae,Discibocome pulchra,成蟲,2014,346215,3826_8149
3826_238800,299500,2677500,Noctuidae,Discibocome pulchra,成蟲,2012,346215,3826_9560
3826_264279,278500,2728500,Noctuidae,Discibocome pulchra,成蟲,2014,346215,3826_10556
3826_240738,237500,2681500,Noctuidae,Discibocome pulchra,成蟲,2014,346215,3826_9648
3826_185749,248500,2571500,Noctuidae,Discibocome pulchra,成蟲,2014,346215,3826_7450
3826_232753,252500,2665500,Noctuidae,Discibocome pulchra,成蟲,2014,346215,3826_9351
3826_269811,310500,2739500,Noctuidae,Discibocome pulchra,成蟲,2014,346215,3826_10763
3826_254805,304500,2709500,Noctuidae,Discibocome pulchra,成蟲,2014,346215,3826_10161
3826_188240,239500,2576500,Noctuidae,Discibocome pulchra,成蟲,2015,346215,3826_7548
3826_255305,304500,2710500,Noctuidae,Discibocome pulchra,成蟲,2015,346215,3826_10261
3826_264779,278500,2729500,Noctuidae,Discibocome pulchra,成蟲,2014,346215,3826_10556
3826_263798,297500,2727500,Noctuidae,Discibocome pulchra,成蟲,2015,346215,3826_10560
3826_175725,224500,2551500,Noctuidae,Discibocome pulchra,成蟲,2014,346215,3826_7045
3826_255812,311500,2711500,Noctuidae,Discibocome pulchra,成蟲,2014,346215,3826_10263
3826_259784,283500,2719500,Noctuidae,Discibocome pulchra,成蟲,2014,346215,3826_10357
3826_259759,258500,2719500,Noctuidae,Discibocome pulchra,成蟲,2014,346215,3826_10352
3826_188240,239500,2576500,Noctuidae,Discibocome pulchra,幼蟲,2015,346215,3826_7548
3826_230767,266500,2661500,Noctuidae,Discibocome pulchra,成蟲,2015,346215,3826_9254
