GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263798,297500,2727500,Geometridae,Discoglypha locupletata,成蟲,2011,344790,3826_10560
3826_219243,242500,2638500,Geometridae,Discoglypha locupletata,成蟲,2012,344790,3826_8749
3826_273788,287500,2747500,Geometridae,Discoglypha locupletata,成蟲,2012,344790,3826_10958
3826_255762,261500,2711500,Geometridae,Discoglypha locupletata,成蟲,2013,344790,3826_10253
3826_175725,224500,2551500,Geometridae,Discoglypha locupletata,成蟲,2013,344790,3826_7045
3826_270276,275500,2740500,Geometridae,Discoglypha locupletata,成蟲,2013,344790,3826_10856
3826_274810,309500,2749500,Geometridae,Discoglypha locupletata,成蟲,2013,344790,3826_10962
3826_263798,297500,2727500,Geometridae,Discoglypha locupletata,成蟲,2014,344790,3826_10560
3826_225806,305500,2651500,Geometridae,Discoglypha locupletata,成蟲,2014,344790,3826_9062
3826_264279,278500,2728500,Geometridae,Discoglypha locupletata,成蟲,2013,344790,3826_10556
3826_175725,224500,2551500,Geometridae,Discoglypha locupletata,成蟲,2014,344790,3826_7045
3826_225806,305500,2651500,Geometridae,Discoglypha locupletata,成蟲,2015,344790,3826_9062
3826_237248,247500,2674500,Geometridae,Discoglypha locupletata,成蟲,2015,344790,3826_9450
3826_264279,278500,2728500,Geometridae,Discoglypha locupletata,成蟲,2014,344790,3826_10556
3826_268819,318500,2737500,Geometridae,Discoglypha locupletata,成蟲,2014,344790,3826_10764
3826_263294,293500,2726500,Geometridae,Discoglypha locupletata,成蟲,2014,344790,3826_10559
3826_140225,224500,2480500,Geometridae,Discoglypha locupletata,成蟲,2014,344790,3826_5645
3826_259759,258500,2719500,Geometridae,Discoglypha locupletata,成蟲,2014,344790,3826_10352
3826_243326,325500,2686500,Geometridae,Discoglypha locupletata,成蟲,2015,344790,3826_9766
3826_139724,223500,2479500,Geometridae,Discoglypha locupletata,成蟲,2015,344790,3826_5545
3826_269811,310500,2739500,Geometridae,Discoglypha locupletata,成蟲,2016,344790,3826_10763
3826_263798,297500,2727500,Geometridae,Discoglypha locupletata,成蟲,2016,344790,3826_10560
3826_227250,249500,2654500,Geometridae,Discoglypha locupletata,成蟲,2016,344790,3826_9050
3826_175724,223500,2551500,Geometridae,Discoglypha locupletata,成蟲,2016,344790,3826_7045
3826_229248,247500,2658500,Geometridae,Discoglypha locupletata,成蟲,2016,344790,3826_9150
3826_232753,252500,2665500,Geometridae,Discoglypha locupletata,成蟲,2016,344790,3826_9351
3826_264279,278500,2728500,Geometridae,Discoglypha locupletata,成蟲,2016,344790,3826_10556
3826_200229,228500,2600500,Geometridae,Discoglypha locupletata,成蟲,2016,344790,3826_8046
3826_207230,229500,2614500,Geometridae,Discoglypha locupletata,成蟲,2016,344790,3826_8246
3826_224749,248500,2649500,Geometridae,Discoglypha locupletata,成蟲,2017,344790,3826_8950
3826_207230,229500,2614500,Geometridae,Discoglypha locupletata,成蟲,2017,344790,3826_8246
3826_224769,268500,2649500,Geometridae,Discoglypha locupletata,成蟲,2017,344790,3826_8954
3826_197723,222500,2595500,Geometridae,Discoglypha locupletata,成蟲,2017,344790,3826_7945
3826_264279,278500,2728500,Geometridae,Discoglypha locupletata,成蟲,2017,344790,3826_10556
3826_207230,229500,2614500,Geometridae,Discoglypha locupletata,成蟲,2018,344790,3826_8246
3826_233242,241500,2666500,Geometridae,Discoglypha locupletata,成蟲,2017,344790,3826_9349
3826_242745,244500,2685500,Geometridae,Discoglypha locupletata,成蟲,2018,344790,3826_9749
3826_214230,229500,2628500,Geometridae,Discoglypha locupletata,幼蟲,2018,344790,3826_8546
3826_264279,278500,2728500,Geometridae,Discoglypha locupletata,成蟲,2018,344790,3826_10556
3826_260294,293500,2720500,Geometridae,Discoglypha locupletata,成蟲,2018,344790,3826_10459
3826_239300,299500,2678500,Geometridae,Discoglypha locupletata,成蟲,2018,344790,3826_9560
3826_278806,305500,2757500,Geometridae,Discoglypha locupletata,成蟲,2018,344790,3826_11162
3826_254738,237500,2709500,Geometridae,Discoglypha locupletata,成蟲,2018,344790,3826_10148
3826_207229,228500,2614500,Geometridae,Discoglypha locupletata,成蟲,2018,344790,3826_8246
3826_264279,278500,2728500,Geometridae,Discoglypha locupletata,成蟲,2019,344790,3826_10556
3826_154218,217500,2508500,Geometridae,Discoglypha locupletata,成蟲,2013,344790,3826_6144
3826_255743,242500,2711500,Geometridae,Discoglypha locupletata,成蟲,2018,344790,3826_10249
3826_255743,242500,2711500,Geometridae,Discoglypha locupletata,成蟲,2019,344790,3826_10249
3826_256737,236500,2713500,Geometridae,Discoglypha locupletata,成蟲,2019,344790,3826_10248
3826_254738,237500,2709500,Geometridae,Discoglypha locupletata,成蟲,2019,344790,3826_10148
3826_257745,244500,2715500,Geometridae,Discoglypha locupletata,成蟲,2019,344790,3826_10349
3826_159220,219500,2518500,Geometridae,Discoglypha locupletata,成蟲,2015,344790,3826_6344
3826_200219,218500,2600500,Geometridae,Discoglypha locupletata,成蟲,2019,344790,3826_8044
3826_255262,261500,2710500,Geometridae,Discoglypha locupletata,成蟲,2019,344790,3826_10253
3826_254805,304500,2709500,Geometridae,Discoglypha locupletata,成蟲,2019,344790,3826_10161
3826_253247,246500,2706500,Geometridae,Discoglypha locupletata,成蟲,2019,344790,3826_10150
3826_238794,293500,2677500,Geometridae,Discoglypha locupletata,成蟲,2020,344790,3826_9559
3826_265782,281500,2731500,Geometridae,Discoglypha locupletata,成蟲,2020,344790,3826_10657
3826_257745,244500,2715500,Geometridae,Discoglypha locupletata,成蟲,2020,344790,3826_10349
3826_272276,275500,2744500,Geometridae,Discoglypha locupletata,成蟲,2020,344790,3826_10856
3826_269811,310500,2739500,Geometridae,Discoglypha locupletata,成蟲,2020,344790,3826_10763
3826_224769,268500,2649500,Geometridae,Discoglypha locupletata,成蟲,2014,344790,3826_8954
3826_170218,217500,2540500,Geometridae,Discoglypha locupletata,成蟲,2015,344790,3826_6844
3826_274280,279500,2748500,Geometridae,Discoglypha locupletata,成蟲,2020,344790,3826_10956
3826_259800,299500,2719500,Geometridae,Discoglypha locupletata,成蟲,2014,344790,3826_10360
3826_241751,250500,2683500,Geometridae,Discoglypha locupletata,成蟲,2020,344790,3826_9651
3826_273788,287500,2747500,Geometridae,Discoglypha locupletata,成蟲,2020,344790,3826_10958
3826_259800,299500,2719500,Geometridae,Discoglypha locupletata,成蟲,2015,344790,3826_10360
3826_241248,247500,2682500,Geometridae,Discoglypha locupletata,成蟲,2020,344790,3826_9650
3826_209230,229500,2618500,Geometridae,Discoglypha locupletata,成蟲,2021,344790,3826_8346
3826_257745,244500,2715500,Geometridae,Discoglypha locupletata,成蟲,2021,344790,3826_10349
3826_269273,272500,2738500,Geometridae,Discoglypha locupletata,成蟲,2021,344790,3826_10755
3826_262761,260500,2725500,Geometridae,Discoglypha locupletata,成蟲,2020,344790,3826_10553
3826_225806,305500,2651500,Geometridae,Discoglypha locupletata,成蟲,2020,344790,3826_9062
3826_207729,228500,2615500,Geometridae,Discoglypha locupletata,成蟲,2021,344790,3826_8346
3826_241751,250500,2683500,Geometridae,Discoglypha locupletata,成蟲,2021,344790,3826_9651
3826_238794,293500,2677500,Geometridae,Discoglypha locupletata,成蟲,2021,344790,3826_9559
3826_273788,287500,2747500,Geometridae,Discoglypha locupletata,成蟲,2021,344790,3826_10958
3826_217792,291500,2635500,Geometridae,Discoglypha locupletata,成蟲,2021,344790,3826_8759
3826_274810,309500,2749500,Geometridae,Discoglypha locupletata,成蟲,2022,344790,3826_10962
3826_273792,291500,2747500,Geometridae,Discoglypha locupletata,成蟲,2022,344790,3826_10959
3826_269273,272500,2738500,Geometridae,Discoglypha locupletata,成蟲,2022,344790,3826_10755
3826_238252,251500,2676500,Geometridae,Discoglypha locupletata,成蟲,2022,344790,3826_9551
