GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_269312,311500,2738500,Crambidae,Discothyris ferruginata,成蟲,2011,344143,3826_10763
3826_198726,225500,2597500,Crambidae,Discothyris ferruginata,成蟲,2012,344143,3826_7946
3826_281810,309500,2763500,Crambidae,Discothyris ferruginata,成蟲,2013,344143,3826_11262
3826_274781,280500,2749500,Crambidae,Discothyris ferruginata,成蟲,2013,344143,3826_10957
3826_197218,217500,2594500,Crambidae,Discothyris ferruginata,成蟲,2013,344143,3826_7844
3826_270276,275500,2740500,Crambidae,Discothyris ferruginata,成蟲,2013,344143,3826_10856
3826_209230,229500,2618500,Crambidae,Discothyris ferruginata,成蟲,2013,344143,3826_8346
3826_273279,278500,2746500,Crambidae,Discothyris ferruginata,成蟲,2014,344143,3826_10956
3826_227759,258500,2655500,Crambidae,Discothyris ferruginata,成蟲,2013,344143,3826_9152
3826_281820,319500,2763500,Crambidae,Discothyris ferruginata,成蟲,2015,344143,3826_11264
3826_264279,278500,2728500,Crambidae,Discothyris ferruginata,成蟲,2014,344143,3826_10556
3826_263798,297500,2727500,Crambidae,Discothyris ferruginata,成蟲,2014,344143,3826_10560
3826_234314,313500,2668500,Crambidae,Discothyris ferruginata,成蟲,2014,344143,3826_9363
3826_195215,214500,2590500,Crambidae,Discothyris ferruginata,成蟲,2015,344143,3826_7843
3826_264279,278500,2728500,Crambidae,Discothyris ferruginata,成蟲,2015,344143,3826_10556
3826_280316,315500,2760500,Crambidae,Discothyris ferruginata,成蟲,2012,344143,3826_11264
3826_276297,296500,2752500,Crambidae,Discothyris ferruginata,成蟲,2016,344143,3826_11060
3826_264279,278500,2728500,Crambidae,Discothyris ferruginata,成蟲,2016,344143,3826_10556
3826_267279,278500,2734500,Crambidae,Discothyris ferruginata,成蟲,2016,344143,3826_10656
3826_293308,307500,2786500,Crambidae,Discothyris ferruginata,成蟲,2017,344143,3826_11762
3826_281309,308500,2762500,Crambidae,Discothyris ferruginata,成蟲,2017,344143,3826_11262
3826_293303,302500,2786500,Crambidae,Discothyris ferruginata,成蟲,2017,344143,3826_11761
3826_265790,289500,2731500,Crambidae,Discothyris ferruginata,成蟲,2017,344143,3826_10658
3826_267278,277500,2734500,Crambidae,Discothyris ferruginata,成蟲,2017,344143,3826_10656
3826_276802,301500,2753500,Crambidae,Discothyris ferruginata,成蟲,2017,344143,3826_11061
3826_277327,326500,2754500,Crambidae,Discothyris ferruginata,成蟲,2017,344143,3826_11066
3826_211742,241500,2623500,Crambidae,Discothyris ferruginata,成蟲,2017,344143,3826_8449
3826_254805,304500,2709500,Crambidae,Discothyris ferruginata,成蟲,2011,344143,3826_10161
3826_284810,309500,2769500,Crambidae,Discothyris ferruginata,成蟲,2018,344143,3826_11362
3826_154218,217500,2508500,Crambidae,Discothyris ferruginata,成蟲,2018,344143,3826_6144
3826_256762,261500,2713500,Crambidae,Discothyris ferruginata,成蟲,2018,344143,3826_10253
3826_214744,243500,2629500,Crambidae,Discothyris ferruginata,成蟲,2018,344143,3826_8549
3826_262759,258500,2725500,Crambidae,Discothyris ferruginata,成蟲,2018,344143,3826_10552
3826_276793,292500,2753500,Crambidae,Discothyris ferruginata,成蟲,2018,344143,3826_11059
3826_274825,324500,2749500,Crambidae,Discothyris ferruginata,成蟲,2019,344143,3826_10965
3826_255743,242500,2711500,Crambidae,Discothyris ferruginata,成蟲,2018,344143,3826_10249
3826_276802,301500,2753500,Crambidae,Discothyris ferruginata,成蟲,2016,344143,3826_11061
3826_227760,259500,2655500,Crambidae,Discothyris ferruginata,成蟲,2019,344143,3826_9152
3826_264778,277500,2729500,Crambidae,Discothyris ferruginata,成蟲,2019,344143,3826_10556
3826_280319,318500,2760500,Crambidae,Discothyris ferruginata,成蟲,2019,344143,3826_11264
3826_281809,308500,2763500,Crambidae,Discothyris ferruginata,成蟲,2019,344143,3826_11262
