GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_292801,300500,2785500,Notodontidae,Disparia diluta variegata,幼蟲,2011,347026,3826_11761
3826_297809,308500,2795500,Notodontidae,Disparia diluta variegata,幼蟲,2012,347026,3826_11962
3826_291806,305500,2783500,Notodontidae,Disparia diluta variegata,成蟲,2012,347026,3826_11662
3826_285812,311500,2771500,Notodontidae,Disparia diluta variegata,幼蟲,2012,347026,3826_11463
3826_276808,307500,2753500,Notodontidae,Disparia diluta variegata,成蟲,2012,347026,3826_11062
3826_152210,209500,2504500,Notodontidae,Disparia diluta variegata,幼蟲,2012,347026,3826_6042
3826_281309,308500,2762500,Notodontidae,Disparia diluta variegata,成蟲,2013,347026,3826_11262
3826_275266,265500,2750500,Notodontidae,Disparia diluta variegata,成蟲,2013,347026,3826_11054
3826_288310,309500,2776500,Notodontidae,Disparia diluta variegata,成蟲,2012,347026,3826_11562
3826_282820,319500,2765500,Notodontidae,Disparia diluta variegata,成蟲,2013,347026,3826_11364
3826_275267,266500,2750500,Notodontidae,Disparia diluta variegata,成蟲,2013,347026,3826_11054
3826_272276,275500,2744500,Notodontidae,Disparia diluta variegata,成蟲,2013,347026,3826_10856
3826_282792,291500,2765500,Notodontidae,Disparia diluta variegata,成蟲,2013,347026,3826_11359
3826_288310,309500,2776500,Notodontidae,Disparia diluta variegata,成蟲,2014,347026,3826_11562
3826_280809,308500,2761500,Notodontidae,Disparia diluta variegata,成蟲,2014,347026,3826_11262
3826_281810,309500,2763500,Notodontidae,Disparia diluta variegata,成蟲,2014,347026,3826_11262
3826_157226,225500,2514500,Notodontidae,Disparia diluta variegata,成蟲,2015,347026,3826_6246
3826_264279,278500,2728500,Notodontidae,Disparia diluta variegata,成蟲,2014,347026,3826_10556
3826_268819,318500,2737500,Notodontidae,Disparia diluta variegata,成蟲,2014,347026,3826_10764
3826_271279,278500,2742500,Notodontidae,Disparia diluta variegata,成蟲,2014,347026,3826_10856
3826_263798,297500,2727500,Notodontidae,Disparia diluta variegata,成蟲,2014,347026,3826_10560
3826_273826,325500,2747500,Notodontidae,Disparia diluta variegata,成蟲,2013,347026,3826_10966
3826_293308,307500,2786500,Notodontidae,Disparia diluta variegata,成蟲,2015,347026,3826_11762
3826_280304,303500,2760500,Notodontidae,Disparia diluta variegata,成蟲,2015,347026,3826_11261
3826_292805,304500,2785500,Notodontidae,Disparia diluta variegata,幼蟲,2015,347026,3826_11761
3826_282784,283500,2765500,Notodontidae,Disparia diluta variegata,幼蟲,2015,347026,3826_11357
3826_237801,300500,2675500,Notodontidae,Disparia diluta variegata,成蟲,2012,347026,3826_9561
