GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_273304,303500,2746500,Notodontidae,Disparia wilemani,成蟲,2011,417545,3826_10961
3826_297809,308500,2795500,Notodontidae,Disparia wilemani,幼蟲,2012,417545,3826_11962
3826_297809,308500,2795500,Notodontidae,Disparia wilemani,成蟲,2012,417545,3826_11962
3826_273788,287500,2747500,Notodontidae,Disparia wilemani,成蟲,2012,417545,3826_10958
3826_284809,308500,2769500,Notodontidae,Disparia wilemani,成蟲,2012,417545,3826_11362
3826_290805,304500,2781500,Notodontidae,Disparia wilemani,成蟲,2012,417545,3826_11661
3826_273788,287500,2747500,Notodontidae,Disparia wilemani,成蟲,2013,417545,3826_10958
3826_279306,305500,2758500,Notodontidae,Disparia wilemani,成蟲,2013,417545,3826_11162
3826_226305,304500,2652500,Notodontidae,Disparia wilemani,成蟲,2013,417545,3826_9061
3826_292307,306500,2784500,Notodontidae,Disparia wilemani,成蟲,2013,417545,3826_11662
3826_282820,319500,2765500,Notodontidae,Disparia wilemani,成蟲,2013,417545,3826_11364
3826_273826,325500,2747500,Notodontidae,Disparia wilemani,成蟲,2013,417545,3826_10966
3826_284809,308500,2769500,Notodontidae,Disparia wilemani,成蟲,2014,417545,3826_11362
3826_290306,305500,2780500,Notodontidae,Disparia wilemani,成蟲,2013,417545,3826_11662
3826_281820,319500,2763500,Notodontidae,Disparia wilemani,成蟲,2013,417545,3826_11264
3826_288836,335500,2777500,Notodontidae,Disparia wilemani,成蟲,2014,417545,3826_11568
3826_280809,308500,2761500,Notodontidae,Disparia wilemani,成蟲,2014,417545,3826_11262
3826_273826,325500,2747500,Notodontidae,Disparia wilemani,成蟲,2014,417545,3826_10966
3826_170218,217500,2540500,Notodontidae,Disparia wilemani,成蟲,2014,417545,3826_6844
3826_154218,217500,2508500,Notodontidae,Disparia wilemani,成蟲,2014,417545,3826_6144
3826_255812,311500,2711500,Notodontidae,Disparia wilemani,成蟲,2014,417545,3826_10263
3826_174221,220500,2548500,Notodontidae,Disparia wilemani,成蟲,2015,417545,3826_6945
3826_264283,282500,2728500,Notodontidae,Disparia wilemani,成蟲,2015,417545,3826_10557
3826_264279,278500,2728500,Notodontidae,Disparia wilemani,成蟲,2015,417545,3826_10556
3826_272780,279500,2745500,Notodontidae,Disparia wilemani,成蟲,2014,417545,3826_10956
3826_293308,307500,2786500,Notodontidae,Disparia wilemani,成蟲,2015,417545,3826_11762
3826_198240,239500,2596500,Notodontidae,Disparia wilemani,成蟲,2015,417545,3826_7948
3826_264779,278500,2729500,Notodontidae,Disparia wilemani,成蟲,2015,417545,3826_10556
3826_287813,312500,2775500,Notodontidae,Disparia wilemani,成蟲,2014,417545,3826_11563
3826_280304,303500,2760500,Notodontidae,Disparia wilemani,成蟲,2015,417545,3826_11261
3826_283318,317500,2766500,Notodontidae,Disparia wilemani,成蟲,2016,417545,3826_11364
3826_287843,342500,2775500,Notodontidae,Disparia wilemani,成蟲,2016,417545,3826_11569
3826_292806,305500,2785500,Notodontidae,Disparia wilemani,成蟲,2016,417545,3826_11762
3826_293303,302500,2786500,Notodontidae,Disparia wilemani,成蟲,2016,417545,3826_11761
3826_287343,342500,2774500,Notodontidae,Disparia wilemani,成蟲,2016,417545,3826_11469
3826_269811,310500,2739500,Notodontidae,Disparia wilemani,成蟲,2016,417545,3826_10763
3826_263798,297500,2727500,Notodontidae,Disparia wilemani,成蟲,2016,417545,3826_10560
3826_264279,278500,2728500,Notodontidae,Disparia wilemani,成蟲,2016,417545,3826_10556
3826_140225,224500,2480500,Notodontidae,Disparia wilemani,成蟲,2013,417545,3826_5645
3826_263297,296500,2726500,Notodontidae,Disparia wilemani,成蟲,2016,417545,3826_10560
3826_198733,232500,2597500,Notodontidae,Disparia wilemani,成蟲,2016,417545,3826_7947
3826_199222,221500,2598500,Notodontidae,Disparia wilemani,成蟲,2016,417545,3826_7945
3826_254805,304500,2709500,Notodontidae,Disparia wilemani,成蟲,2016,417545,3826_10161
3826_277327,326500,2754500,Notodontidae,Disparia wilemani,成蟲,2016,417545,3826_11066
3826_199233,232500,2598500,Notodontidae,Disparia wilemani,成蟲,2017,417545,3826_7947
3826_185749,248500,2571500,Notodontidae,Disparia wilemani,成蟲,2017,417545,3826_7450
3826_287843,342500,2775500,Notodontidae,Disparia wilemani,成蟲,2017,417545,3826_11569
3826_254805,304500,2709500,Notodontidae,Disparia wilemani,成蟲,2017,417545,3826_10161
3826_256760,259500,2713500,Notodontidae,Disparia wilemani,成蟲,2017,417545,3826_10252
3826_280321,320500,2760500,Notodontidae,Disparia wilemani,成蟲,2017,417545,3826_11265
3826_232753,252500,2665500,Notodontidae,Disparia wilemani,成蟲,2016,417545,3826_9351
3826_280319,318500,2760500,Notodontidae,Disparia wilemani,成蟲,2017,417545,3826_11264
3826_139225,224500,2478500,Notodontidae,Disparia wilemani,成蟲,2015,417545,3826_5545
3826_293303,302500,2786500,Notodontidae,Disparia wilemani,成蟲,2018,417545,3826_11761
3826_207230,229500,2614500,Notodontidae,Disparia wilemani,成蟲,2017,417545,3826_8246
3826_175724,223500,2551500,Notodontidae,Disparia wilemani,成蟲,2015,417545,3826_7045
3826_285315,314500,2770500,Notodontidae,Disparia wilemani,成蟲,2018,417545,3826_11463
3826_290805,304500,2781500,Notodontidae,Disparia wilemani,成蟲,2018,417545,3826_11661
3826_290310,309500,2780500,Notodontidae,Disparia wilemani,成蟲,2018,417545,3826_11662
3826_280319,318500,2760500,Notodontidae,Disparia wilemani,成蟲,2018,417545,3826_11264
3826_258301,300500,2716500,Notodontidae,Disparia wilemani,成蟲,2018,417545,3826_10361
3826_284830,329500,2769500,Notodontidae,Disparia wilemani,成蟲,2018,417545,3826_11366
3826_280320,319500,2760500,Notodontidae,Disparia wilemani,成蟲,2018,417545,3826_11264
3826_286321,320500,2772500,Notodontidae,Disparia wilemani,成蟲,2018,417545,3826_11465
3826_242745,244500,2685500,Notodontidae,Disparia wilemani,成蟲,2018,417545,3826_9749
3826_287809,308500,2775500,Notodontidae,Disparia wilemani,成蟲,2018,417545,3826_11562
3826_241248,247500,2682500,Notodontidae,Disparia wilemani,成蟲,2018,417545,3826_9650
3826_266265,264500,2732500,Notodontidae,Disparia wilemani,成蟲,2018,417545,3826_10653
3826_227760,259500,2655500,Notodontidae,Disparia wilemani,成蟲,2018,417545,3826_9152
3826_282822,321500,2765500,Notodontidae,Disparia wilemani,成蟲,2018,417545,3826_11365
3826_223304,303500,2646500,Notodontidae,Disparia wilemani,成蟲,2016,417545,3826_8961
3826_260294,293500,2720500,Notodontidae,Disparia wilemani,成蟲,2016,417545,3826_10459
3826_294303,302500,2788500,Notodontidae,Disparia wilemani,成蟲,2018,417545,3826_11761
3826_130734,233500,2461500,Notodontidae,Disparia wilemani,成蟲,2017,417545,3826_5247
3826_247282,281500,2694500,Notodontidae,Disparia wilemani,成蟲,2018,417545,3826_9857
3826_157226,225500,2514500,Notodontidae,Disparia wilemani,成蟲,2018,417545,3826_6246
3826_238290,289500,2676500,Notodontidae,Disparia wilemani,成蟲,2014,417545,3826_9558
3826_293303,302500,2786500,Notodontidae,Disparia wilemani,成蟲,2019,417545,3826_11761
3826_291822,321500,2783500,Notodontidae,Disparia wilemani,成蟲,2019,417545,3826_11665
3826_273304,303500,2746500,Notodontidae,Disparia wilemani,成蟲,2019,417545,3826_10961
3826_293299,298500,2786500,Notodontidae,Disparia wilemani,成蟲,2019,417545,3826_11760
3826_280320,319500,2760500,Notodontidae,Disparia wilemani,成蟲,2019,417545,3826_11264
3826_286823,322500,2773500,Notodontidae,Disparia wilemani,成蟲,2019,417545,3826_11465
3826_254738,237500,2709500,Notodontidae,Disparia wilemani,成蟲,2018,417545,3826_10148
3826_269765,264500,2739500,Notodontidae,Disparia wilemani,成蟲,2019,417545,3826_10753
3826_296312,311500,2792500,Notodontidae,Disparia wilemani,成蟲,2019,417545,3826_11863
3826_238794,293500,2677500,Notodontidae,Disparia wilemani,成蟲,2019,417545,3826_9559
3826_280319,318500,2760500,Notodontidae,Disparia wilemani,成蟲,2019,417545,3826_11264
3826_291306,305500,2782500,Notodontidae,Disparia wilemani,成蟲,2019,417545,3826_11662
3826_286321,320500,2772500,Notodontidae,Disparia wilemani,成蟲,2019,417545,3826_11465
3826_256760,259500,2713500,Notodontidae,Disparia wilemani,成蟲,2019,417545,3826_10252
3826_266265,264500,2732500,Notodontidae,Disparia wilemani,成蟲,2019,417545,3826_10653
3826_281820,319500,2763500,Notodontidae,Disparia wilemani,成蟲,2014,417545,3826_11264
3826_281810,309500,2763500,Notodontidae,Disparia wilemani,成蟲,2019,417545,3826_11262
3826_287812,311500,2775500,Notodontidae,Disparia wilemani,成蟲,2019,417545,3826_11563
3826_207230,229500,2614500,Notodontidae,Disparia wilemani,成蟲,2015,417545,3826_8246
