GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_259781,280500,2719500,Drepanidae,Ditrigona triangularia,成蟲,2010,344431,3826_10357
3826_206243,242500,2612500,Drepanidae,Ditrigona triangularia,成蟲,2012,344431,3826_8249
3826_241751,250500,2683500,Drepanidae,Ditrigona triangularia,成蟲,2012,344431,3826_9651
3826_237785,284500,2675500,Drepanidae,Ditrigona triangularia,成蟲,2012,344431,3826_9557
3826_207230,229500,2614500,Drepanidae,Ditrigona triangularia,成蟲,2012,344431,3826_8246
3826_247282,281500,2694500,Drepanidae,Ditrigona triangularia,成蟲,2013,344431,3826_9857
3826_229767,266500,2659500,Drepanidae,Ditrigona triangularia,成蟲,2013,344431,3826_9154
3826_263798,297500,2727500,Drepanidae,Ditrigona triangularia,成蟲,2014,344431,3826_10560
3826_200731,230500,2601500,Drepanidae,Ditrigona triangularia,成蟲,2014,344431,3826_8047
3826_242252,251500,2684500,Drepanidae,Ditrigona triangularia,成蟲,2014,344431,3826_9651
3826_200230,229500,2600500,Drepanidae,Ditrigona triangularia,成蟲,2014,344431,3826_8046
3826_229767,266500,2659500,Drepanidae,Ditrigona triangularia,成蟲,2014,344431,3826_9154
3826_264279,278500,2728500,Drepanidae,Ditrigona triangularia,成蟲,2014,344431,3826_10556
3826_207230,229500,2614500,Drepanidae,Ditrigona triangularia,成蟲,2014,344431,3826_8246
3826_241248,247500,2682500,Drepanidae,Ditrigona triangularia,成蟲,2014,344431,3826_9650
3826_255305,304500,2710500,Drepanidae,Ditrigona triangularia,成蟲,2015,344431,3826_10261
3826_264279,278500,2728500,Drepanidae,Ditrigona triangularia,成蟲,2015,344431,3826_10556
3826_255762,261500,2711500,Drepanidae,Ditrigona triangularia,成蟲,2014,344431,3826_10253
3826_246782,281500,2693500,Drepanidae,Ditrigona triangularia,成蟲,2014,344431,3826_9857
3826_266794,293500,2733500,Drepanidae,Ditrigona triangularia,成蟲,2015,344431,3826_10659
3826_231268,267500,2662500,Drepanidae,Ditrigona triangularia,成蟲,2015,344431,3826_9254
3826_209730,229500,2619500,Drepanidae,Ditrigona triangularia,成蟲,2016,344431,3826_8346
3826_207229,228500,2614500,Drepanidae,Ditrigona triangularia,成蟲,2016,344431,3826_8246
3826_241751,250500,2683500,Drepanidae,Ditrigona triangularia,成蟲,2014,344431,3826_9651
3826_256262,261500,2712500,Drepanidae,Ditrigona triangularia,成蟲,2016,344431,3826_10253
3826_242252,251500,2684500,Drepanidae,Ditrigona triangularia,成蟲,2015,344431,3826_9651
3826_255762,261500,2711500,Drepanidae,Ditrigona triangularia,成蟲,2013,344431,3826_10253
3826_241248,247500,2682500,Drepanidae,Ditrigona triangularia,成蟲,2016,344431,3826_9650
3826_198739,238500,2597500,Drepanidae,Ditrigona triangularia,成蟲,2016,344431,3826_7948
3826_237785,284500,2675500,Drepanidae,Ditrigona triangularia,成蟲,2016,344431,3826_9557
3826_238290,289500,2676500,Drepanidae,Ditrigona triangularia,成蟲,2016,344431,3826_9558
3826_207230,229500,2614500,Drepanidae,Ditrigona triangularia,成蟲,2016,344431,3826_8246
