GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_286814,313500,2773500,Drepanidae,Drapetodes mitaria,幼蟲,2011,402785,3826_11463
3826_218230,229500,2636500,Drepanidae,Drapetodes mitaria,幼蟲,2011,402785,3826_8746
3826_242745,244500,2685500,Drepanidae,Drapetodes mitaria,成蟲,2011,402785,3826_9749
3826_266769,268500,2733500,Drepanidae,Drapetodes mitaria,成蟲,2012,402785,3826_10654
3826_291329,328500,2782500,Drepanidae,Drapetodes mitaria,幼蟲,2012,402785,3826_11666
3826_274810,309500,2749500,Drepanidae,Drapetodes mitaria,成蟲,2012,402785,3826_10962
3826_283807,306500,2767500,Drepanidae,Drapetodes mitaria,成蟲,2012,402785,3826_11362
3826_291300,299500,2782500,Drepanidae,Drapetodes mitaria,幼蟲,2012,402785,3826_11660
3826_274810,309500,2749500,Drepanidae,Drapetodes mitaria,幼蟲,2012,402785,3826_10962
3826_277769,268500,2755500,Drepanidae,Drapetodes mitaria,成蟲,2012,402785,3826_11154
3826_237248,247500,2674500,Drepanidae,Drapetodes mitaria,幼蟲,2012,402785,3826_9450
3826_175205,204500,2550500,Drepanidae,Drapetodes mitaria,成蟲,2012,402785,3826_7041
3826_269280,279500,2738500,Drepanidae,Drapetodes mitaria,成蟲,2013,402785,3826_10756
3826_281309,308500,2762500,Drepanidae,Drapetodes mitaria,成蟲,2013,402785,3826_11262
3826_212729,228500,2625500,Drepanidae,Drapetodes mitaria,成蟲,2013,402785,3826_8546
3826_283807,306500,2767500,Drepanidae,Drapetodes mitaria,成蟲,2014,402785,3826_11362
3826_283807,306500,2767500,Drepanidae,Drapetodes mitaria,幼蟲,2014,402785,3826_11362
3826_264258,257500,2728500,Drepanidae,Drapetodes mitaria,幼蟲,2013,402785,3826_10552
3826_281301,300500,2762500,Drepanidae,Drapetodes mitaria,成蟲,2014,402785,3826_11261
3826_277783,282500,2755500,Drepanidae,Drapetodes mitaria,幼蟲,2014,402785,3826_11157
3826_266265,264500,2732500,Drepanidae,Drapetodes mitaria,幼蟲,2013,402785,3826_10653
3826_282792,291500,2765500,Drepanidae,Drapetodes mitaria,成蟲,2013,402785,3826_11359
3826_280304,303500,2760500,Drepanidae,Drapetodes mitaria,成蟲,2013,402785,3826_11261
3826_288808,307500,2777500,Drepanidae,Drapetodes mitaria,幼蟲,2013,402785,3826_11562
3826_288306,305500,2776500,Drepanidae,Drapetodes mitaria,幼蟲,2014,402785,3826_11562
3826_282809,308500,2765500,Drepanidae,Drapetodes mitaria,幼蟲,2014,402785,3826_11362
3826_282307,306500,2764500,Drepanidae,Drapetodes mitaria,成蟲,2014,402785,3826_11262
3826_218230,229500,2636500,Drepanidae,Drapetodes mitaria,幼蟲,2014,402785,3826_8746
3826_280787,286500,2761500,Drepanidae,Drapetodes mitaria,成蟲,2013,402785,3826_11258
3826_225806,305500,2651500,Drepanidae,Drapetodes mitaria,成蟲,2014,402785,3826_9062
3826_284309,308500,2768500,Drepanidae,Drapetodes mitaria,成蟲,2014,402785,3826_11362
3826_275307,306500,2750500,Drepanidae,Drapetodes mitaria,成蟲,2014,402785,3826_11062
3826_295316,315500,2790500,Drepanidae,Drapetodes mitaria,成蟲,2012,402785,3826_11864
3826_281810,309500,2763500,Drepanidae,Drapetodes mitaria,成蟲,2014,402785,3826_11262
3826_281301,300500,2762500,Drepanidae,Drapetodes mitaria,成蟲,2013,402785,3826_11261
3826_280809,308500,2761500,Drepanidae,Drapetodes mitaria,成蟲,2014,402785,3826_11262
3826_273826,325500,2747500,Drepanidae,Drapetodes mitaria,成蟲,2014,402785,3826_10966
3826_276808,307500,2753500,Drepanidae,Drapetodes mitaria,成蟲,2014,402785,3826_11062
3826_220810,309500,2641500,Drepanidae,Drapetodes mitaria,成蟲,2014,402785,3826_8862
3826_223803,302500,2647500,Drepanidae,Drapetodes mitaria,幼蟲,2014,402785,3826_8961
3826_285818,317500,2771500,Drepanidae,Drapetodes mitaria,成蟲,2014,402785,3826_11464
3826_283807,306500,2767500,Drepanidae,Drapetodes mitaria,成蟲,2015,402785,3826_11362
3826_262327,326500,2724500,Drepanidae,Drapetodes mitaria,成蟲,2015,402785,3826_10466
3826_263798,297500,2727500,Drepanidae,Drapetodes mitaria,成蟲,2014,402785,3826_10560
3826_272276,275500,2744500,Drepanidae,Drapetodes mitaria,成蟲,2014,402785,3826_10856
3826_292797,296500,2785500,Drepanidae,Drapetodes mitaria,成蟲,2015,402785,3826_11760
3826_281301,300500,2762500,Drepanidae,Drapetodes mitaria,成蟲,2015,402785,3826_11261
3826_285793,292500,2771500,Drepanidae,Drapetodes mitaria,成蟲,2015,402785,3826_11459
3826_282809,308500,2765500,Drepanidae,Drapetodes mitaria,幼蟲,2015,402785,3826_11362
3826_284315,314500,2768500,Drepanidae,Drapetodes mitaria,幼蟲,2016,402785,3826_11363
3826_258301,300500,2716500,Drepanidae,Drapetodes mitaria,成蟲,2014,402785,3826_10361
3826_259800,299500,2719500,Drepanidae,Drapetodes mitaria,成蟲,2015,402785,3826_10360
3826_280304,303500,2760500,Drepanidae,Drapetodes mitaria,成蟲,2015,402785,3826_11261
3826_280787,286500,2761500,Drepanidae,Drapetodes mitaria,成蟲,2015,402785,3826_11258
3826_281810,309500,2763500,Drepanidae,Drapetodes mitaria,成蟲,2015,402785,3826_11262
3826_285293,292500,2770500,Drepanidae,Drapetodes mitaria,幼蟲,2015,402785,3826_11459
3826_285293,292500,2770500,Drepanidae,Drapetodes mitaria,成蟲,2015,402785,3826_11459
3826_287787,286500,2775500,Drepanidae,Drapetodes mitaria,幼蟲,2015,402785,3826_11558
