GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_187200,199500,2574500,Crambidae,Drosophantis caeruleata,成蟲,2011,427192,3826_7440
3826_187200,199500,2574500,Crambidae,Drosophantis caeruleata,成蟲,2014,427192,3826_7440
3826_213711,210500,2627500,Crambidae,Drosophantis caeruleata,成蟲,2015,427192,3826_8543
3826_187200,199500,2574500,Crambidae,Drosophantis caeruleata,成蟲,2015,427192,3826_7440
3826_261827,326500,2723500,Crambidae,Drosophantis caeruleata,成蟲,2015,427192,3826_10466
3826_289826,325500,2779500,Crambidae,Drosophantis caeruleata,成蟲,2015,427192,3826_11566
3826_277807,306500,2755500,Crambidae,Drosophantis caeruleata,成蟲,2016,427192,3826_11162
3826_225250,249500,2650500,Crambidae,Drosophantis caeruleata,成蟲,2016,427192,3826_9050
3826_195213,212500,2590500,Crambidae,Drosophantis caeruleata,成蟲,2016,427192,3826_7843
3826_229248,247500,2658500,Crambidae,Drosophantis caeruleata,成蟲,2016,427192,3826_9150
3826_252226,225500,2704500,Crambidae,Drosophantis caeruleata,成蟲,2013,427192,3826_10046
3826_218727,226500,2637500,Crambidae,Drosophantis caeruleata,成蟲,2016,427192,3826_8746
3826_224749,248500,2649500,Crambidae,Drosophantis caeruleata,成蟲,2017,427192,3826_8950
3826_272276,275500,2744500,Crambidae,Drosophantis caeruleata,成蟲,2017,427192,3826_10856
3826_228809,308500,2657500,Crambidae,Drosophantis caeruleata,成蟲,2014,427192,3826_9162
3826_262249,248500,2724500,Crambidae,Drosophantis caeruleata,成蟲,2018,427192,3826_10450
3826_228252,251500,2656500,Crambidae,Drosophantis caeruleata,成蟲,2018,427192,3826_9151
3826_197720,219500,2595500,Crambidae,Drosophantis caeruleata,成蟲,2018,427192,3826_7944
3826_251728,227500,2703500,Crambidae,Drosophantis caeruleata,成蟲,2018,427192,3826_10046
3826_237230,229500,2674500,Crambidae,Drosophantis caeruleata,成蟲,2018,427192,3826_9446
3826_275780,279500,2751500,Crambidae,Drosophantis caeruleata,成蟲,2018,427192,3826_11056
3826_154218,217500,2508500,Crambidae,Drosophantis caeruleata,成蟲,2019,427192,3826_6144
3826_198722,221500,2597500,Crambidae,Drosophantis caeruleata,成蟲,2012,427192,3826_7945
3826_238732,231500,2677500,Crambidae,Drosophantis caeruleata,成蟲,2019,427192,3826_9547
3826_165724,223500,2531500,Crambidae,Drosophantis caeruleata,成蟲,2019,427192,3826_6645
3826_155252,251500,2510500,Crambidae,Drosophantis caeruleata,成蟲,2012,427192,3826_6251
3826_275780,279500,2751500,Crambidae,Drosophantis caeruleata,成蟲,2019,427192,3826_11056
3826_252833,332500,2705500,Crambidae,Drosophantis caeruleata,成蟲,2018,427192,3826_10167
3826_269811,310500,2739500,Crambidae,Drosophantis caeruleata,成蟲,2019,427192,3826_10763
3826_198220,219500,2596500,Crambidae,Drosophantis caeruleata,成蟲,2019,427192,3826_7944
3826_228252,251500,2656500,Crambidae,Drosophantis caeruleata,成蟲,2019,427192,3826_9151
3826_221211,210500,2642500,Crambidae,Drosophantis caeruleata,成蟲,2019,427192,3826_8843
3826_229766,265500,2659500,Crambidae,Drosophantis caeruleata,成蟲,2019,427192,3826_9154
3826_273304,303500,2746500,Crambidae,Drosophantis caeruleata,成蟲,2019,427192,3826_10961
3826_276802,301500,2753500,Crambidae,Drosophantis caeruleata,成蟲,2019,427192,3826_11061
3826_281810,309500,2763500,Crambidae,Drosophantis caeruleata,成蟲,2020,427192,3826_11262
3826_198220,219500,2596500,Crambidae,Drosophantis caeruleata,成蟲,2012,427192,3826_7944
3826_175223,222500,2550500,Crambidae,Drosophantis caeruleata,成蟲,2013,427192,3826_7045
3826_170218,217500,2540500,Crambidae,Drosophantis caeruleata,成蟲,2013,427192,3826_6844
3826_282307,306500,2764500,Crambidae,Drosophantis caeruleata,成蟲,2020,427192,3826_11262
3826_273786,285500,2747500,Crambidae,Drosophantis caeruleata,成蟲,2020,427192,3826_10958
3826_275780,279500,2751500,Crambidae,Drosophantis caeruleata,成蟲,2020,427192,3826_11056
3826_291805,304500,2783500,Crambidae,Drosophantis caeruleata,成蟲,2014,427192,3826_11661
3826_226252,251500,2652500,Crambidae,Drosophantis caeruleata,成蟲,2020,427192,3826_9051
3826_159220,219500,2518500,Crambidae,Drosophantis caeruleata,成蟲,2021,427192,3826_6344
3826_270323,322500,2740500,Crambidae,Drosophantis caeruleata,成蟲,2021,427192,3826_10865
3826_282307,306500,2764500,Crambidae,Drosophantis caeruleata,成蟲,2021,427192,3826_11262
3826_292307,306500,2784500,Crambidae,Drosophantis caeruleata,成蟲,2016,427192,3826_11662
3826_208294,293500,2616500,Crambidae,Drosophantis caeruleata,成蟲,2021,427192,3826_8359
3826_273807,306500,2747500,Crambidae,Drosophantis caeruleata,成蟲,2021,427192,3826_10962
3826_269280,279500,2738500,Crambidae,Drosophantis caeruleata,成蟲,2021,427192,3826_10756
3826_184191,190500,2568500,Crambidae,Drosophantis caeruleata,成蟲,2021,427192,3826_7339
3826_147688,187500,2495500,Crambidae,Drosophantis caeruleata,成蟲,2022,427192,3826_5938
3826_282307,306500,2764500,Crambidae,Drosophantis caeruleata,成蟲,2022,427192,3826_11262
3826_291305,304500,2782500,Crambidae,Drosophantis caeruleata,成蟲,2022,427192,3826_11661
3826_194707,206500,2589500,Crambidae,Drosophantis caeruleata,成蟲,2022,427192,3826_7742
3826_173699,198500,2547500,Crambidae,Drosophantis caeruleata,成蟲,2022,427192,3826_6940
3826_259249,248500,2718500,Crambidae,Drosophantis caeruleata,成蟲,2022,427192,3826_10350
3826_279322,321500,2758500,Crambidae,Drosophantis caeruleata,成蟲,2022,427192,3826_11165
