GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_279306,305500,2758500,Notodontidae,Dudusa synopla,成蟲,2012,346959,3826_11162
3826_273788,287500,2747500,Notodontidae,Dudusa synopla,成蟲,2012,346959,3826_10958
3826_275764,263500,2751500,Notodontidae,Dudusa synopla,幼蟲,2011,346959,3826_11053
3826_264779,278500,2729500,Notodontidae,Dudusa synopla,成蟲,2013,346959,3826_10556
3826_272276,275500,2744500,Notodontidae,Dudusa synopla,成蟲,2013,346959,3826_10856
3826_225744,243500,2651500,Notodontidae,Dudusa synopla,成蟲,2014,346959,3826_9049
3826_220810,309500,2641500,Notodontidae,Dudusa synopla,成蟲,2014,346959,3826_8862
3826_256234,233500,2712500,Notodontidae,Dudusa synopla,成蟲,2014,346959,3826_10247
3826_266771,270500,2733500,Notodontidae,Dudusa synopla,成蟲,2014,346959,3826_10655
3826_243237,236500,2686500,Notodontidae,Dudusa synopla,幼蟲,2014,346959,3826_9748
3826_224743,242500,2649500,Notodontidae,Dudusa synopla,幼蟲,2014,346959,3826_8949
3826_232753,252500,2665500,Notodontidae,Dudusa synopla,幼蟲,2014,346959,3826_9351
3826_227759,258500,2655500,Notodontidae,Dudusa synopla,成蟲,2014,346959,3826_9152
3826_265289,288500,2730500,Notodontidae,Dudusa synopla,成蟲,2014,346959,3826_10658
3826_220810,309500,2641500,Notodontidae,Dudusa synopla,成蟲,2015,346959,3826_8862
3826_186733,232500,2573500,Notodontidae,Dudusa synopla,成蟲,2015,346959,3826_7447
3826_159220,219500,2518500,Notodontidae,Dudusa synopla,成蟲,2015,346959,3826_6344
3826_186219,218500,2572500,Notodontidae,Dudusa synopla,成蟲,2015,346959,3826_7444
3826_258242,241500,2716500,Notodontidae,Dudusa synopla,成蟲,2015,346959,3826_10349
3826_264283,282500,2728500,Notodontidae,Dudusa synopla,成蟲,2015,346959,3826_10557
3826_264279,278500,2728500,Notodontidae,Dudusa synopla,成蟲,2015,346959,3826_10556
3826_273796,295500,2747500,Notodontidae,Dudusa synopla,幼蟲,2014,346959,3826_10960
3826_270777,276500,2741500,Notodontidae,Dudusa synopla,成蟲,2014,346959,3826_10856
3826_263260,259500,2726500,Notodontidae,Dudusa synopla,幼蟲,2015,346959,3826_10552
3826_263260,259500,2726500,Notodontidae,Dudusa synopla,成蟲,2015,346959,3826_10552
3826_274305,304500,2748500,Notodontidae,Dudusa synopla,成蟲,2015,346959,3826_10961
3826_214744,243500,2629500,Notodontidae,Dudusa synopla,成蟲,2015,346959,3826_8549
3826_290308,307500,2780500,Notodontidae,Dudusa synopla,幼蟲,2015,346959,3826_11662
3826_281844,343500,2763500,Notodontidae,Dudusa synopla,幼蟲,2015,346959,3826_11269
3826_225806,305500,2651500,Notodontidae,Dudusa synopla,成蟲,2016,346959,3826_9062
3826_243237,236500,2686500,Notodontidae,Dudusa synopla,成蟲,2016,346959,3826_9748
3826_123735,234500,2447500,Notodontidae,Dudusa synopla,成蟲,2016,346959,3826_4947
3826_263260,259500,2726500,Notodontidae,Dudusa synopla,幼蟲,2016,346959,3826_10552
3826_230726,225500,2661500,Notodontidae,Dudusa synopla,幼蟲,2016,346959,3826_9246
3826_263753,252500,2727500,Notodontidae,Dudusa synopla,幼蟲,2016,346959,3826_10551
3826_230727,226500,2661500,Notodontidae,Dudusa synopla,幼蟲,2016,346959,3826_9246
3826_232232,231500,2664500,Notodontidae,Dudusa synopla,幼蟲,2016,346959,3826_9247
3826_230726,225500,2661500,Notodontidae,Dudusa synopla,成蟲,2016,346959,3826_9246
3826_265289,288500,2730500,Notodontidae,Dudusa synopla,成蟲,2016,346959,3826_10658
3826_227756,255500,2655500,Notodontidae,Dudusa synopla,幼蟲,2016,346959,3826_9152
3826_213729,228500,2627500,Notodontidae,Dudusa synopla,成蟲,2016,346959,3826_8546
3826_263260,259500,2726500,Notodontidae,Dudusa synopla,成蟲,2016,346959,3826_10552
3826_203210,209500,2606500,Notodontidae,Dudusa synopla,成蟲,2016,346959,3826_8142
3826_262305,304500,2724500,Notodontidae,Dudusa synopla,成蟲,2016,346959,3826_10461
3826_289305,304500,2778500,Notodontidae,Dudusa synopla,幼蟲,2016,346959,3826_11561
3826_233239,238500,2666500,Notodontidae,Dudusa synopla,成蟲,2017,346959,3826_9348
3826_194722,221500,2589500,Notodontidae,Dudusa synopla,成蟲,2017,346959,3826_7745
3826_224749,248500,2649500,Notodontidae,Dudusa synopla,成蟲,2017,346959,3826_8950
3826_228764,263500,2657500,Notodontidae,Dudusa synopla,成蟲,2017,346959,3826_9153
3826_275806,305500,2751500,Notodontidae,Dudusa synopla,成蟲,2017,346959,3826_11062
3826_284343,342500,2768500,Notodontidae,Dudusa synopla,幼蟲,2017,346959,3826_11369
3826_223803,302500,2647500,Notodontidae,Dudusa synopla,幼蟲,2017,346959,3826_8961
3826_250245,244500,2700500,Notodontidae,Dudusa synopla,成蟲,2017,346959,3826_10049
3826_291801,300500,2783500,Notodontidae,Dudusa synopla,成蟲,2017,346959,3826_11661
3826_229225,224500,2658500,Notodontidae,Dudusa synopla,成蟲,2017,346959,3826_9145
3826_213728,227500,2627500,Notodontidae,Dudusa synopla,幼蟲,2017,346959,3826_8546
3826_234736,235500,2669500,Notodontidae,Dudusa synopla,幼蟲,2017,346959,3826_9348
3826_223302,301500,2646500,Notodontidae,Dudusa synopla,成蟲,2017,346959,3826_8961
3826_131234,233500,2462500,Notodontidae,Dudusa synopla,成蟲,2017,346959,3826_5247
3826_248733,232500,2697500,Notodontidae,Dudusa synopla,成蟲,2018,346959,3826_9947
3826_187783,282500,2575500,Notodontidae,Dudusa synopla,成蟲,2018,346959,3826_7557
3826_263260,259500,2726500,Notodontidae,Dudusa synopla,成蟲,2018,346959,3826_10552
3826_211791,290500,2623500,Notodontidae,Dudusa synopla,成蟲,2018,346959,3826_8459
