GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_161256,255500,2522500,Uraniidae,Dysaethria cretacea,成蟲,2011,348047,3826_6452
3826_281310,309500,2762500,Uraniidae,Dysaethria cretacea,成蟲,2012,348047,3826_11262
3826_291306,305500,2782500,Uraniidae,Dysaethria cretacea,成蟲,2012,348047,3826_11662
3826_291805,304500,2783500,Uraniidae,Dysaethria cretacea,成蟲,2012,348047,3826_11661
3826_296304,303500,2792500,Uraniidae,Dysaethria cretacea,成蟲,2012,348047,3826_11861
3826_289309,308500,2778500,Uraniidae,Dysaethria cretacea,成蟲,2012,348047,3826_11562
3826_297809,308500,2795500,Uraniidae,Dysaethria cretacea,成蟲,2012,348047,3826_11962
3826_290310,309500,2780500,Uraniidae,Dysaethria cretacea,成蟲,2012,348047,3826_11662
3826_280807,306500,2761500,Uraniidae,Dysaethria cretacea,成蟲,2012,348047,3826_11262
3826_274307,306500,2748500,Uraniidae,Dysaethria cretacea,成蟲,2012,348047,3826_10962
3826_273788,287500,2747500,Uraniidae,Dysaethria cretacea,成蟲,2011,348047,3826_10958
3826_289308,307500,2778500,Uraniidae,Dysaethria cretacea,成蟲,2012,348047,3826_11562
3826_280316,315500,2760500,Uraniidae,Dysaethria cretacea,成蟲,2012,348047,3826_11264
3826_281312,311500,2762500,Uraniidae,Dysaethria cretacea,成蟲,2012,348047,3826_11263
3826_293303,302500,2786500,Uraniidae,Dysaethria cretacea,成蟲,2012,348047,3826_11761
3826_284315,314500,2768500,Uraniidae,Dysaethria cretacea,成蟲,2013,348047,3826_11363
3826_291805,304500,2783500,Uraniidae,Dysaethria cretacea,成蟲,2013,348047,3826_11661
3826_280316,315500,2760500,Uraniidae,Dysaethria cretacea,成蟲,2013,348047,3826_11264
3826_280815,314500,2761500,Uraniidae,Dysaethria cretacea,成蟲,2013,348047,3826_11263
3826_269312,311500,2738500,Uraniidae,Dysaethria cretacea,成蟲,2013,348047,3826_10763
3826_282820,319500,2765500,Uraniidae,Dysaethria cretacea,成蟲,2013,348047,3826_11364
3826_284818,317500,2769500,Uraniidae,Dysaethria cretacea,成蟲,2013,348047,3826_11364
3826_290324,323500,2780500,Uraniidae,Dysaethria cretacea,成蟲,2013,348047,3826_11665
3826_228759,258500,2657500,Uraniidae,Dysaethria cretacea,成蟲,2013,348047,3826_9152
3826_290324,323500,2780500,Uraniidae,Dysaethria cretacea,成蟲,2014,348047,3826_11665
3826_288310,309500,2776500,Uraniidae,Dysaethria cretacea,成蟲,2014,348047,3826_11562
3826_199721,220500,2599500,Uraniidae,Dysaethria cretacea,成蟲,2014,348047,3826_7945
3826_232753,252500,2665500,Uraniidae,Dysaethria cretacea,幼蟲,2014,348047,3826_9351
3826_281820,319500,2763500,Uraniidae,Dysaethria cretacea,成蟲,2013,348047,3826_11264
3826_288836,335500,2777500,Uraniidae,Dysaethria cretacea,成蟲,2014,348047,3826_11568
3826_281312,311500,2762500,Uraniidae,Dysaethria cretacea,成蟲,2014,348047,3826_11263
3826_289823,322500,2779500,Uraniidae,Dysaethria cretacea,成蟲,2014,348047,3826_11565
