GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_297809,308500,2795500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2012,348049,3826_11962
3826_172215,214500,2544500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2013,348049,3826_6843
3826_281810,309500,2763500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2014,348049,3826_11262
3826_269811,310500,2739500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2015,348049,3826_10763
3826_280304,303500,2760500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2015,348049,3826_11261
3826_285793,292500,2771500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2015,348049,3826_11459
3826_291801,300500,2783500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2012,348049,3826_11661
3826_269811,310500,2739500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2016,348049,3826_10763
3826_128729,228500,2457500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2016,348049,3826_5146
3826_281309,308500,2762500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2015,348049,3826_11262
3826_252226,225500,2704500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2015,348049,3826_10046
3826_290304,303500,2780500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2016,348049,3826_11661
3826_273260,259500,2746500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2016,348049,3826_10952
3826_282791,290500,2765500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2016,348049,3826_11359
3826_252226,225500,2704500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2013,348049,3826_10046
3826_252226,225500,2704500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2011,348049,3826_10046
3826_252226,225500,2704500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2016,348049,3826_10046
3826_273760,259500,2747500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2017,348049,3826_10952
3826_281810,309500,2763500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2017,348049,3826_11262
3826_252226,225500,2704500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2017,348049,3826_10046
3826_190782,281500,2581500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2017,348049,3826_7657
3826_287811,310500,2775500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2017,348049,3826_11563
3826_273786,285500,2747500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2017,348049,3826_10958
3826_286321,320500,2772500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2017,348049,3826_11465
3826_279286,285500,2758500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2018,348049,3826_11158
3826_290310,309500,2780500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2018,348049,3826_11662
3826_224749,248500,2649500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2018,348049,3826_8950
3826_280319,318500,2760500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2018,348049,3826_11264
3826_266755,254500,2733500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2018,348049,3826_10651
3826_251728,227500,2703500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2018,348049,3826_10046
3826_273304,303500,2746500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2018,348049,3826_10961
3826_269765,264500,2739500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2019,348049,3826_10753
3826_279332,331500,2758500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2010,348049,3826_11167
3826_280320,319500,2760500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2019,348049,3826_11264
3826_281309,308500,2762500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2019,348049,3826_11262
3826_273760,259500,2747500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2019,348049,3826_10952
3826_251728,227500,2703500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2019,348049,3826_10046
3826_288835,334500,2777500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2019,348049,3826_11567
3826_152675,174500,2505500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2015,348049,3826_6135
3826_152675,174500,2505500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2019,348049,3826_6135
3826_257242,241500,2714500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2019,348049,3826_10249
3826_254738,237500,2709500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2019,348049,3826_10148
3826_281810,309500,2763500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2019,348049,3826_11262
3826_286336,335500,2772500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2019,348049,3826_11468
3826_274806,305500,2749500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2020,348049,3826_10962
3826_281810,309500,2763500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2020,348049,3826_11262
3826_282307,306500,2764500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2020,348049,3826_11262
3826_273760,259500,2747500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2020,348049,3826_10952
3826_280321,320500,2760500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2020,348049,3826_11265
3826_273786,285500,2747500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2020,348049,3826_10958
3826_170218,217500,2540500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2014,348049,3826_6844
3826_296307,306500,2792500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2020,348049,3826_11862
3826_281311,310500,2762500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2021,348049,3826_11263
3826_274806,305500,2749500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2021,348049,3826_10962
3826_281810,309500,2763500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2021,348049,3826_11262
3826_281303,302500,2762500,Uraniidae,Dysaethria scopocera formosibia,成蟲,2022,348049,3826_11261
