GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_219741,240500,2639500,Geometridae,Ecliptopera delecta,成蟲,2012,344803,3826_8749
3826_197218,217500,2594500,Geometridae,Ecliptopera delecta,成蟲,2013,344803,3826_7844
3826_263285,284500,2726500,Geometridae,Ecliptopera delecta,成蟲,2013,344803,3826_10557
3826_175725,224500,2551500,Geometridae,Ecliptopera delecta,成蟲,2014,344803,3826_7045
3826_225806,305500,2651500,Geometridae,Ecliptopera delecta,成蟲,2014,344803,3826_9062
3826_204212,211500,2608500,Geometridae,Ecliptopera delecta,成蟲,2014,344803,3826_8143
3826_264279,278500,2728500,Geometridae,Ecliptopera delecta,成蟲,2014,344803,3826_10556
3826_264279,278500,2728500,Geometridae,Ecliptopera delecta,成蟲,2015,344803,3826_10556
3826_264779,278500,2729500,Geometridae,Ecliptopera delecta,成蟲,2014,344803,3826_10556
3826_259784,283500,2719500,Geometridae,Ecliptopera delecta,成蟲,2014,344803,3826_10357
3826_263798,297500,2727500,Geometridae,Ecliptopera delecta,成蟲,2014,344803,3826_10560
3826_291806,305500,2783500,Geometridae,Ecliptopera delecta,成蟲,2013,344803,3826_11662
3826_199720,219500,2599500,Geometridae,Ecliptopera delecta,成蟲,2013,344803,3826_7944
3826_232753,252500,2665500,Geometridae,Ecliptopera delecta,成蟲,2015,344803,3826_9351
3826_209230,229500,2618500,Geometridae,Ecliptopera delecta,成蟲,2015,344803,3826_8346
3826_273788,287500,2747500,Geometridae,Ecliptopera delecta,成蟲,2013,344803,3826_10958
3826_268259,258500,2736500,Geometridae,Ecliptopera delecta,成蟲,2016,344803,3826_10752
3826_209730,229500,2619500,Geometridae,Ecliptopera delecta,成蟲,2016,344803,3826_8346
3826_292801,300500,2785500,Geometridae,Ecliptopera delecta,成蟲,2013,344803,3826_11761
3826_195213,212500,2590500,Geometridae,Ecliptopera delecta,成蟲,2016,344803,3826_7843
3826_238300,299500,2676500,Geometridae,Ecliptopera delecta,成蟲,2016,344803,3826_9560
3826_259282,281500,2718500,Geometridae,Ecliptopera delecta,成蟲,2016,344803,3826_10357
3826_226764,263500,2653500,Geometridae,Ecliptopera delecta,成蟲,2013,344803,3826_9053
3826_241243,242500,2682500,Geometridae,Ecliptopera delecta,成蟲,2016,344803,3826_9649
3826_266265,264500,2732500,Geometridae,Ecliptopera delecta,成蟲,2016,344803,3826_10653
3826_277327,326500,2754500,Geometridae,Ecliptopera delecta,成蟲,2017,344803,3826_11066
3826_263260,259500,2726500,Geometridae,Ecliptopera delecta,成蟲,2017,344803,3826_10552
3826_200216,215500,2600500,Geometridae,Ecliptopera delecta,成蟲,2017,344803,3826_8044
3826_267787,286500,2735500,Geometridae,Ecliptopera delecta,成蟲,2017,344803,3826_10758
3826_254805,304500,2709500,Geometridae,Ecliptopera delecta,成蟲,2017,344803,3826_10161
3826_280319,318500,2760500,Geometridae,Ecliptopera delecta,成蟲,2017,344803,3826_11264
3826_228264,263500,2656500,Geometridae,Ecliptopera delecta,成蟲,2017,344803,3826_9153
3826_263798,297500,2727500,Geometridae,Ecliptopera delecta,成蟲,2017,344803,3826_10560
3826_269276,275500,2738500,Geometridae,Ecliptopera delecta,成蟲,2017,344803,3826_10756
3826_255762,261500,2711500,Geometridae,Ecliptopera delecta,成蟲,2017,344803,3826_10253
3826_256760,259500,2713500,Geometridae,Ecliptopera delecta,成蟲,2017,344803,3826_10252
3826_274307,306500,2748500,Geometridae,Ecliptopera delecta,成蟲,2013,344803,3826_10962
3826_266293,292500,2732500,Geometridae,Ecliptopera delecta,成蟲,2017,344803,3826_10659
3826_201737,236500,2603500,Geometridae,Ecliptopera delecta,成蟲,2017,344803,3826_8048
3826_293308,307500,2786500,Geometridae,Ecliptopera delecta,成蟲,2018,344803,3826_11762
3826_255812,311500,2711500,Geometridae,Ecliptopera delecta,成蟲,2010,344803,3826_10263
3826_293303,302500,2786500,Geometridae,Ecliptopera delecta,成蟲,2018,344803,3826_11761
3826_255262,261500,2710500,Geometridae,Ecliptopera delecta,成蟲,2018,344803,3826_10253
3826_262249,248500,2724500,Geometridae,Ecliptopera delecta,成蟲,2018,344803,3826_10450
3826_196718,217500,2593500,Geometridae,Ecliptopera delecta,成蟲,2018,344803,3826_7844
3826_280319,318500,2760500,Geometridae,Ecliptopera delecta,成蟲,2018,344803,3826_11264
3826_283778,277500,2767500,Geometridae,Ecliptopera delecta,成蟲,2018,344803,3826_11356
3826_290310,309500,2780500,Geometridae,Ecliptopera delecta,成蟲,2018,344803,3826_11662
3826_257802,301500,2715500,Geometridae,Ecliptopera delecta,成蟲,2018,344803,3826_10361
3826_276297,296500,2752500,Geometridae,Ecliptopera delecta,成蟲,2018,344803,3826_11060
3826_154218,217500,2508500,Geometridae,Ecliptopera delecta,成蟲,2018,344803,3826_6144
3826_212729,228500,2625500,Geometridae,Ecliptopera delecta,成蟲,2019,344803,3826_8546
3826_273802,301500,2747500,Geometridae,Ecliptopera delecta,成蟲,2019,344803,3826_10961
3826_197218,217500,2594500,Geometridae,Ecliptopera delecta,成蟲,2018,344803,3826_7844
3826_264778,277500,2729500,Geometridae,Ecliptopera delecta,成蟲,2019,344803,3826_10556
3826_293301,300500,2786500,Geometridae,Ecliptopera delecta,成蟲,2019,344803,3826_11761
3826_266265,264500,2732500,Geometridae,Ecliptopera delecta,成蟲,2019,344803,3826_10653
3826_274307,306500,2748500,Geometridae,Ecliptopera delecta,成蟲,2019,344803,3826_10962
3826_293303,302500,2786500,Geometridae,Ecliptopera delecta,成蟲,2019,344803,3826_11761
3826_263798,297500,2727500,Geometridae,Ecliptopera delecta,成蟲,2019,344803,3826_10560
3826_175224,223500,2550500,Geometridae,Ecliptopera delecta,成蟲,2015,344803,3826_7045
3826_255743,242500,2711500,Geometridae,Ecliptopera delecta,成蟲,2019,344803,3826_10249
3826_257745,244500,2715500,Geometridae,Ecliptopera delecta,成蟲,2019,344803,3826_10349
3826_200219,218500,2600500,Geometridae,Ecliptopera delecta,成蟲,2019,344803,3826_8044
3826_209229,228500,2618500,Geometridae,Ecliptopera delecta,成蟲,2019,344803,3826_8346
3826_209230,229500,2618500,Geometridae,Ecliptopera delecta,成蟲,2020,344803,3826_8346
3826_273796,295500,2747500,Geometridae,Ecliptopera delecta,成蟲,2020,344803,3826_10960
