GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_188793,292500,2577500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2011,344807,3826_7559
3826_272277,276500,2744500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2012,344807,3826_10856
3826_204726,225500,2609500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2012,344807,3826_8146
3826_187200,199500,2574500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2012,344807,3826_7440
3826_212229,228500,2624500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2012,344807,3826_8446
3826_273788,287500,2747500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2012,344807,3826_10958
3826_150219,218500,2500500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2013,344807,3826_6044
3826_272776,275500,2745500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2012,344807,3826_10956
3826_289307,306500,2778500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2013,344807,3826_11562
3826_287311,310500,2774500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2013,344807,3826_11463
3826_288804,303500,2777500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2013,344807,3826_11561
3826_288310,309500,2776500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2014,344807,3826_11562
3826_281309,308500,2762500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2014,344807,3826_11262
3826_280809,308500,2761500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2014,344807,3826_11262
3826_170217,216500,2540500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2015,344807,3826_6844
3826_287813,312500,2775500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2014,344807,3826_11563
3826_293308,307500,2786500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2015,344807,3826_11762
3826_187200,199500,2574500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2015,344807,3826_7440
3826_272277,276500,2744500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2013,344807,3826_10856
3826_283318,317500,2766500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2016,344807,3826_11364
3826_280316,315500,2760500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2012,344807,3826_11264
3826_281810,309500,2763500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2015,344807,3826_11262
3826_281309,308500,2762500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2016,344807,3826_11262
3826_281810,309500,2763500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2016,344807,3826_11262
3826_282292,291500,2764500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2016,344807,3826_11259
3826_285313,312500,2770500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2016,344807,3826_11463
3826_195702,201500,2591500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2016,344807,3826_7841
3826_281810,309500,2763500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2017,344807,3826_11262
3826_281309,308500,2762500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2017,344807,3826_11262
3826_225801,300500,2651500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2017,344807,3826_9061
3826_293303,302500,2786500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2017,344807,3826_11761
3826_204788,287500,2609500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2017,344807,3826_8158
3826_226306,305500,2652500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2017,344807,3826_9062
3826_281812,311500,2763500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2017,344807,3826_11263
3826_227760,259500,2655500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2017,344807,3826_9152
3826_270273,272500,2740500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2017,344807,3826_10855
3826_271279,278500,2742500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2017,344807,3826_10856
3826_269273,272500,2738500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2018,344807,3826_10755
3826_154218,217500,2508500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2018,344807,3826_6144
3826_281810,309500,2763500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2018,344807,3826_11262
3826_263260,259500,2726500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2018,344807,3826_10552
3826_269274,273500,2738500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2018,344807,3826_10755
3826_237302,301500,2674500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2018,344807,3826_9461
3826_269271,270500,2738500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2018,344807,3826_10755
3826_263260,259500,2726500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2019,344807,3826_10552
3826_293308,307500,2786500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2019,344807,3826_11762
3826_281810,309500,2763500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2019,344807,3826_11262
3826_161256,255500,2522500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2019,344807,3826_6452
3826_226306,305500,2652500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2019,344807,3826_9062
3826_282307,306500,2764500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2019,344807,3826_11262
3826_255743,242500,2711500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2018,344807,3826_10249
3826_188700,199500,2577500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2019,344807,3826_7540
3826_278305,304500,2756500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2019,344807,3826_11161
3826_255743,242500,2711500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2019,344807,3826_10249
3826_279305,304500,2758500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2019,344807,3826_11161
3826_272276,275500,2744500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2019,344807,3826_10856
3826_187199,198500,2574500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2019,344807,3826_7440
3826_197218,217500,2594500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2019,344807,3826_7844
3826_130734,233500,2461500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2019,344807,3826_5247
3826_253248,247500,2706500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2019,344807,3826_10150
3826_274806,305500,2749500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2019,344807,3826_10962
3826_272776,275500,2745500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2019,344807,3826_10956
3826_185701,200500,2571500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2019,344807,3826_7441
3826_286321,320500,2772500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2020,344807,3826_11465
3826_281810,309500,2763500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2020,344807,3826_11262
3826_286336,335500,2772500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2020,344807,3826_11468
3826_281309,308500,2762500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2020,344807,3826_11262
3826_287312,311500,2774500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2020,344807,3826_11463
3826_284309,308500,2768500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2020,344807,3826_11362
3826_282806,305500,2765500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2020,344807,3826_11362
3826_272276,275500,2744500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2020,344807,3826_10856
3826_283312,311500,2766500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2020,344807,3826_11363
3826_269273,272500,2738500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2020,344807,3826_10755
3826_273788,287500,2747500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2020,344807,3826_10958
3826_274305,304500,2748500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2020,344807,3826_10961
3826_281810,309500,2763500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2021,344807,3826_11262
3826_284809,308500,2769500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2021,344807,3826_11362
3826_281309,308500,2762500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2021,344807,3826_11262
3826_219211,210500,2638500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2020,344807,3826_8743
3826_150245,244500,2500500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2021,344807,3826_6049
3826_269273,272500,2738500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2021,344807,3826_10755
3826_280814,313500,2761500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2021,344807,3826_11263
3826_159220,219500,2518500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2021,344807,3826_6344
3826_259249,248500,2718500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2021,344807,3826_10350
3826_263260,259500,2726500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2021,344807,3826_10552
3826_266265,264500,2732500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2021,344807,3826_10653
3826_278306,305500,2756500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2021,344807,3826_11162
3826_272276,275500,2744500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2021,344807,3826_10856
3826_290309,308500,2780500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2022,344807,3826_11662
3826_147746,245500,2495500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2022,344807,3826_5950
3826_219741,240500,2639500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2022,344807,3826_8749
3826_281810,309500,2763500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2022,344807,3826_11262
3826_259249,248500,2718500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2022,344807,3826_10350
3826_269273,272500,2738500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2022,344807,3826_10755
3826_147746,245500,2495500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2021,344807,3826_5950
3826_153718,217500,2507500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2022,344807,3826_6144
3826_287810,309500,2775500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2022,344807,3826_11562
3826_266271,270500,2732500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2022,344807,3826_10655
3826_282806,305500,2765500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2022,344807,3826_11362
3826_282307,306500,2764500,Geometridae,Ecliptopera rectilinea kanshinensis,成蟲,2022,344807,3826_11262
