GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_269312,311500,2738500,Erebidae,Eilema pulverea,成蟲,2011,343845,3826_10763
3826_293805,304500,2787500,Erebidae,Eilema pulverea,成蟲,2013,343845,3826_11761
3826_294303,302500,2788500,Erebidae,Eilema pulverea,幼蟲,2013,343845,3826_11761
3826_263798,297500,2727500,Erebidae,Eilema pulverea,成蟲,2013,343845,3826_10560
3826_254805,304500,2709500,Erebidae,Eilema pulverea,成蟲,2013,343845,3826_10161
3826_273304,303500,2746500,Erebidae,Eilema pulverea,成蟲,2013,343845,3826_10961
3826_239253,252500,2678500,Erebidae,Eilema pulverea,成蟲,2014,343845,3826_9551
3826_263798,297500,2727500,Erebidae,Eilema pulverea,成蟲,2014,343845,3826_10560
3826_212229,228500,2624500,Erebidae,Eilema pulverea,成蟲,2013,343845,3826_8446
3826_241751,250500,2683500,Erebidae,Eilema pulverea,成蟲,2014,343845,3826_9651
3826_185749,248500,2571500,Erebidae,Eilema pulverea,成蟲,2014,343845,3826_7450
3826_255305,304500,2710500,Erebidae,Eilema pulverea,成蟲,2015,343845,3826_10261
3826_273796,295500,2747500,Erebidae,Eilema pulverea,成蟲,2015,343845,3826_10960
3826_232754,253500,2665500,Erebidae,Eilema pulverea,成蟲,2014,343845,3826_9351
3826_264279,278500,2728500,Erebidae,Eilema pulverea,成蟲,2014,343845,3826_10556
3826_255762,261500,2711500,Erebidae,Eilema pulverea,成蟲,2014,343845,3826_10253
3826_265781,280500,2731500,Erebidae,Eilema pulverea,成蟲,2010,343845,3826_10657
3826_261315,314500,2722500,Erebidae,Eilema pulverea,成蟲,2013,343845,3826_10463
3826_261315,314500,2722500,Erebidae,Eilema pulverea,成蟲,2014,343845,3826_10463
3826_131232,231500,2462500,Erebidae,Eilema pulverea,成蟲,2015,343845,3826_5247
3826_267278,277500,2734500,Erebidae,Eilema pulverea,成蟲,2014,343845,3826_10656
3826_290310,309500,2780500,Erebidae,Eilema pulverea,成蟲,2015,343845,3826_11662
3826_207230,229500,2614500,Erebidae,Eilema pulverea,成蟲,2015,343845,3826_8246
3826_234267,266500,2668500,Erebidae,Eilema pulverea,成蟲,2010,343845,3826_9354
3826_263794,293500,2727500,Erebidae,Eilema pulverea,成蟲,2012,343845,3826_10559
3826_199225,224500,2598500,Erebidae,Eilema pulverea,成蟲,2012,343845,3826_7945
3826_266771,270500,2733500,Erebidae,Eilema pulverea,成蟲,2013,343845,3826_10655
3826_224769,268500,2649500,Erebidae,Eilema pulverea,成蟲,2016,343845,3826_8954
3826_259800,299500,2719500,Erebidae,Eilema pulverea,成蟲,2012,343845,3826_10360
3826_158223,222500,2516500,Erebidae,Eilema pulverea,成蟲,2016,343845,3826_6345
3826_263798,297500,2727500,Erebidae,Eilema pulverea,成蟲,2016,343845,3826_10560
3826_175724,223500,2551500,Erebidae,Eilema pulverea,成蟲,2016,343845,3826_7045
3826_239300,299500,2678500,Erebidae,Eilema pulverea,成蟲,2016,343845,3826_9560
3826_199222,221500,2598500,Erebidae,Eilema pulverea,成蟲,2016,343845,3826_7945
3826_254805,304500,2709500,Erebidae,Eilema pulverea,成蟲,2016,343845,3826_10161
3826_237301,300500,2674500,Erebidae,Eilema pulverea,成蟲,2013,343845,3826_9461
3826_207230,229500,2614500,Erebidae,Eilema pulverea,成蟲,2016,343845,3826_8246
3826_242745,244500,2685500,Erebidae,Eilema pulverea,成蟲,2013,343845,3826_9749
3826_241248,247500,2682500,Erebidae,Eilema pulverea,成蟲,2016,343845,3826_9650
3826_264279,278500,2728500,Erebidae,Eilema pulverea,成蟲,2016,343845,3826_10556
3826_200230,229500,2600500,Erebidae,Eilema pulverea,成蟲,2016,343845,3826_8046
3826_238290,289500,2676500,Erebidae,Eilema pulverea,成蟲,2016,343845,3826_9558
3826_249782,281500,2699500,Erebidae,Eilema pulverea,成蟲,2017,343845,3826_9957
3826_293303,302500,2786500,Erebidae,Eilema pulverea,成蟲,2016,343845,3826_11761
3826_254805,304500,2709500,Erebidae,Eilema pulverea,成蟲,2014,343845,3826_10161
3826_207230,229500,2614500,Erebidae,Eilema pulverea,成蟲,2017,343845,3826_8246
3826_227759,258500,2655500,Erebidae,Eilema pulverea,成蟲,2017,343845,3826_9152
