GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_166722,221500,2533500,Geometridae,Eilicrinia flava,成蟲,2012,344813,3826_6645
3826_188716,215500,2577500,Geometridae,Eilicrinia flava,成蟲,2013,344813,3826_7544
3826_150219,218500,2500500,Geometridae,Eilicrinia flava,成蟲,2013,344813,3826_6044
3826_275267,266500,2750500,Geometridae,Eilicrinia flava,成蟲,2013,344813,3826_11054
3826_252226,225500,2704500,Geometridae,Eilicrinia flava,成蟲,2013,344813,3826_10046
3826_220810,309500,2641500,Geometridae,Eilicrinia flava,成蟲,2014,344813,3826_8862
3826_220810,309500,2641500,Geometridae,Eilicrinia flava,成蟲,2015,344813,3826_8862
3826_217730,229500,2635500,Geometridae,Eilicrinia flava,成蟲,2015,344813,3826_8746
3826_264283,282500,2728500,Geometridae,Eilicrinia flava,成蟲,2015,344813,3826_10557
3826_215255,254500,2630500,Geometridae,Eilicrinia flava,成蟲,2014,344813,3826_8651
3826_215752,251500,2631500,Geometridae,Eilicrinia flava,成蟲,2014,344813,3826_8651
3826_289309,308500,2778500,Geometridae,Eilicrinia flava,成蟲,2014,344813,3826_11562
3826_174221,220500,2548500,Geometridae,Eilicrinia flava,成蟲,2015,344813,3826_6945
3826_241726,225500,2683500,Geometridae,Eilicrinia flava,成蟲,2016,344813,3826_9646
3826_264283,282500,2728500,Geometridae,Eilicrinia flava,成蟲,2016,344813,3826_10557
3826_266264,263500,2732500,Geometridae,Eilicrinia flava,成蟲,2016,344813,3826_10653
3826_190782,281500,2581500,Geometridae,Eilicrinia flava,成蟲,2017,344813,3826_7657
3826_238229,228500,2676500,Geometridae,Eilicrinia flava,成蟲,2016,344813,3826_9546
3826_197723,222500,2595500,Geometridae,Eilicrinia flava,成蟲,2017,344813,3826_7945
3826_190782,281500,2581500,Geometridae,Eilicrinia flava,成蟲,2016,344813,3826_7657
3826_262249,248500,2724500,Geometridae,Eilicrinia flava,成蟲,2017,344813,3826_10450
3826_262249,248500,2724500,Geometridae,Eilicrinia flava,成蟲,2018,344813,3826_10450
3826_154218,217500,2508500,Geometridae,Eilicrinia flava,成蟲,2017,344813,3826_6144
3826_237228,227500,2674500,Geometridae,Eilicrinia flava,成蟲,2018,344813,3826_9446
3826_297302,301500,2794500,Geometridae,Eilicrinia flava,成蟲,2010,344813,3826_11861
3826_257253,252500,2714500,Geometridae,Eilicrinia flava,成蟲,2018,344813,3826_10251
3826_157226,225500,2514500,Geometridae,Eilicrinia flava,成蟲,2018,344813,3826_6246
3826_197218,217500,2594500,Geometridae,Eilicrinia flava,成蟲,2018,344813,3826_7844
3826_154218,217500,2508500,Geometridae,Eilicrinia flava,成蟲,2013,344813,3826_6144
3826_256737,236500,2713500,Geometridae,Eilicrinia flava,成蟲,2019,344813,3826_10248
3826_220810,309500,2641500,Geometridae,Eilicrinia flava,成蟲,2019,344813,3826_8862
3826_255743,242500,2711500,Geometridae,Eilicrinia flava,成蟲,2019,344813,3826_10249
3826_269757,256500,2739500,Geometridae,Eilicrinia flava,成蟲,2019,344813,3826_10752
3826_225250,249500,2650500,Geometridae,Eilicrinia flava,成蟲,2019,344813,3826_9050
3826_257242,241500,2714500,Geometridae,Eilicrinia flava,成蟲,2019,344813,3826_10249
3826_270749,248500,2741500,Geometridae,Eilicrinia flava,成蟲,2019,344813,3826_10850
3826_257745,244500,2715500,Geometridae,Eilicrinia flava,成蟲,2019,344813,3826_10349
3826_291313,312500,2782500,Geometridae,Eilicrinia flava,成蟲,2019,344813,3826_11663
3826_271250,249500,2742500,Geometridae,Eilicrinia flava,成蟲,2019,344813,3826_10850
3826_197218,217500,2594500,Geometridae,Eilicrinia flava,成蟲,2019,344813,3826_7844
3826_170218,217500,2540500,Geometridae,Eilicrinia flava,成蟲,2014,344813,3826_6844
3826_271250,249500,2742500,Geometridae,Eilicrinia flava,成蟲,2020,344813,3826_10850
3826_269757,256500,2739500,Geometridae,Eilicrinia flava,成蟲,2020,344813,3826_10752
3826_266293,292500,2732500,Geometridae,Eilicrinia flava,成蟲,2020,344813,3826_10659
3826_269257,256500,2738500,Geometridae,Eilicrinia flava,成蟲,2020,344813,3826_10752
3826_174221,220500,2548500,Geometridae,Eilicrinia flava,成蟲,2014,344813,3826_6945
3826_269257,256500,2738500,Geometridae,Eilicrinia flava,成蟲,2021,344813,3826_10752
3826_222311,310500,2644500,Geometridae,Eilicrinia flava,成蟲,2021,344813,3826_8863
3826_251724,223500,2703500,Geometridae,Eilicrinia flava,成蟲,2021,344813,3826_10045
3826_270749,248500,2741500,Geometridae,Eilicrinia flava,成蟲,2021,344813,3826_10850
3826_274280,279500,2748500,Geometridae,Eilicrinia flava,成蟲,2021,344813,3826_10956
3826_237228,227500,2674500,Geometridae,Eilicrinia flava,成蟲,2022,344813,3826_9446
3826_269273,272500,2738500,Geometridae,Eilicrinia flava,成蟲,2022,344813,3826_10755
3826_246238,237500,2692500,Geometridae,Eilicrinia flava,成蟲,2022,344813,3826_9848
