GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_140224,223500,2480500,Noctuidae,Elusa ustula,成蟲,2011,346246,3826_5645
3826_187200,199500,2574500,Noctuidae,Elusa ustula,成蟲,2011,346246,3826_7440
3826_187200,199500,2574500,Noctuidae,Elusa ustula,成蟲,2012,346246,3826_7440
3826_204726,225500,2609500,Noctuidae,Elusa ustula,成蟲,2012,346246,3826_8146
3826_198726,225500,2597500,Noctuidae,Elusa ustula,成蟲,2012,346246,3826_7946
3826_273788,287500,2747500,Noctuidae,Elusa ustula,成蟲,2012,346246,3826_10958
3826_277807,306500,2755500,Noctuidae,Elusa ustula,成蟲,2012,346246,3826_11162
3826_271769,268500,2743500,Noctuidae,Elusa ustula,成蟲,2013,346246,3826_10854
3826_273788,287500,2747500,Noctuidae,Elusa ustula,成蟲,2013,346246,3826_10958
3826_188716,215500,2577500,Noctuidae,Elusa ustula,成蟲,2013,346246,3826_7544
3826_263798,297500,2727500,Noctuidae,Elusa ustula,成蟲,2013,346246,3826_10560
3826_273826,325500,2747500,Noctuidae,Elusa ustula,成蟲,2013,346246,3826_10966
3826_272776,275500,2745500,Noctuidae,Elusa ustula,成蟲,2013,346246,3826_10956
3826_269811,310500,2739500,Noctuidae,Elusa ustula,成蟲,2013,346246,3826_10763
3826_170217,216500,2540500,Noctuidae,Elusa ustula,成蟲,2014,346246,3826_6844
3826_139724,223500,2479500,Noctuidae,Elusa ustula,成蟲,2014,346246,3826_5545
3826_263798,297500,2727500,Noctuidae,Elusa ustula,成蟲,2014,346246,3826_10560
3826_265289,288500,2730500,Noctuidae,Elusa ustula,成蟲,2014,346246,3826_10658
3826_279796,295500,2759500,Noctuidae,Elusa ustula,成蟲,2014,346246,3826_11160
3826_264279,278500,2728500,Noctuidae,Elusa ustula,成蟲,2014,346246,3826_10556
3826_212229,228500,2624500,Noctuidae,Elusa ustula,成蟲,2014,346246,3826_8446
3826_276808,307500,2753500,Noctuidae,Elusa ustula,成蟲,2014,346246,3826_11062
3826_262327,326500,2724500,Noctuidae,Elusa ustula,成蟲,2015,346246,3826_10466
3826_221310,309500,2642500,Noctuidae,Elusa ustula,成蟲,2015,346246,3826_8862
3826_215255,254500,2630500,Noctuidae,Elusa ustula,成蟲,2014,346246,3826_8651
3826_232753,252500,2665500,Noctuidae,Elusa ustula,成蟲,2014,346246,3826_9351
3826_287813,312500,2775500,Noctuidae,Elusa ustula,成蟲,2014,346246,3826_11563
3826_293308,307500,2786500,Noctuidae,Elusa ustula,成蟲,2015,346246,3826_11762
3826_288310,309500,2776500,Noctuidae,Elusa ustula,成蟲,2015,346246,3826_11562
3826_218230,229500,2636500,Noctuidae,Elusa ustula,成蟲,2012,346246,3826_8746
3826_293308,307500,2786500,Noctuidae,Elusa ustula,成蟲,2016,346246,3826_11762
