GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_187200,199500,2574500,Pyralidae,Endotricha mesenterialis,成蟲,2011,431343,3826_7440
3826_236217,216500,2672500,Pyralidae,Endotricha mesenterialis,成蟲,2012,431343,3826_9444
3826_292303,302500,2784500,Pyralidae,Endotricha mesenterialis,成蟲,2013,431343,3826_11661
3826_284810,309500,2769500,Pyralidae,Endotricha mesenterialis,成蟲,2014,431343,3826_11362
3826_152685,184500,2505500,Pyralidae,Endotricha mesenterialis,成蟲,2014,431343,3826_6137
3826_147688,187500,2495500,Pyralidae,Endotricha mesenterialis,成蟲,2014,431343,3826_5938
3826_281844,343500,2763500,Pyralidae,Endotricha mesenterialis,成蟲,2015,431343,3826_11269
3826_218230,229500,2636500,Pyralidae,Endotricha mesenterialis,成蟲,2011,431343,3826_8746
3826_150687,186500,2501500,Pyralidae,Endotricha mesenterialis,成蟲,2011,431343,3826_6038
3826_276297,296500,2752500,Pyralidae,Endotricha mesenterialis,成蟲,2016,431343,3826_11060
3826_281810,309500,2763500,Pyralidae,Endotricha mesenterialis,成蟲,2017,431343,3826_11262
3826_237230,229500,2674500,Pyralidae,Endotricha mesenterialis,成蟲,2018,431343,3826_9446
3826_227759,258500,2655500,Pyralidae,Endotricha mesenterialis,成蟲,2018,431343,3826_9152
3826_232204,203500,2664500,Pyralidae,Endotricha mesenterialis,成蟲,2017,431343,3826_9241
3826_237228,227500,2674500,Pyralidae,Endotricha mesenterialis,成蟲,2018,431343,3826_9446
3826_221805,304500,2643500,Pyralidae,Endotricha mesenterialis,成蟲,2018,431343,3826_8861
3826_281309,308500,2762500,Pyralidae,Endotricha mesenterialis,成蟲,2018,431343,3826_11262
3826_200230,229500,2600500,Pyralidae,Endotricha mesenterialis,成蟲,2018,431343,3826_8046
3826_154218,217500,2508500,Pyralidae,Endotricha mesenterialis,成蟲,2018,431343,3826_6144
3826_255762,261500,2711500,Pyralidae,Endotricha mesenterialis,成蟲,2018,431343,3826_10253
3826_197218,217500,2594500,Pyralidae,Endotricha mesenterialis,成蟲,2018,431343,3826_7844
3826_246782,281500,2693500,Pyralidae,Endotricha mesenterialis,成蟲,2018,431343,3826_9857
3826_154690,189500,2509500,Pyralidae,Endotricha mesenterialis,成蟲,2018,431343,3826_6138
3826_238732,231500,2677500,Pyralidae,Endotricha mesenterialis,成蟲,2019,431343,3826_9547
3826_266265,264500,2732500,Pyralidae,Endotricha mesenterialis,成蟲,2018,431343,3826_10653
3826_237230,229500,2674500,Pyralidae,Endotricha mesenterialis,成蟲,2019,431343,3826_9446
3826_254738,237500,2709500,Pyralidae,Endotricha mesenterialis,成蟲,2019,431343,3826_10148
3826_255743,242500,2711500,Pyralidae,Endotricha mesenterialis,成蟲,2018,431343,3826_10249
3826_257745,244500,2715500,Pyralidae,Endotricha mesenterialis,成蟲,2019,431343,3826_10349
3826_187200,199500,2574500,Pyralidae,Endotricha mesenterialis,成蟲,2012,431343,3826_7440
3826_266265,264500,2732500,Pyralidae,Endotricha mesenterialis,成蟲,2020,431343,3826_10653
3826_282806,305500,2765500,Pyralidae,Endotricha mesenterialis,成蟲,2020,431343,3826_11362
3826_266293,292500,2732500,Pyralidae,Endotricha mesenterialis,成蟲,2020,431343,3826_10659
3826_150218,217500,2500500,Pyralidae,Endotricha mesenterialis,成蟲,2020,431343,3826_6044
3826_273788,287500,2747500,Pyralidae,Endotricha mesenterialis,成蟲,2020,431343,3826_10958
3826_271250,249500,2742500,Pyralidae,Endotricha mesenterialis,成蟲,2021,431343,3826_10850
3826_131735,234500,2463500,Pyralidae,Endotricha mesenterialis,成蟲,2021,431343,3826_5247
3826_147688,187500,2495500,Pyralidae,Endotricha mesenterialis,成蟲,2021,431343,3826_5938
3826_151675,174500,2503500,Pyralidae,Endotricha mesenterialis,成蟲,2021,431343,3826_6035
3826_289798,297500,2779500,Pyralidae,Endotricha mesenterialis,成蟲,2021,431343,3826_11560
3826_282806,305500,2765500,Pyralidae,Endotricha mesenterialis,成蟲,2021,431343,3826_11362
3826_276802,301500,2753500,Pyralidae,Endotricha mesenterialis,成蟲,2015,431343,3826_11061
3826_281810,309500,2763500,Pyralidae,Endotricha mesenterialis,成蟲,2020,431343,3826_11262
3826_139225,224500,2478500,Pyralidae,Endotricha mesenterialis,成蟲,2020,431343,3826_5545
3826_281810,309500,2763500,Pyralidae,Endotricha mesenterialis,成蟲,2021,431343,3826_11262
3826_147746,245500,2495500,Pyralidae,Endotricha mesenterialis,成蟲,2021,431343,3826_5950
3826_240223,222500,2680500,Pyralidae,Endotricha mesenterialis,成蟲,2022,431343,3826_9645
3826_210713,212500,2621500,Pyralidae,Endotricha mesenterialis,成蟲,2022,431343,3826_8443
