GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_238752,251500,2677500,Pyralidae,Endotricha olivacealis,成蟲,2011,347448,3826_9551
3826_291804,303500,2783500,Pyralidae,Endotricha olivacealis,成蟲,2011,347448,3826_11661
3826_269312,311500,2738500,Pyralidae,Endotricha olivacealis,成蟲,2011,347448,3826_10763
3826_263798,297500,2727500,Pyralidae,Endotricha olivacealis,成蟲,2011,347448,3826_10560
3826_275267,266500,2750500,Pyralidae,Endotricha olivacealis,成蟲,2012,347448,3826_11054
3826_218230,229500,2636500,Pyralidae,Endotricha olivacealis,成蟲,2012,347448,3826_8746
3826_286791,290500,2773500,Pyralidae,Endotricha olivacealis,成蟲,2012,347448,3826_11459
3826_291801,300500,2783500,Pyralidae,Endotricha olivacealis,成蟲,2012,347448,3826_11661
3826_290805,304500,2781500,Pyralidae,Endotricha olivacealis,成蟲,2012,347448,3826_11661
3826_228264,263500,2656500,Pyralidae,Endotricha olivacealis,成蟲,2013,347448,3826_9153
3826_199222,221500,2598500,Pyralidae,Endotricha olivacealis,成蟲,2014,347448,3826_7945
3826_295316,315500,2790500,Pyralidae,Endotricha olivacealis,成蟲,2013,347448,3826_11864
3826_229767,266500,2659500,Pyralidae,Endotricha olivacealis,成蟲,2014,347448,3826_9154
3826_281310,309500,2762500,Pyralidae,Endotricha olivacealis,成蟲,2014,347448,3826_11262
3826_286306,305500,2772500,Pyralidae,Endotricha olivacealis,成蟲,2014,347448,3826_11462
3826_257247,246500,2714500,Pyralidae,Endotricha olivacealis,成蟲,2014,347448,3826_10250
3826_174221,220500,2548500,Pyralidae,Endotricha olivacealis,成蟲,2015,347448,3826_6945
3826_281844,343500,2763500,Pyralidae,Endotricha olivacealis,成蟲,2015,347448,3826_11269
3826_279306,305500,2758500,Pyralidae,Endotricha olivacealis,成蟲,2015,347448,3826_11162
3826_211732,231500,2623500,Pyralidae,Endotricha olivacealis,成蟲,2015,347448,3826_8447
3826_281301,300500,2762500,Pyralidae,Endotricha olivacealis,成蟲,2015,347448,3826_11261
3826_285310,309500,2770500,Pyralidae,Endotricha olivacealis,成蟲,2016,347448,3826_11462
3826_287810,309500,2775500,Pyralidae,Endotricha olivacealis,成蟲,2016,347448,3826_11562
3826_252226,225500,2704500,Pyralidae,Endotricha olivacealis,成蟲,2013,347448,3826_10046
3826_288804,303500,2777500,Pyralidae,Endotricha olivacealis,成蟲,2016,347448,3826_11561
3826_286306,305500,2772500,Pyralidae,Endotricha olivacealis,成蟲,2016,347448,3826_11462
3826_268762,261500,2737500,Pyralidae,Endotricha olivacealis,成蟲,2016,347448,3826_10753
3826_286780,279500,2773500,Pyralidae,Endotricha olivacealis,成蟲,2016,347448,3826_11456
3826_256762,261500,2713500,Pyralidae,Endotricha olivacealis,成蟲,2016,347448,3826_10253
3826_240741,240500,2681500,Pyralidae,Endotricha olivacealis,成蟲,2016,347448,3826_9649
3826_281309,308500,2762500,Pyralidae,Endotricha olivacealis,成蟲,2014,347448,3826_11262
3826_175725,224500,2551500,Pyralidae,Endotricha olivacealis,成蟲,2014,347448,3826_7045
3826_293303,302500,2786500,Pyralidae,Endotricha olivacealis,成蟲,2016,347448,3826_11761
3826_293807,306500,2787500,Pyralidae,Endotricha olivacealis,成蟲,2015,347448,3826_11762
3826_224749,248500,2649500,Pyralidae,Endotricha olivacealis,成蟲,2017,347448,3826_8950
3826_281309,308500,2762500,Pyralidae,Endotricha olivacealis,成蟲,2016,347448,3826_11262
3826_269761,260500,2739500,Pyralidae,Endotricha olivacealis,成蟲,2017,347448,3826_10753
3826_266265,264500,2732500,Pyralidae,Endotricha olivacealis,成蟲,2017,347448,3826_10653
3826_293303,302500,2786500,Pyralidae,Endotricha olivacealis,成蟲,2017,347448,3826_11761
3826_276802,301500,2753500,Pyralidae,Endotricha olivacealis,成蟲,2017,347448,3826_11061
3826_285313,312500,2770500,Pyralidae,Endotricha olivacealis,成蟲,2017,347448,3826_11463
3826_288804,303500,2777500,Pyralidae,Endotricha olivacealis,成蟲,2017,347448,3826_11561
3826_283284,283500,2766500,Pyralidae,Endotricha olivacealis,成蟲,2017,347448,3826_11357
3826_198719,218500,2597500,Pyralidae,Endotricha olivacealis,成蟲,2015,347448,3826_7944
3826_289805,304500,2779500,Pyralidae,Endotricha olivacealis,成蟲,2013,347448,3826_11561
3826_286321,320500,2772500,Pyralidae,Endotricha olivacealis,成蟲,2017,347448,3826_11465
3826_291303,302500,2782500,Pyralidae,Endotricha olivacealis,成蟲,2015,347448,3826_11661
3826_271249,248500,2742500,Pyralidae,Endotricha olivacealis,成蟲,2018,347448,3826_10850
3826_154218,217500,2508500,Pyralidae,Endotricha olivacealis,成蟲,2018,347448,3826_6144
3826_257741,240500,2715500,Pyralidae,Endotricha olivacealis,成蟲,2018,347448,3826_10349
3826_259784,283500,2719500,Pyralidae,Endotricha olivacealis,成蟲,2018,347448,3826_10357
3826_284326,325500,2768500,Pyralidae,Endotricha olivacealis,成蟲,2018,347448,3826_11366
3826_281309,308500,2762500,Pyralidae,Endotricha olivacealis,成蟲,2018,347448,3826_11262
3826_227760,259500,2655500,Pyralidae,Endotricha olivacealis,成蟲,2018,347448,3826_9152
3826_238737,236500,2677500,Pyralidae,Endotricha olivacealis,成蟲,2018,347448,3826_9548
3826_291805,304500,2783500,Pyralidae,Endotricha olivacealis,成蟲,2018,347448,3826_11661
3826_266265,264500,2732500,Pyralidae,Endotricha olivacealis,成蟲,2018,347448,3826_10653
3826_269255,254500,2738500,Pyralidae,Endotricha olivacealis,成蟲,2018,347448,3826_10751
3826_269271,270500,2738500,Pyralidae,Endotricha olivacealis,成蟲,2018,347448,3826_10755
3826_224769,268500,2649500,Pyralidae,Endotricha olivacealis,成蟲,2018,347448,3826_8954
3826_268762,261500,2737500,Pyralidae,Endotricha olivacealis,成蟲,2018,347448,3826_10753
3826_272276,275500,2744500,Pyralidae,Endotricha olivacealis,成蟲,2018,347448,3826_10856
3826_282784,283500,2765500,Pyralidae,Endotricha olivacealis,成蟲,2018,347448,3826_11357
3826_255812,311500,2711500,Pyralidae,Endotricha olivacealis,成蟲,2010,347448,3826_10263
3826_257253,252500,2714500,Pyralidae,Endotricha olivacealis,成蟲,2018,347448,3826_10251
3826_276793,292500,2753500,Pyralidae,Endotricha olivacealis,成蟲,2018,347448,3826_11059
