GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_263798,297500,2727500,Erebidae,Ercheia cyllaria,成蟲,2011,346255,3826_10560
3826_283326,325500,2766500,Erebidae,Ercheia cyllaria,成蟲,2012,346255,3826_11366
3826_282806,305500,2765500,Erebidae,Ercheia cyllaria,成蟲,2011,346255,3826_11362
3826_152210,209500,2504500,Erebidae,Ercheia cyllaria,成蟲,2012,346255,3826_6042
3826_152675,174500,2505500,Erebidae,Ercheia cyllaria,成蟲,2012,346255,3826_6135
3826_161256,255500,2522500,Erebidae,Ercheia cyllaria,成蟲,2012,346255,3826_6452
3826_283807,306500,2767500,Erebidae,Ercheia cyllaria,成蟲,2012,346255,3826_11362
3826_116226,225500,2432500,Erebidae,Ercheia cyllaria,成蟲,2013,346255,3826_4646
3826_282806,305500,2765500,Erebidae,Ercheia cyllaria,成蟲,2013,346255,3826_11362
3826_188716,215500,2577500,Erebidae,Ercheia cyllaria,成蟲,2013,346255,3826_7544
3826_275267,266500,2750500,Erebidae,Ercheia cyllaria,成蟲,2013,346255,3826_11054
3826_283807,306500,2767500,Erebidae,Ercheia cyllaria,成蟲,2013,346255,3826_11362
3826_264779,278500,2729500,Erebidae,Ercheia cyllaria,成蟲,2013,346255,3826_10556
3826_283807,306500,2767500,Erebidae,Ercheia cyllaria,成蟲,2014,346255,3826_11362
3826_291329,328500,2782500,Erebidae,Ercheia cyllaria,成蟲,2013,346255,3826_11666
3826_203706,205500,2607500,Erebidae,Ercheia cyllaria,成蟲,2022,346255,3826_8142
3826_220810,309500,2641500,Erebidae,Ercheia cyllaria,成蟲,2014,346255,3826_8862
3826_227307,306500,2654500,Erebidae,Ercheia cyllaria,成蟲,2014,346255,3826_9062
3826_284310,309500,2768500,Erebidae,Ercheia cyllaria,成蟲,2013,346255,3826_11362
3826_274805,304500,2749500,Erebidae,Ercheia cyllaria,成蟲,2013,346255,3826_10961
3826_154218,217500,2508500,Erebidae,Ercheia cyllaria,成蟲,2013,346255,3826_6144
3826_282307,306500,2764500,Erebidae,Ercheia cyllaria,成蟲,2014,346255,3826_11262
3826_283807,306500,2767500,Erebidae,Ercheia cyllaria,成蟲,2015,346255,3826_11362
3826_282307,306500,2764500,Erebidae,Ercheia cyllaria,成蟲,2015,346255,3826_11262
3826_280787,286500,2761500,Erebidae,Ercheia cyllaria,成蟲,2015,346255,3826_11258
3826_237248,247500,2674500,Erebidae,Ercheia cyllaria,成蟲,2015,346255,3826_9450
3826_221310,309500,2642500,Erebidae,Ercheia cyllaria,成蟲,2015,346255,3826_8862
3826_291801,300500,2783500,Erebidae,Ercheia cyllaria,成蟲,2014,346255,3826_11661
3826_268819,318500,2737500,Erebidae,Ercheia cyllaria,成蟲,2014,346255,3826_10764
3826_285313,312500,2770500,Erebidae,Ercheia cyllaria,成蟲,2014,346255,3826_11463
3826_273788,287500,2747500,Erebidae,Ercheia cyllaria,成蟲,2013,346255,3826_10958
3826_273826,325500,2747500,Erebidae,Ercheia cyllaria,成蟲,2013,346255,3826_10966
3826_292797,296500,2785500,Erebidae,Ercheia cyllaria,成蟲,2015,346255,3826_11760
3826_285293,292500,2770500,Erebidae,Ercheia cyllaria,成蟲,2015,346255,3826_11459
3826_175725,224500,2551500,Erebidae,Ercheia cyllaria,成蟲,2014,346255,3826_7045
3826_264279,278500,2728500,Erebidae,Ercheia cyllaria,成蟲,2014,346255,3826_10556
3826_283808,307500,2767500,Erebidae,Ercheia cyllaria,成蟲,2015,346255,3826_11362
3826_287813,312500,2775500,Erebidae,Ercheia cyllaria,成蟲,2014,346255,3826_11563
3826_214717,216500,2629500,Erebidae,Ercheia cyllaria,成蟲,2015,346255,3826_8544
3826_236247,246500,2672500,Erebidae,Ercheia cyllaria,成蟲,2015,346255,3826_9450
3826_293308,307500,2786500,Erebidae,Ercheia cyllaria,成蟲,2015,346255,3826_11762
3826_290310,309500,2780500,Erebidae,Ercheia cyllaria,成蟲,2015,346255,3826_11662
3826_279803,302500,2759500,Erebidae,Ercheia cyllaria,成蟲,2015,346255,3826_11161
3826_155691,190500,2511500,Erebidae,Ercheia cyllaria,成蟲,2015,346255,3826_6239
3826_167264,263500,2534500,Erebidae,Ercheia cyllaria,成蟲,2016,346255,3826_6653
3826_199284,283500,2598500,Erebidae,Ercheia cyllaria,成蟲,2016,346255,3826_7957
