GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_217726,225500,2635500,Erebidae,Eressa confinis finitima,成蟲,2012,343864,3826_8746
3826_273792,291500,2747500,Erebidae,Eressa confinis finitima,成蟲,2010,343864,3826_10959
3826_224244,243500,2648500,Erebidae,Eressa confinis finitima,成蟲,2012,343864,3826_8949
3826_212229,228500,2624500,Erebidae,Eressa confinis finitima,成蟲,2012,343864,3826_8446
3826_188716,215500,2577500,Erebidae,Eressa confinis finitima,成蟲,2013,343864,3826_7544
3826_267778,277500,2735500,Erebidae,Eressa confinis finitima,成蟲,2013,343864,3826_10756
3826_269280,279500,2738500,Erebidae,Eressa confinis finitima,成蟲,2013,343864,3826_10756
3826_273788,287500,2747500,Erebidae,Eressa confinis finitima,成蟲,2013,343864,3826_10958
3826_275267,266500,2750500,Erebidae,Eressa confinis finitima,成蟲,2013,343864,3826_11054
3826_278303,302500,2756500,Erebidae,Eressa confinis finitima,成蟲,2013,343864,3826_11161
3826_268267,266500,2736500,Erebidae,Eressa confinis finitima,成蟲,2013,343864,3826_10754
3826_224743,242500,2649500,Erebidae,Eressa confinis finitima,成蟲,2014,343864,3826_8949
3826_280787,286500,2761500,Erebidae,Eressa confinis finitima,成蟲,2013,343864,3826_11258
3826_162692,191500,2525500,Erebidae,Eressa confinis finitima,成蟲,2014,343864,3826_6539
3826_243237,236500,2686500,Erebidae,Eressa confinis finitima,成蟲,2014,343864,3826_9748
3826_222739,238500,2645500,Erebidae,Eressa confinis finitima,成蟲,2013,343864,3826_8948
3826_186219,218500,2572500,Erebidae,Eressa confinis finitima,成蟲,2015,343864,3826_7444
3826_237248,247500,2674500,Erebidae,Eressa confinis finitima,成蟲,2015,343864,3826_9450
3826_258242,241500,2716500,Erebidae,Eressa confinis finitima,成蟲,2015,343864,3826_10349
3826_227741,240500,2655500,Erebidae,Eressa confinis finitima,成蟲,2014,343864,3826_9149
3826_272780,279500,2745500,Erebidae,Eressa confinis finitima,成蟲,2014,343864,3826_10956
3826_265790,289500,2731500,Erebidae,Eressa confinis finitima,成蟲,2013,343864,3826_10658
3826_228249,248500,2656500,Erebidae,Eressa confinis finitima,成蟲,2015,343864,3826_9150
3826_287813,312500,2775500,Erebidae,Eressa confinis finitima,成蟲,2012,343864,3826_11563
3826_237228,227500,2674500,Erebidae,Eressa confinis finitima,成蟲,2015,343864,3826_9446
3826_269762,261500,2739500,Erebidae,Eressa confinis finitima,成蟲,2015,343864,3826_10753
3826_272276,275500,2744500,Erebidae,Eressa confinis finitima,成蟲,2015,343864,3826_10856
3826_277807,306500,2755500,Erebidae,Eressa confinis finitima,成蟲,2015,343864,3826_11162
3826_186232,231500,2572500,Erebidae,Eressa confinis finitima,成蟲,2011,343864,3826_7447
3826_226225,224500,2652500,Erebidae,Eressa confinis finitima,成蟲,2013,343864,3826_9045
3826_281309,308500,2762500,Erebidae,Eressa confinis finitima,成蟲,2013,343864,3826_11262
3826_136715,214500,2473500,Erebidae,Eressa confinis finitima,成蟲,2015,343864,3826_5443
3826_166722,221500,2533500,Erebidae,Eressa confinis finitima,成蟲,2012,343864,3826_6645
3826_285313,312500,2770500,Erebidae,Eressa confinis finitima,成蟲,2016,343864,3826_11463
3826_155691,190500,2511500,Erebidae,Eressa confinis finitima,成蟲,2016,343864,3826_6239
3826_237228,227500,2674500,Erebidae,Eressa confinis finitima,成蟲,2014,343864,3826_9446
3826_217730,229500,2635500,Erebidae,Eressa confinis finitima,成蟲,2016,343864,3826_8746
3826_227250,249500,2654500,Erebidae,Eressa confinis finitima,成蟲,2016,343864,3826_9050
3826_230726,225500,2661500,Erebidae,Eressa confinis finitima,成蟲,2016,343864,3826_9246
3826_291801,300500,2783500,Erebidae,Eressa confinis finitima,成蟲,2013,343864,3826_11661
3826_268764,263500,2737500,Erebidae,Eressa confinis finitima,成蟲,2016,343864,3826_10753
3826_263260,259500,2726500,Erebidae,Eressa confinis finitima,成蟲,2016,343864,3826_10552
3826_266265,264500,2732500,Erebidae,Eressa confinis finitima,成蟲,2016,343864,3826_10653
3826_213711,210500,2627500,Erebidae,Eressa confinis finitima,成蟲,2016,343864,3826_8543
3826_280807,306500,2761500,Erebidae,Eressa confinis finitima,成蟲,2016,343864,3826_11262
3826_224749,248500,2649500,Erebidae,Eressa confinis finitima,成蟲,2016,343864,3826_8950
3826_263753,252500,2727500,Erebidae,Eressa confinis finitima,成蟲,2016,343864,3826_10551
3826_237228,227500,2674500,Erebidae,Eressa confinis finitima,成蟲,2017,343864,3826_9446
3826_248728,227500,2697500,Erebidae,Eressa confinis finitima,成蟲,2017,343864,3826_9946
3826_243237,236500,2686500,Erebidae,Eressa confinis finitima,成蟲,2017,343864,3826_9748
3826_224749,248500,2649500,Erebidae,Eressa confinis finitima,成蟲,2017,343864,3826_8950
