GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_212729,228500,2625500,Zygaenidae,Eterusia aedea formosana,幼蟲,2011,348112,3826_8546
3826_237303,302500,2674500,Zygaenidae,Eterusia aedea formosana,成蟲,2011,348112,3826_9461
3826_242745,244500,2685500,Zygaenidae,Eterusia aedea formosana,成蟲,2011,348112,3826_9749
3826_166722,221500,2533500,Zygaenidae,Eterusia aedea formosana,成蟲,2011,348112,3826_6645
3826_203222,221500,2606500,Zygaenidae,Eterusia aedea formosana,成蟲,2011,348112,3826_8145
3826_279804,303500,2759500,Zygaenidae,Eterusia aedea formosana,成蟲,2012,348112,3826_11161
3826_290304,303500,2780500,Zygaenidae,Eterusia aedea formosana,幼蟲,2012,348112,3826_11661
3826_290321,320500,2780500,Zygaenidae,Eterusia aedea formosana,幼蟲,2012,348112,3826_11665
3826_219243,242500,2638500,Zygaenidae,Eterusia aedea formosana,幼蟲,2012,348112,3826_8749
3826_219242,241500,2638500,Zygaenidae,Eterusia aedea formosana,成蟲,2012,348112,3826_8749
3826_280304,303500,2760500,Zygaenidae,Eterusia aedea formosana,幼蟲,2012,348112,3826_11261
3826_291805,304500,2783500,Zygaenidae,Eterusia aedea formosana,幼蟲,2012,348112,3826_11661
3826_297809,308500,2795500,Zygaenidae,Eterusia aedea formosana,幼蟲,2012,348112,3826_11962
3826_287813,312500,2775500,Zygaenidae,Eterusia aedea formosana,幼蟲,2012,348112,3826_11563
3826_292305,304500,2784500,Zygaenidae,Eterusia aedea formosana,幼蟲,2012,348112,3826_11661
3826_226225,224500,2652500,Zygaenidae,Eterusia aedea formosana,幼蟲,2012,348112,3826_9045
3826_218230,229500,2636500,Zygaenidae,Eterusia aedea formosana,成蟲,2012,348112,3826_8746
3826_276808,307500,2753500,Zygaenidae,Eterusia aedea formosana,成蟲,2012,348112,3826_11062
3826_237801,300500,2675500,Zygaenidae,Eterusia aedea formosana,成蟲,2012,348112,3826_9561
3826_282806,305500,2765500,Zygaenidae,Eterusia aedea formosana,成蟲,2012,348112,3826_11362
3826_281310,309500,2762500,Zygaenidae,Eterusia aedea formosana,成蟲,2012,348112,3826_11262
3826_281820,319500,2763500,Zygaenidae,Eterusia aedea formosana,幼蟲,2012,348112,3826_11264
3826_282307,306500,2764500,Zygaenidae,Eterusia aedea formosana,幼蟲,2011,348112,3826_11262
3826_197218,217500,2594500,Zygaenidae,Eterusia aedea formosana,成蟲,2012,348112,3826_7844
3826_273788,287500,2747500,Zygaenidae,Eterusia aedea formosana,成蟲,2012,348112,3826_10958
3826_284309,308500,2768500,Zygaenidae,Eterusia aedea formosana,成蟲,2012,348112,3826_11362
3826_269770,269500,2739500,Zygaenidae,Eterusia aedea formosana,幼蟲,2012,348112,3826_10754
3826_284809,308500,2769500,Zygaenidae,Eterusia aedea formosana,成蟲,2012,348112,3826_11362
3826_274810,309500,2749500,Zygaenidae,Eterusia aedea formosana,幼蟲,2012,348112,3826_10962
3826_236215,214500,2672500,Zygaenidae,Eterusia aedea formosana,成蟲,2012,348112,3826_9443
3826_278825,324500,2757500,Zygaenidae,Eterusia aedea formosana,幼蟲,2012,348112,3826_11165
3826_128235,234500,2456500,Zygaenidae,Eterusia aedea formosana,幼蟲,2012,348112,3826_5147
3826_282784,283500,2765500,Zygaenidae,Eterusia aedea formosana,幼蟲,2012,348112,3826_11357
3826_220243,242500,2640500,Zygaenidae,Eterusia aedea formosana,成蟲,2013,348112,3826_8849
3826_286294,293500,2772500,Zygaenidae,Eterusia aedea formosana,幼蟲,2012,348112,3826_11459
3826_291801,300500,2783500,Zygaenidae,Eterusia aedea formosana,成蟲,2013,348112,3826_11661
3826_292305,304500,2784500,Zygaenidae,Eterusia aedea formosana,幼蟲,2013,348112,3826_11661
3826_271769,268500,2743500,Zygaenidae,Eterusia aedea formosana,成蟲,2013,348112,3826_10854
3826_272276,275500,2744500,Zygaenidae,Eterusia aedea formosana,成蟲,2013,348112,3826_10856
3826_267778,277500,2735500,Zygaenidae,Eterusia aedea formosana,幼蟲,2013,348112,3826_10756
3826_188716,215500,2577500,Zygaenidae,Eterusia aedea formosana,成蟲,2013,348112,3826_7544
3826_273788,287500,2747500,Zygaenidae,Eterusia aedea formosana,成蟲,2013,348112,3826_10958
3826_220810,309500,2641500,Zygaenidae,Eterusia aedea formosana,成蟲,2013,348112,3826_8862
3826_269811,310500,2739500,Zygaenidae,Eterusia aedea formosana,成蟲,2013,348112,3826_10763
3826_290805,304500,2781500,Zygaenidae,Eterusia aedea formosana,成蟲,2012,348112,3826_11661
3826_267778,277500,2735500,Zygaenidae,Eterusia aedea formosana,成蟲,2013,348112,3826_10756
3826_252735,234500,2705500,Zygaenidae,Eterusia aedea formosana,成蟲,2012,348112,3826_10147
3826_275267,266500,2750500,Zygaenidae,Eterusia aedea formosana,幼蟲,2013,348112,3826_11054
3826_282309,308500,2764500,Zygaenidae,Eterusia aedea formosana,成蟲,2012,348112,3826_11262
3826_280805,304500,2761500,Zygaenidae,Eterusia aedea formosana,幼蟲,2012,348112,3826_11261
3826_219741,240500,2639500,Zygaenidae,Eterusia aedea formosana,幼蟲,2013,348112,3826_8749
3826_238230,229500,2676500,Zygaenidae,Eterusia aedea formosana,幼蟲,2013,348112,3826_9546
3826_289309,308500,2778500,Zygaenidae,Eterusia aedea formosana,幼蟲,2012,348112,3826_11562
3826_280815,314500,2761500,Zygaenidae,Eterusia aedea formosana,幼蟲,2013,348112,3826_11263
3826_218230,229500,2636500,Zygaenidae,Eterusia aedea formosana,幼蟲,2013,348112,3826_8746
3826_282809,308500,2765500,Zygaenidae,Eterusia aedea formosana,幼蟲,2013,348112,3826_11362
3826_268267,266500,2736500,Zygaenidae,Eterusia aedea formosana,成蟲,2013,348112,3826_10754
3826_276805,304500,2753500,Zygaenidae,Eterusia aedea formosana,成蟲,2013,348112,3826_11061
