GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_292805,304500,2785500,Ethmiidae,Ethmia lineatonotella,成蟲,2011,344465,3826_11761
3826_242745,244500,2685500,Ethmiidae,Ethmia lineatonotella,成蟲,2011,344465,3826_9749
3826_273788,287500,2747500,Ethmiidae,Ethmia lineatonotella,成蟲,2012,344465,3826_10958
3826_269811,310500,2739500,Ethmiidae,Ethmia lineatonotella,成蟲,2011,344465,3826_10763
3826_287810,309500,2775500,Ethmiidae,Ethmia lineatonotella,成蟲,2014,344465,3826_11562
3826_139724,223500,2479500,Ethmiidae,Ethmia lineatonotella,成蟲,2014,344465,3826_5545
3826_269811,310500,2739500,Ethmiidae,Ethmia lineatonotella,成蟲,2013,344465,3826_10763
3826_287813,312500,2775500,Ethmiidae,Ethmia lineatonotella,成蟲,2014,344465,3826_11563
3826_280316,315500,2760500,Ethmiidae,Ethmia lineatonotella,成蟲,2014,344465,3826_11264
3826_285818,317500,2771500,Ethmiidae,Ethmia lineatonotella,成蟲,2014,344465,3826_11464
3826_237248,247500,2674500,Ethmiidae,Ethmia lineatonotella,成蟲,2015,344465,3826_9450
3826_221310,309500,2642500,Ethmiidae,Ethmia lineatonotella,成蟲,2015,344465,3826_8862
3826_281810,309500,2763500,Ethmiidae,Ethmia lineatonotella,成蟲,2014,344465,3826_11262
3826_215752,251500,2631500,Ethmiidae,Ethmia lineatonotella,成蟲,2014,344465,3826_8651
3826_273826,325500,2747500,Ethmiidae,Ethmia lineatonotella,成蟲,2013,344465,3826_10966
3826_279306,305500,2758500,Ethmiidae,Ethmia lineatonotella,成蟲,2013,344465,3826_11162
3826_214744,243500,2629500,Ethmiidae,Ethmia lineatonotella,成蟲,2015,344465,3826_8549
3826_279306,305500,2758500,Ethmiidae,Ethmia lineatonotella,成蟲,2015,344465,3826_11162
3826_269811,310500,2739500,Ethmiidae,Ethmia lineatonotella,成蟲,2015,344465,3826_10763
3826_264279,278500,2728500,Ethmiidae,Ethmia lineatonotella,成蟲,2015,344465,3826_10556
3826_140225,224500,2480500,Ethmiidae,Ethmia lineatonotella,成蟲,2012,344465,3826_5645
3826_272277,276500,2744500,Ethmiidae,Ethmia lineatonotella,成蟲,2013,344465,3826_10856
3826_278825,324500,2757500,Ethmiidae,Ethmia lineatonotella,成蟲,2011,344465,3826_11165
