GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_293302,301500,2786500,Erebidae,Eudocima homaena,成蟲,2011,346604,3826_11761
3826_283807,306500,2767500,Erebidae,Eudocima homaena,成蟲,2012,346604,3826_11362
3826_229767,266500,2659500,Erebidae,Eudocima homaena,成蟲,2012,346604,3826_9154
3826_245733,232500,2691500,Erebidae,Eudocima homaena,幼蟲,2012,346604,3826_9847
3826_219243,242500,2638500,Erebidae,Eudocima homaena,成蟲,2012,346604,3826_8749
3826_152210,209500,2504500,Erebidae,Eudocima homaena,成蟲,2012,346604,3826_6042
3826_172215,214500,2544500,Erebidae,Eudocima homaena,成蟲,2012,346604,3826_6843
3826_154714,213500,2509500,Erebidae,Eudocima homaena,幼蟲,2012,346604,3826_6143
3826_174766,265500,2549500,Erebidae,Eudocima homaena,成蟲,2012,346604,3826_6954
3826_222739,238500,2645500,Erebidae,Eudocima homaena,幼蟲,2012,346604,3826_8948
3826_293805,304500,2787500,Erebidae,Eudocima homaena,成蟲,2012,346604,3826_11761
3826_273788,287500,2747500,Erebidae,Eudocima homaena,成蟲,2012,346604,3826_10958
3826_166722,221500,2533500,Erebidae,Eudocima homaena,成蟲,2012,346604,3826_6645
3826_262327,326500,2724500,Erebidae,Eudocima homaena,幼蟲,2012,346604,3826_10466
3826_167728,227500,2535500,Erebidae,Eudocima homaena,成蟲,2012,346604,3826_6746
3826_274305,304500,2748500,Erebidae,Eudocima homaena,幼蟲,2012,346604,3826_10961
3826_269811,310500,2739500,Erebidae,Eudocima homaena,幼蟲,2013,346604,3826_10763
3826_280805,304500,2761500,Erebidae,Eudocima homaena,幼蟲,2012,346604,3826_11261
3826_274305,304500,2748500,Erebidae,Eudocima homaena,成蟲,2013,346604,3826_10961
3826_277800,299500,2755500,Erebidae,Eudocima homaena,幼蟲,2013,346604,3826_11160
3826_269811,310500,2739500,Erebidae,Eudocima homaena,成蟲,2013,346604,3826_10763
3826_150219,218500,2500500,Erebidae,Eudocima homaena,成蟲,2013,346604,3826_6044
3826_238225,224500,2676500,Erebidae,Eudocima homaena,幼蟲,2010,346604,3826_9545
3826_229312,311500,2658500,Erebidae,Eudocima homaena,成蟲,2013,346604,3826_9163
3826_294303,302500,2788500,Erebidae,Eudocima homaena,成蟲,2013,346604,3826_11761
3826_283807,306500,2767500,Erebidae,Eudocima homaena,成蟲,2013,346604,3826_11362
3826_227307,306500,2654500,Erebidae,Eudocima homaena,成蟲,2014,346604,3826_9062
3826_227307,306500,2654500,Erebidae,Eudocima homaena,幼蟲,2014,346604,3826_9062
3826_237311,310500,2674500,Erebidae,Eudocima homaena,成蟲,2013,346604,3826_9463
3826_282307,306500,2764500,Erebidae,Eudocima homaena,成蟲,2014,346604,3826_11262
3826_236243,242500,2672500,Erebidae,Eudocima homaena,幼蟲,2014,346604,3826_9449
3826_281301,300500,2762500,Erebidae,Eudocima homaena,成蟲,2014,346604,3826_11261
3826_281820,319500,2763500,Erebidae,Eudocima homaena,成蟲,2013,346604,3826_11264
3826_255812,311500,2711500,Erebidae,Eudocima homaena,成蟲,2014,346604,3826_10263
3826_283807,306500,2767500,Erebidae,Eudocima homaena,成蟲,2014,346604,3826_11362
3826_271249,248500,2742500,Erebidae,Eudocima homaena,成蟲,2014,346604,3826_10850
3826_287813,312500,2775500,Erebidae,Eudocima homaena,幼蟲,2014,346604,3826_11563
3826_283807,306500,2767500,Erebidae,Eudocima homaena,幼蟲,2015,346604,3826_11362
3826_293303,302500,2786500,Erebidae,Eudocima homaena,幼蟲,2014,346604,3826_11761
3826_266255,254500,2732500,Erebidae,Eudocima homaena,成蟲,2014,346604,3826_10651
3826_152210,209500,2504500,Erebidae,Eudocima homaena,成蟲,2014,346604,3826_6042
3826_294317,316500,2788500,Erebidae,Eudocima homaena,成蟲,2014,346604,3826_11764
3826_153718,217500,2507500,Erebidae,Eudocima homaena,成蟲,2014,346604,3826_6144
3826_283807,306500,2767500,Erebidae,Eudocima homaena,成蟲,2010,346604,3826_11362
3826_177779,278500,2555500,Erebidae,Eudocima homaena,成蟲,2014,346604,3826_7156
3826_232753,252500,2665500,Erebidae,Eudocima homaena,成蟲,2014,346604,3826_9351
3826_288310,309500,2776500,Erebidae,Eudocima homaena,成蟲,2014,346604,3826_11562
3826_264279,278500,2728500,Erebidae,Eudocima homaena,成蟲,2014,346604,3826_10556
3826_238752,251500,2677500,Erebidae,Eudocima homaena,成蟲,2015,346604,3826_9551
3826_292806,305500,2785500,Erebidae,Eudocima homaena,成蟲,2015,346604,3826_11762
3826_285818,317500,2771500,Erebidae,Eudocima homaena,幼蟲,2015,346604,3826_11464
3826_155216,215500,2510500,Erebidae,Eudocima homaena,幼蟲,2015,346604,3826_6244
3826_288808,307500,2777500,Erebidae,Eudocima homaena,幼蟲,2011,346604,3826_11562
3826_283807,306500,2767500,Erebidae,Eudocima homaena,成蟲,2011,346604,3826_11362
3826_285310,309500,2770500,Erebidae,Eudocima homaena,幼蟲,2011,346604,3826_11462
3826_152175,174500,2504500,Erebidae,Eudocima homaena,成蟲,2015,346604,3826_6035
3826_226225,224500,2652500,Erebidae,Eudocima homaena,成蟲,2012,346604,3826_9045
3826_283807,306500,2767500,Erebidae,Eudocima homaena,成蟲,2015,346604,3826_11362
3826_237789,288500,2675500,Erebidae,Eudocima homaena,成蟲,2012,346604,3826_9558
3826_266266,265500,2732500,Erebidae,Eudocima homaena,幼蟲,2015,346604,3826_10654
3826_288810,309500,2777500,Erebidae,Eudocima homaena,幼蟲,2015,346604,3826_11562
3826_286306,305500,2772500,Erebidae,Eudocima homaena,成蟲,2015,346604,3826_11462
3826_272277,276500,2744500,Erebidae,Eudocima homaena,成蟲,2012,346604,3826_10856
3826_282307,306500,2764500,Erebidae,Eudocima homaena,成蟲,2015,346604,3826_11262
3826_228263,262500,2656500,Erebidae,Eudocima homaena,成蟲,2012,346604,3826_9153
3826_145212,211500,2490500,Erebidae,Eudocima homaena,幼蟲,2015,346604,3826_5843
3826_228748,247500,2657500,Erebidae,Eudocima homaena,幼蟲,2015,346604,3826_9150
3826_164183,182500,2528500,Erebidae,Eudocima homaena,成蟲,2015,346604,3826_6537
3826_148717,216500,2497500,Erebidae,Eudocima homaena,幼蟲,2016,346604,3826_5944
3826_281810,309500,2763500,Erebidae,Eudocima homaena,成蟲,2015,346604,3826_11262
3826_291329,328500,2782500,Erebidae,Eudocima homaena,幼蟲,2016,346604,3826_11666
