GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_122730,229500,2445500,Erebidae,Eudocima phalonia,成蟲,2011,346603,3826_4946
3826_214744,243500,2629500,Erebidae,Eudocima phalonia,成蟲,2011,346603,3826_8549
3826_237309,308500,2674500,Erebidae,Eudocima phalonia,成蟲,2010,346603,3826_9462
3826_280304,303500,2760500,Erebidae,Eudocima phalonia,幼蟲,2012,346603,3826_11261
3826_273788,287500,2747500,Erebidae,Eudocima phalonia,成蟲,2012,346603,3826_10958
3826_128729,228500,2457500,Erebidae,Eudocima phalonia,成蟲,2012,346603,3826_5146
3826_283807,306500,2767500,Erebidae,Eudocima phalonia,成蟲,2012,346603,3826_11362
3826_167728,227500,2535500,Erebidae,Eudocima phalonia,成蟲,2012,346603,3826_6746
3826_227314,313500,2654500,Erebidae,Eudocima phalonia,成蟲,2013,346603,3826_9063
3826_152175,174500,2504500,Erebidae,Eudocima phalonia,成蟲,2013,346603,3826_6035
3826_238709,208500,2677500,Erebidae,Eudocima phalonia,成蟲,2012,346603,3826_9542
3826_273826,325500,2747500,Erebidae,Eudocima phalonia,成蟲,2013,346603,3826_10966
3826_275769,268500,2751500,Erebidae,Eudocima phalonia,幼蟲,2013,346603,3826_11054
3826_275267,266500,2750500,Erebidae,Eudocima phalonia,幼蟲,2013,346603,3826_11054
3826_269811,310500,2739500,Erebidae,Eudocima phalonia,成蟲,2013,346603,3826_10763
3826_150219,218500,2500500,Erebidae,Eudocima phalonia,成蟲,2013,346603,3826_6044
3826_230738,237500,2661500,Erebidae,Eudocima phalonia,成蟲,2012,346603,3826_9248
3826_283807,306500,2767500,Erebidae,Eudocima phalonia,成蟲,2013,346603,3826_11362
3826_170217,216500,2540500,Erebidae,Eudocima phalonia,成蟲,2013,346603,3826_6844
3826_287811,310500,2775500,Erebidae,Eudocima phalonia,幼蟲,2014,346603,3826_11563
3826_292801,300500,2785500,Erebidae,Eudocima phalonia,成蟲,2013,346603,3826_11761
3826_222739,238500,2645500,Erebidae,Eudocima phalonia,幼蟲,2012,346603,3826_8948
3826_249744,243500,2699500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_9949
3826_204212,211500,2608500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_8143
3826_281820,319500,2763500,Erebidae,Eudocima phalonia,成蟲,2013,346603,3826_11264
3826_154218,217500,2508500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_6144
3826_294302,301500,2788500,Erebidae,Eudocima phalonia,幼蟲,2014,346603,3826_11761
3826_255812,311500,2711500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_10263
3826_282307,306500,2764500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_11262
3826_200231,230500,2600500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_8047
3826_269811,310500,2739500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_10763
3826_175725,224500,2551500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_7045
3826_281301,300500,2762500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_11261
3826_263798,297500,2727500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_10560
3826_229766,265500,2659500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_9154
3826_287813,312500,2775500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_11563
3826_281309,308500,2762500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_11262
3826_167171,170500,2534500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_6635
3826_273796,295500,2747500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_10960
3826_281810,309500,2763500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_11262
3826_294310,309500,2788500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_11762
3826_273788,287500,2747500,Erebidae,Eudocima phalonia,成蟲,2013,346603,3826_10958
3826_280787,286500,2761500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_11258
3826_284315,314500,2768500,Erebidae,Eudocima phalonia,幼蟲,2015,346603,3826_11363
3826_264279,278500,2728500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_10556
3826_282307,306500,2764500,Erebidae,Eudocima phalonia,成蟲,2015,346603,3826_11262
3826_293308,307500,2786500,Erebidae,Eudocima phalonia,成蟲,2015,346603,3826_11762
3826_165726,225500,2531500,Erebidae,Eudocima phalonia,幼蟲,2015,346603,3826_6646
3826_231268,267500,2662500,Erebidae,Eudocima phalonia,成蟲,2015,346603,3826_9254
3826_264779,278500,2729500,Erebidae,Eudocima phalonia,成蟲,2015,346603,3826_10556
3826_261827,326500,2723500,Erebidae,Eudocima phalonia,成蟲,2015,346603,3826_10466
3826_259800,299500,2719500,Erebidae,Eudocima phalonia,成蟲,2015,346603,3826_10360
3826_195215,214500,2590500,Erebidae,Eudocima phalonia,成蟲,2015,346603,3826_7843
3826_276808,307500,2753500,Erebidae,Eudocima phalonia,成蟲,2015,346603,3826_11062
3826_225250,249500,2650500,Erebidae,Eudocima phalonia,成蟲,2015,346603,3826_9050
3826_266266,265500,2732500,Erebidae,Eudocima phalonia,幼蟲,2015,346603,3826_10654
3826_283807,306500,2767500,Erebidae,Eudocima phalonia,成蟲,2015,346603,3826_11362
3826_281813,312500,2763500,Erebidae,Eudocima phalonia,幼蟲,2015,346603,3826_11263
3826_287813,312500,2775500,Erebidae,Eudocima phalonia,幼蟲,2015,346603,3826_11563
3826_239300,299500,2678500,Erebidae,Eudocima phalonia,成蟲,2015,346603,3826_9560
3826_153682,181500,2507500,Erebidae,Eudocima phalonia,成蟲,2015,346603,3826_6137
3826_231705,204500,2663500,Erebidae,Eudocima phalonia,成蟲,2015,346603,3826_9241
3826_292307,306500,2784500,Erebidae,Eudocima phalonia,成蟲,2015,346603,3826_11662
3826_264261,260500,2728500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_10553
3826_152675,174500,2505500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_6135
3826_283807,306500,2767500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_11362
3826_262327,326500,2724500,Erebidae,Eudocima phalonia,幼蟲,2015,346603,3826_10466
3826_164183,182500,2528500,Erebidae,Eudocima phalonia,成蟲,2015,346603,3826_6537
3826_281810,309500,2763500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_11262
3826_148715,214500,2497500,Erebidae,Eudocima phalonia,成蟲,2015,346603,3826_5943
3826_175724,223500,2551500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_7045
3826_195715,214500,2591500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_7843
3826_290310,309500,2780500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_11662
3826_293303,302500,2786500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_11761
3826_288306,305500,2776500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_11562
3826_128729,228500,2457500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_5146
3826_269315,314500,2738500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_10763
3826_240249,248500,2680500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_9650
3826_293308,307500,2786500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_11762
3826_263260,259500,2726500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_10552
3826_175725,224500,2551500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_7045
3826_232268,267500,2664500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_9254
3826_207230,229500,2614500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_8246
3826_254805,304500,2709500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_10161
3826_213729,228500,2627500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_8546
3826_195214,213500,2590500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_7843
3826_286306,305500,2772500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_11462
3826_256748,247500,2713500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_10250
3826_263260,259500,2726500,Erebidae,Eudocima phalonia,成蟲,2017,346603,3826_10552
3826_286306,305500,2772500,Erebidae,Eudocima phalonia,成蟲,2017,346603,3826_11462
3826_154714,213500,2509500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_6143
3826_186781,280500,2573500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_7457
3826_190283,282500,2580500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_7657
3826_158226,225500,2516500,Erebidae,Eudocima phalonia,成蟲,2017,346603,3826_6346
3826_152175,174500,2504500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_6035
3826_190782,281500,2581500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_7657
3826_152175,174500,2504500,Erebidae,Eudocima phalonia,成蟲,2017,346603,3826_6035
3826_238231,230500,2676500,Erebidae,Eudocima phalonia,幼蟲,2016,346603,3826_9547
3826_227306,305500,2654500,Erebidae,Eudocima phalonia,成蟲,2017,346603,3826_9062
3826_195214,213500,2590500,Erebidae,Eudocima phalonia,成蟲,2017,346603,3826_7843
3826_197218,217500,2594500,Erebidae,Eudocima phalonia,成蟲,2017,346603,3826_7844
3826_259254,253500,2718500,Erebidae,Eudocima phalonia,成蟲,2017,346603,3826_10351
3826_254738,237500,2709500,Erebidae,Eudocima phalonia,成蟲,2017,346603,3826_10148
3826_224749,248500,2649500,Erebidae,Eudocima phalonia,成蟲,2017,346603,3826_8950
3826_281309,308500,2762500,Erebidae,Eudocima phalonia,成蟲,2017,346603,3826_11262
3826_240249,248500,2680500,Erebidae,Eudocima phalonia,成蟲,2017,346603,3826_9650
3826_289810,309500,2779500,Erebidae,Eudocima phalonia,成蟲,2017,346603,3826_11562
3826_224244,243500,2648500,Erebidae,Eudocima phalonia,成蟲,2017,346603,3826_8949
3826_237230,229500,2674500,Erebidae,Eudocima phalonia,幼蟲,2017,346603,3826_9446
3826_293308,307500,2786500,Erebidae,Eudocima phalonia,成蟲,2017,346603,3826_11762
3826_287810,309500,2775500,Erebidae,Eudocima phalonia,成蟲,2017,346603,3826_11562
3826_285313,312500,2770500,Erebidae,Eudocima phalonia,成蟲,2017,346603,3826_11463
3826_281810,309500,2763500,Erebidae,Eudocima phalonia,成蟲,2018,346603,3826_11262
3826_206293,292500,2612500,Erebidae,Eudocima phalonia,成蟲,2018,346603,3826_8259
3826_273260,259500,2746500,Erebidae,Eudocima phalonia,幼蟲,2018,346603,3826_10952
3826_282307,306500,2764500,Erebidae,Eudocima phalonia,成蟲,2018,346603,3826_11262
3826_175725,224500,2551500,Erebidae,Eudocima phalonia,成蟲,2018,346603,3826_7045
3826_271278,277500,2742500,Erebidae,Eudocima phalonia,幼蟲,2018,346603,3826_10856
3826_281813,312500,2763500,Erebidae,Eudocima phalonia,成蟲,2018,346603,3826_11263
3826_290310,309500,2780500,Erebidae,Eudocima phalonia,成蟲,2018,346603,3826_11662
3826_236217,216500,2672500,Erebidae,Eudocima phalonia,成蟲,2018,346603,3826_9444
3826_254805,304500,2709500,Erebidae,Eudocima phalonia,成蟲,2018,346603,3826_10161
3826_154218,217500,2508500,Erebidae,Eudocima phalonia,成蟲,2018,346603,3826_6144
3826_281309,308500,2762500,Erebidae,Eudocima phalonia,成蟲,2018,346603,3826_11262
3826_283807,306500,2767500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_11362
3826_154677,176500,2509500,Erebidae,Eudocima phalonia,成蟲,2018,346603,3826_6136
3826_197709,208500,2595500,Erebidae,Eudocima phalonia,成蟲,2018,346603,3826_7942
3826_200230,229500,2600500,Erebidae,Eudocima phalonia,成蟲,2018,346603,3826_8046
3826_152675,174500,2505500,Erebidae,Eudocima phalonia,成蟲,2018,346603,3826_6135
3826_285306,305500,2770500,Erebidae,Eudocima phalonia,成蟲,2018,346603,3826_11462
3826_216751,250500,2633500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_8651
3826_255812,311500,2711500,Erebidae,Eudocima phalonia,成蟲,2010,346603,3826_10263
3826_211703,202500,2623500,Erebidae,Eudocima phalonia,成蟲,2018,346603,3826_8441
3826_241751,250500,2683500,Erebidae,Eudocima phalonia,成蟲,2015,346603,3826_9651
3826_255743,242500,2711500,Erebidae,Eudocima phalonia,成蟲,2018,346603,3826_10249
3826_154680,179500,2509500,Erebidae,Eudocima phalonia,成蟲,2016,346603,3826_6136
3826_166217,216500,2532500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_6644
3826_151226,225500,2502500,Erebidae,Eudocima phalonia,成蟲,2010,346603,3826_6046
3826_281810,309500,2763500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_11262
3826_165724,223500,2531500,Erebidae,Eudocima phalonia,成蟲,2012,346603,3826_6645
3826_289336,335500,2778500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_11568
3826_139724,223500,2479500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_5545
3826_152175,174500,2504500,Erebidae,Eudocima phalonia,成蟲,2018,346603,3826_6035
3826_244705,204500,2689500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_9741
3826_257253,252500,2714500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_10251
3826_223303,302500,2646500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_8961
3826_154218,217500,2508500,Erebidae,Eudocima phalonia,成蟲,2013,346603,3826_6144
3826_232753,252500,2665500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_9351
3826_273788,287500,2747500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_10958
3826_257745,244500,2715500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_10349
3826_277297,296500,2754500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_11060
3826_274305,304500,2748500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_10961
3826_289801,300500,2779500,Erebidae,Eudocima phalonia,幼蟲,2019,346603,3826_11561
3826_287812,311500,2775500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_11563
3826_263253,252500,2726500,Erebidae,Eudocima phalonia,幼蟲,2019,346603,3826_10551
3826_159220,219500,2518500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_6344
3826_151680,179500,2503500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_6036
3826_200219,218500,2600500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_8044
3826_255305,304500,2710500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_10261
3826_265773,272500,2731500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_10655
3826_197218,217500,2594500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_7844
3826_193218,217500,2586500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_7744
3826_219244,243500,2638500,Erebidae,Eudocima phalonia,幼蟲,2019,346603,3826_8749
3826_219741,240500,2639500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_8749
3826_269811,310500,2739500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_10763
3826_251728,227500,2703500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_10046
3826_237303,302500,2674500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_9461
3826_222755,254500,2645500,Erebidae,Eudocima phalonia,成蟲,2019,346603,3826_8951
3826_280302,301500,2760500,Erebidae,Eudocima phalonia,成蟲,2020,346603,3826_11261
3826_170218,217500,2540500,Erebidae,Eudocima phalonia,成蟲,2013,346603,3826_6844
3826_257745,244500,2715500,Erebidae,Eudocima phalonia,成蟲,2020,346603,3826_10349
3826_273788,287500,2747500,Erebidae,Eudocima phalonia,成蟲,2020,346603,3826_10958
3826_291805,304500,2783500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_11661
3826_282307,306500,2764500,Erebidae,Eudocima phalonia,成蟲,2020,346603,3826_11262
3826_288804,303500,2777500,Erebidae,Eudocima phalonia,成蟲,2020,346603,3826_11561
3826_292797,296500,2785500,Erebidae,Eudocima phalonia,幼蟲,2020,346603,3826_11760
3826_291300,299500,2782500,Erebidae,Eudocima phalonia,幼蟲,2020,346603,3826_11660
3826_281810,309500,2763500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_11262
3826_281309,308500,2762500,Erebidae,Eudocima phalonia,成蟲,2020,346603,3826_11262
3826_216736,235500,2633500,Erebidae,Eudocima phalonia,成蟲,2020,346603,3826_8648
3826_269273,272500,2738500,Erebidae,Eudocima phalonia,成蟲,2020,346603,3826_10755
3826_291329,328500,2782500,Erebidae,Eudocima phalonia,成蟲,2014,346603,3826_11666
3826_292300,299500,2784500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_11660
3826_264791,290500,2729500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_10559
3826_273788,287500,2747500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_10958
3826_267279,278500,2734500,Erebidae,Eudocima phalonia,幼蟲,2021,346603,3826_10656
3826_148182,181500,2496500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_5937
3826_235225,224500,2670500,Erebidae,Eudocima phalonia,幼蟲,2021,346603,3826_9445
3826_188700,199500,2577500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_7540
3826_121724,223500,2443500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_4845
3826_293303,302500,2786500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_11761
3826_236780,279500,2673500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_9456
3826_273796,295500,2747500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_10960
3826_290311,310500,2780500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_11663
3826_161689,188500,2523500,Erebidae,Eudocima phalonia,幼蟲,2021,346603,3826_6438
3826_221802,301500,2643500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_8861
3826_291305,304500,2782500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_11661
3826_273248,247500,2746500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_10950
3826_222739,238500,2645500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_8948
3826_269273,272500,2738500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_10755
3826_286306,305500,2772500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_11462
3826_231268,267500,2662500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_9254
3826_230272,271500,2660500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_9255
3826_288807,306500,2777500,Erebidae,Eudocima phalonia,幼蟲,2021,346603,3826_11562
3826_225801,300500,2651500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_9061
3826_252226,225500,2704500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_10046
3826_282806,305500,2765500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_11362
3826_284809,308500,2769500,Erebidae,Eudocima phalonia,成蟲,2021,346603,3826_11362
3826_218742,241500,2637500,Erebidae,Eudocima phalonia,成蟲,2022,346603,3826_8749
3826_269273,272500,2738500,Erebidae,Eudocima phalonia,成蟲,2022,346603,3826_10755
3826_205224,223500,2610500,Erebidae,Eudocima phalonia,成蟲,2022,346603,3826_8245
3826_234815,314500,2669500,Erebidae,Eudocima phalonia,成蟲,2022,346603,3826_9363
3826_225806,305500,2651500,Erebidae,Eudocima phalonia,成蟲,2022,346603,3826_9062
3826_292307,306500,2784500,Erebidae,Eudocima phalonia,成蟲,2022,346603,3826_11662
3826_200230,229500,2600500,Erebidae,Eudocima phalonia,成蟲,2022,346603,3826_8046
3826_222300,299500,2644500,Erebidae,Eudocima phalonia,成蟲,2022,346603,3826_8860
3826_246737,236500,2693500,Erebidae,Eudocima phalonia,成蟲,2022,346603,3826_9848
