GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_218230,229500,2636500,Erebidae,Eudocima salaminia,成蟲,2011,346280,3826_8746
3826_228264,263500,2656500,Erebidae,Eudocima salaminia,成蟲,2011,346280,3826_9153
3826_283807,306500,2767500,Erebidae,Eudocima salaminia,成蟲,2011,346280,3826_11362
3826_284309,308500,2768500,Erebidae,Eudocima salaminia,成蟲,2012,346280,3826_11362
3826_224244,243500,2648500,Erebidae,Eudocima salaminia,成蟲,2012,346280,3826_8949
3826_152210,209500,2504500,Erebidae,Eudocima salaminia,成蟲,2012,346280,3826_6042
3826_276805,304500,2753500,Erebidae,Eudocima salaminia,幼蟲,2011,346280,3826_11061
3826_263798,297500,2727500,Erebidae,Eudocima salaminia,成蟲,2012,346280,3826_10560
3826_162692,191500,2525500,Erebidae,Eudocima salaminia,成蟲,2012,346280,3826_6539
3826_291805,304500,2783500,Erebidae,Eudocima salaminia,成蟲,2010,346280,3826_11661
3826_273788,287500,2747500,Erebidae,Eudocima salaminia,成蟲,2012,346280,3826_10958
3826_219208,207500,2638500,Erebidae,Eudocima salaminia,幼蟲,2012,346280,3826_8742
3826_281301,300500,2762500,Erebidae,Eudocima salaminia,成蟲,2012,346280,3826_11261
3826_290794,293500,2781500,Erebidae,Eudocima salaminia,成蟲,2012,346280,3826_11659
3826_203744,243500,2607500,Erebidae,Eudocima salaminia,成蟲,2012,346280,3826_8149
3826_152210,209500,2504500,Erebidae,Eudocima salaminia,幼蟲,2013,346280,3826_6042
3826_288808,307500,2777500,Erebidae,Eudocima salaminia,成蟲,2012,346280,3826_11562
3826_273826,325500,2747500,Erebidae,Eudocima salaminia,成蟲,2013,346280,3826_10966
3826_283807,306500,2767500,Erebidae,Eudocima salaminia,成蟲,2013,346280,3826_11362
3826_283807,306500,2767500,Erebidae,Eudocima salaminia,成蟲,2012,346280,3826_11362
3826_266761,260500,2733500,Erebidae,Eudocima salaminia,成蟲,2014,346280,3826_10653
3826_224214,213500,2648500,Erebidae,Eudocima salaminia,成蟲,2013,346280,3826_8943
3826_279301,300500,2758500,Erebidae,Eudocima salaminia,成蟲,2013,346280,3826_11161
3826_277838,337500,2755500,Erebidae,Eudocima salaminia,成蟲,2013,346280,3826_11168
3826_237309,308500,2674500,Erebidae,Eudocima salaminia,成蟲,2013,346280,3826_9462
