GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_292806,305500,2785500,Erebidae,Eudocima tyrannus,成蟲,2012,345952,3826_11762
3826_291805,304500,2783500,Erebidae,Eudocima tyrannus,成蟲,2013,345952,3826_11661
3826_297809,308500,2795500,Erebidae,Eudocima tyrannus,成蟲,2013,345952,3826_11962
3826_293303,302500,2786500,Erebidae,Eudocima tyrannus,成蟲,2014,345952,3826_11761
3826_236217,216500,2672500,Erebidae,Eudocima tyrannus,成蟲,2014,345952,3826_9444
3826_235278,277500,2670500,Erebidae,Eudocima tyrannus,成蟲,2014,345952,3826_9456
3826_285293,292500,2770500,Erebidae,Eudocima tyrannus,成蟲,2014,345952,3826_11459
3826_274305,304500,2748500,Erebidae,Eudocima tyrannus,成蟲,2014,345952,3826_10961
3826_291329,328500,2782500,Erebidae,Eudocima tyrannus,成蟲,2015,345952,3826_11666
3826_293303,302500,2786500,Erebidae,Eudocima tyrannus,成蟲,2015,345952,3826_11761
3826_226312,311500,2652500,Erebidae,Eudocima tyrannus,成蟲,2015,345952,3826_9063
3826_200229,228500,2600500,Erebidae,Eudocima tyrannus,成蟲,2015,345952,3826_8046
3826_293308,307500,2786500,Erebidae,Eudocima tyrannus,成蟲,2015,345952,3826_11762
3826_290310,309500,2780500,Erebidae,Eudocima tyrannus,成蟲,2016,345952,3826_11662
3826_269315,314500,2738500,Erebidae,Eudocima tyrannus,幼蟲,2014,345952,3826_10763
3826_281810,309500,2763500,Erebidae,Eudocima tyrannus,成蟲,2015,345952,3826_11262
3826_283807,306500,2767500,Erebidae,Eudocima tyrannus,成蟲,2016,345952,3826_11362
3826_293303,302500,2786500,Erebidae,Eudocima tyrannus,成蟲,2016,345952,3826_11761
3826_224749,248500,2649500,Erebidae,Eudocima tyrannus,成蟲,2016,345952,3826_8950
3826_286306,305500,2772500,Erebidae,Eudocima tyrannus,成蟲,2016,345952,3826_11462
3826_260804,303500,2721500,Erebidae,Eudocima tyrannus,成蟲,2016,345952,3826_10461
3826_234314,313500,2668500,Erebidae,Eudocima tyrannus,成蟲,2014,345952,3826_9363
3826_286306,305500,2772500,Erebidae,Eudocima tyrannus,成蟲,2017,345952,3826_11462
3826_237230,229500,2674500,Erebidae,Eudocima tyrannus,幼蟲,2017,345952,3826_9446
3826_237303,302500,2674500,Erebidae,Eudocima tyrannus,成蟲,2017,345952,3826_9461
3826_222739,238500,2645500,Erebidae,Eudocima tyrannus,成蟲,2017,345952,3826_8948
3826_290806,305500,2781500,Erebidae,Eudocima tyrannus,成蟲,2018,345952,3826_11662
3826_255812,311500,2711500,Erebidae,Eudocima tyrannus,成蟲,2015,345952,3826_10263
3826_285812,311500,2771500,Erebidae,Eudocima tyrannus,成蟲,2018,345952,3826_11463
3826_293308,307500,2786500,Erebidae,Eudocima tyrannus,成蟲,2018,345952,3826_11762
3826_172672,171500,2545500,Erebidae,Eudocima tyrannus,成蟲,2018,345952,3826_6935
3826_287811,310500,2775500,Erebidae,Eudocima tyrannus,成蟲,2018,345952,3826_11563
3826_294303,302500,2788500,Erebidae,Eudocima tyrannus,成蟲,2018,345952,3826_11761
3826_255762,261500,2711500,Erebidae,Eudocima tyrannus,成蟲,2018,345952,3826_10253
3826_255812,311500,2711500,Erebidae,Eudocima tyrannus,成蟲,2010,345952,3826_10263
3826_239300,299500,2678500,Erebidae,Eudocima tyrannus,成蟲,2019,345952,3826_9560
3826_181755,254500,2563500,Erebidae,Eudocima tyrannus,成蟲,2019,345952,3826_7251
3826_241248,247500,2682500,Erebidae,Eudocima tyrannus,成蟲,2019,345952,3826_9650
3826_207230,229500,2614500,Erebidae,Eudocima tyrannus,成蟲,2015,345952,3826_8246
3826_282307,306500,2764500,Erebidae,Eudocima tyrannus,成蟲,2015,345952,3826_11262
3826_281312,311500,2762500,Erebidae,Eudocima tyrannus,成蟲,2019,345952,3826_11263
3826_281810,309500,2763500,Erebidae,Eudocima tyrannus,成蟲,2020,345952,3826_11262
3826_288808,307500,2777500,Erebidae,Eudocima tyrannus,成蟲,2019,345952,3826_11562
3826_175222,221500,2550500,Erebidae,Eudocima tyrannus,成蟲,2014,345952,3826_7045
3826_273788,287500,2747500,Erebidae,Eudocima tyrannus,成蟲,2020,345952,3826_10958
3826_175725,224500,2551500,Erebidae,Eudocima tyrannus,成蟲,2020,345952,3826_7045
3826_241248,247500,2682500,Erebidae,Eudocima tyrannus,成蟲,2020,345952,3826_9650
3826_282307,306500,2764500,Erebidae,Eudocima tyrannus,成蟲,2020,345952,3826_11262
3826_199239,238500,2598500,Erebidae,Eudocima tyrannus,成蟲,2021,345952,3826_7948
3826_240223,222500,2680500,Erebidae,Eudocima tyrannus,成蟲,2021,345952,3826_9645
3826_200230,229500,2600500,Erebidae,Eudocima tyrannus,成蟲,2021,345952,3826_8046
3826_154686,185500,2509500,Erebidae,Eudocima tyrannus,成蟲,2021,345952,3826_6138
3826_282307,306500,2764500,Erebidae,Eudocima tyrannus,成蟲,2021,345952,3826_11262
3826_236780,279500,2673500,Erebidae,Eudocima tyrannus,成蟲,2021,345952,3826_9456
3826_268762,261500,2737500,Erebidae,Eudocima tyrannus,幼蟲,2021,345952,3826_10753
3826_152210,209500,2504500,Erebidae,Eudocima tyrannus,成蟲,2021,345952,3826_6042
3826_237719,218500,2675500,Erebidae,Eudocima tyrannus,成蟲,2021,345952,3826_9544
3826_290829,328500,2781500,Erebidae,Eudocima tyrannus,成蟲,2021,345952,3826_11666
3826_231268,267500,2662500,Erebidae,Eudocima tyrannus,成蟲,2021,345952,3826_9254
3826_187750,249500,2575500,Erebidae,Eudocima tyrannus,成蟲,2021,345952,3826_7550
3826_281810,309500,2763500,Erebidae,Eudocima tyrannus,成蟲,2021,345952,3826_11262
3826_241751,250500,2683500,Erebidae,Eudocima tyrannus,成蟲,2021,345952,3826_9651
3826_235280,279500,2670500,Erebidae,Eudocima tyrannus,成蟲,2021,345952,3826_9456
3826_130234,233500,2460500,Erebidae,Eudocima tyrannus,成蟲,2021,345952,3826_5247
3826_283307,306500,2766500,Erebidae,Eudocima tyrannus,成蟲,2021,345952,3826_11362
3826_200731,230500,2601500,Erebidae,Eudocima tyrannus,成蟲,2021,345952,3826_8047
