GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_254805,304500,2709500,Notodontidae,Euhampsonia formosana,成蟲,2011,346962,3826_10161
3826_293303,302500,2786500,Notodontidae,Euhampsonia formosana,成蟲,2012,346962,3826_11761
3826_291805,304500,2783500,Notodontidae,Euhampsonia formosana,幼蟲,2012,346962,3826_11661
3826_238290,289500,2676500,Notodontidae,Euhampsonia formosana,成蟲,2012,346962,3826_9558
3826_219243,242500,2638500,Notodontidae,Euhampsonia formosana,成蟲,2012,346962,3826_8749
3826_273788,287500,2747500,Notodontidae,Euhampsonia formosana,成蟲,2012,346962,3826_10958
3826_291806,305500,2783500,Notodontidae,Euhampsonia formosana,成蟲,2012,346962,3826_11662
3826_267778,277500,2735500,Notodontidae,Euhampsonia formosana,成蟲,2013,346962,3826_10756
3826_282820,319500,2765500,Notodontidae,Euhampsonia formosana,成蟲,2013,346962,3826_11364
3826_175725,224500,2551500,Notodontidae,Euhampsonia formosana,成蟲,2013,346962,3826_7045
3826_264779,278500,2729500,Notodontidae,Euhampsonia formosana,成蟲,2013,346962,3826_10556
3826_250744,243500,2701500,Notodontidae,Euhampsonia formosana,成蟲,2014,346962,3826_10049
3826_264279,278500,2728500,Notodontidae,Euhampsonia formosana,成蟲,2014,346962,3826_10556
3826_263798,297500,2727500,Notodontidae,Euhampsonia formosana,成蟲,2013,346962,3826_10560
3826_254805,304500,2709500,Notodontidae,Euhampsonia formosana,成蟲,2013,346962,3826_10161
3826_139724,223500,2479500,Notodontidae,Euhampsonia formosana,成蟲,2014,346962,3826_5545
3826_227258,257500,2654500,Notodontidae,Euhampsonia formosana,成蟲,2014,346962,3826_9052
3826_241248,247500,2682500,Notodontidae,Euhampsonia formosana,成蟲,2012,346962,3826_9650
3826_281820,319500,2763500,Notodontidae,Euhampsonia formosana,成蟲,2013,346962,3826_11264
3826_265790,289500,2731500,Notodontidae,Euhampsonia formosana,成蟲,2014,346962,3826_10658
3826_224769,268500,2649500,Notodontidae,Euhampsonia formosana,成蟲,2014,346962,3826_8954
