GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_288804,303500,2777500,Geometridae,Eumelea ludovicata,成蟲,2011,344833,3826_11561
3826_152675,174500,2505500,Geometridae,Eumelea ludovicata,成蟲,2011,344833,3826_6135
3826_271319,318500,2742500,Geometridae,Eumelea ludovicata,成蟲,2011,344833,3826_10864
3826_227756,255500,2655500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_9152
3826_234267,266500,2668500,Geometridae,Eumelea ludovicata,成蟲,2010,344833,3826_9354
3826_218230,229500,2636500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_8746
3826_297809,308500,2795500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_11962
3826_278806,305500,2757500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_11162
3826_280807,306500,2761500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_11262
3826_119234,233500,2438500,Geometridae,Eumelea ludovicata,成蟲,2011,344833,3826_4747
3826_290294,293500,2780500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_11659
3826_273826,325500,2747500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_10966
3826_226225,224500,2652500,Geometridae,Eumelea ludovicata,成蟲,2010,344833,3826_9045
3826_283807,306500,2767500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_11362
3826_282308,307500,2764500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_11262
3826_273788,287500,2747500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_10958
3826_271268,267500,2742500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_10854
3826_219243,242500,2638500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_8749
3826_279306,305500,2758500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_11162
3826_222228,227500,2644500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_8846
3826_273792,291500,2747500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_10959
3826_281312,311500,2762500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_11263
3826_297809,308500,2795500,Geometridae,Eumelea ludovicata,幼蟲,2012,344833,3826_11962
3826_232753,252500,2665500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_9351
3826_152675,174500,2505500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_6135
3826_221213,212500,2642500,Geometridae,Eumelea ludovicata,幼蟲,2012,344833,3826_8843
3826_221211,210500,2642500,Geometridae,Eumelea ludovicata,成蟲,2013,344833,3826_8843
3826_280802,301500,2761500,Geometridae,Eumelea ludovicata,成蟲,2013,344833,3826_11261
3826_152210,209500,2504500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_6042
3826_290794,293500,2781500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_11659
3826_200231,230500,2600500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_8047
3826_282307,306500,2764500,Geometridae,Eumelea ludovicata,成蟲,2012,344833,3826_11262
3826_281309,308500,2762500,Geometridae,Eumelea ludovicata,成蟲,2013,344833,3826_11262
3826_274781,280500,2749500,Geometridae,Eumelea ludovicata,成蟲,2013,344833,3826_10957
3826_173684,183500,2547500,Geometridae,Eumelea ludovicata,成蟲,2013,344833,3826_6937
3826_270276,275500,2740500,Geometridae,Eumelea ludovicata,成蟲,2013,344833,3826_10856
3826_188716,215500,2577500,Geometridae,Eumelea ludovicata,成蟲,2013,344833,3826_7544
3826_279306,305500,2758500,Geometridae,Eumelea ludovicata,成蟲,2013,344833,3826_11162
3826_291329,328500,2782500,Geometridae,Eumelea ludovicata,成蟲,2013,344833,3826_11666
3826_280787,286500,2761500,Geometridae,Eumelea ludovicata,成蟲,2013,344833,3826_11258
