GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_166722,221500,2533500,Psychidae,Eumeta pryeri,成蟲,2011,347359,3826_6645
3826_211236,235500,2622500,Psychidae,Eumeta pryeri,成蟲,2012,347359,3826_8448
3826_219243,242500,2638500,Psychidae,Eumeta pryeri,成蟲,2012,347359,3826_8749
3826_269315,314500,2738500,Psychidae,Eumeta pryeri,成蟲,2012,347359,3826_10763
3826_228220,219500,2656500,Psychidae,Eumeta pryeri,幼蟲,2013,347359,3826_9144
3826_188716,215500,2577500,Psychidae,Eumeta pryeri,成蟲,2013,347359,3826_7544
3826_247247,246500,2694500,Psychidae,Eumeta pryeri,成蟲,2013,347359,3826_9850
3826_228264,263500,2656500,Psychidae,Eumeta pryeri,成蟲,2013,347359,3826_9153
3826_187200,199500,2574500,Psychidae,Eumeta pryeri,成蟲,2014,347359,3826_7440
3826_290799,298500,2781500,Psychidae,Eumeta pryeri,成蟲,2014,347359,3826_11660
3826_274806,305500,2749500,Psychidae,Eumeta pryeri,成蟲,2014,347359,3826_10962
3826_294805,304500,2789500,Psychidae,Eumeta pryeri,幼蟲,2014,347359,3826_11761
3826_280787,286500,2761500,Psychidae,Eumeta pryeri,成蟲,2014,347359,3826_11258
3826_154218,217500,2508500,Psychidae,Eumeta pryeri,成蟲,2014,347359,3826_6144
3826_260836,335500,2721500,Psychidae,Eumeta pryeri,幼蟲,2014,347359,3826_10468
3826_232753,252500,2665500,Psychidae,Eumeta pryeri,成蟲,2015,347359,3826_9351
3826_204739,238500,2609500,Psychidae,Eumeta pryeri,成蟲,2014,347359,3826_8148
3826_298802,301500,2797500,Psychidae,Eumeta pryeri,蛹,2013,347359,3826_11961
3826_274834,333500,2749500,Psychidae,Eumeta pryeri,成蟲,2011,347359,3826_10967
3826_266771,270500,2733500,Psychidae,Eumeta pryeri,成蟲,2015,347359,3826_10655
3826_205239,238500,2610500,Psychidae,Eumeta pryeri,成蟲,2014,347359,3826_8248
3826_120726,225500,2441500,Psychidae,Eumeta pryeri,成蟲,2015,347359,3826_4846
3826_255762,261500,2711500,Psychidae,Eumeta pryeri,成蟲,2015,347359,3826_10253
3826_279306,305500,2758500,Psychidae,Eumeta pryeri,成蟲,2013,347359,3826_11162
3826_281844,343500,2763500,Psychidae,Eumeta pryeri,成蟲,2015,347359,3826_11269
3826_218230,229500,2636500,Psychidae,Eumeta pryeri,成蟲,2012,347359,3826_8746
3826_282808,307500,2765500,Psychidae,Eumeta pryeri,幼蟲,2015,347359,3826_11362
3826_291302,301500,2782500,Psychidae,Eumeta pryeri,成蟲,2016,347359,3826_11661
3826_166276,275500,2532500,Psychidae,Eumeta pryeri,成蟲,2016,347359,3826_6656
3826_287810,309500,2775500,Psychidae,Eumeta pryeri,幼蟲,2016,347359,3826_11562
3826_224749,248500,2649500,Psychidae,Eumeta pryeri,成蟲,2017,347359,3826_8950
3826_225801,300500,2651500,Psychidae,Eumeta pryeri,成蟲,2017,347359,3826_9061
3826_270749,248500,2741500,Psychidae,Eumeta pryeri,成蟲,2017,347359,3826_10850
3826_232241,240500,2664500,Psychidae,Eumeta pryeri,成蟲,2017,347359,3826_9249
3826_285313,312500,2770500,Psychidae,Eumeta pryeri,成蟲,2017,347359,3826_11463
3826_292797,296500,2785500,Psychidae,Eumeta pryeri,成蟲,2017,347359,3826_11760
3826_193218,217500,2586500,Psychidae,Eumeta pryeri,成蟲,2017,347359,3826_7744
3826_263324,323500,2726500,Psychidae,Eumeta pryeri,幼蟲,2017,347359,3826_10565
3826_281309,308500,2762500,Psychidae,Eumeta pryeri,成蟲,2017,347359,3826_11262
3826_154218,217500,2508500,Psychidae,Eumeta pryeri,成蟲,2018,347359,3826_6144
3826_293807,306500,2787500,Psychidae,Eumeta pryeri,幼蟲,2018,347359,3826_11762
3826_153184,183500,2506500,Psychidae,Eumeta pryeri,幼蟲,2017,347359,3826_6137
3826_285312,311500,2770500,Psychidae,Eumeta pryeri,成蟲,2018,347359,3826_11463
3826_282784,283500,2765500,Psychidae,Eumeta pryeri,成蟲,2018,347359,3826_11357
3826_282808,307500,2765500,Psychidae,Eumeta pryeri,成蟲,2018,347359,3826_11362
3826_282809,308500,2765500,Psychidae,Eumeta pryeri,成蟲,2019,347359,3826_11362
3826_152675,174500,2505500,Psychidae,Eumeta pryeri,成蟲,2019,347359,3826_6135
3826_232753,252500,2665500,Psychidae,Eumeta pryeri,成蟲,2019,347359,3826_9351
3826_283804,303500,2767500,Psychidae,Eumeta pryeri,成蟲,2019,347359,3826_11361
3826_170182,181500,2540500,Psychidae,Eumeta pryeri,成蟲,2019,347359,3826_6837
3826_293801,300500,2787500,Psychidae,Eumeta pryeri,成蟲,2019,347359,3826_11761
3826_197218,217500,2594500,Psychidae,Eumeta pryeri,成蟲,2019,347359,3826_7844
3826_227760,259500,2655500,Psychidae,Eumeta pryeri,成蟲,2019,347359,3826_9152
3826_256737,236500,2713500,Psychidae,Eumeta pryeri,成蟲,2019,347359,3826_10248
3826_255743,242500,2711500,Psychidae,Eumeta pryeri,成蟲,2019,347359,3826_10249
3826_224213,212500,2648500,Psychidae,Eumeta pryeri,成蟲,2019,347359,3826_8943
3826_218230,229500,2636500,Psychidae,Eumeta pryeri,成蟲,2019,347359,3826_8746
3826_187199,198500,2574500,Psychidae,Eumeta pryeri,成蟲,2019,347359,3826_7440
3826_188700,199500,2577500,Psychidae,Eumeta pryeri,成蟲,2019,347359,3826_7540
3826_198717,216500,2597500,Psychidae,Eumeta pryeri,成蟲,2019,347359,3826_7944
3826_282279,278500,2764500,Psychidae,Eumeta pryeri,幼蟲,2019,347359,3826_11256
3826_273788,287500,2747500,Psychidae,Eumeta pryeri,成蟲,2020,347359,3826_10958
3826_230247,246500,2660500,Psychidae,Eumeta pryeri,成蟲,2021,347359,3826_9250
3826_246238,237500,2692500,Psychidae,Eumeta pryeri,成蟲,2021,347359,3826_9848
3826_271751,250500,2743500,Psychidae,Eumeta pryeri,成蟲,2021,347359,3826_10851
3826_269255,254500,2738500,Psychidae,Eumeta pryeri,幼蟲,2020,347359,3826_10751
3826_293292,291500,2786500,Psychidae,Eumeta pryeri,成蟲,2022,347359,3826_11759
