GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_232268,267500,2664500,Erebidae,Euproctis baibarana,成蟲,2010,345826,3826_9254
3826_273304,303500,2746500,Erebidae,Euproctis baibarana,成蟲,2011,345826,3826_10961
3826_197218,217500,2594500,Erebidae,Euproctis baibarana,成蟲,2012,345826,3826_7844
3826_231768,267500,2663500,Erebidae,Euproctis baibarana,幼蟲,2012,345826,3826_9254
3826_265289,288500,2730500,Erebidae,Euproctis baibarana,成蟲,2012,345826,3826_10658
3826_151747,246500,2503500,Erebidae,Euproctis baibarana,幼蟲,2013,345826,3826_6050
3826_221213,212500,2642500,Erebidae,Euproctis baibarana,幼蟲,2012,345826,3826_8843
3826_280316,315500,2760500,Erebidae,Euproctis baibarana,幼蟲,2013,345826,3826_11264
3826_267778,277500,2735500,Erebidae,Euproctis baibarana,幼蟲,2013,345826,3826_10756
3826_273788,287500,2747500,Erebidae,Euproctis baibarana,幼蟲,2012,345826,3826_10958
3826_272781,280500,2745500,Erebidae,Euproctis baibarana,成蟲,2013,345826,3826_10957
3826_270276,275500,2740500,Erebidae,Euproctis baibarana,幼蟲,2013,345826,3826_10856
3826_166722,221500,2533500,Erebidae,Euproctis baibarana,幼蟲,2013,345826,3826_6645
3826_264779,278500,2729500,Erebidae,Euproctis baibarana,幼蟲,2013,345826,3826_10556
3826_198719,218500,2597500,Erebidae,Euproctis baibarana,成蟲,2013,345826,3826_7944
3826_200216,215500,2600500,Erebidae,Euproctis baibarana,幼蟲,2012,345826,3826_8044
3826_272276,275500,2744500,Erebidae,Euproctis baibarana,幼蟲,2014,345826,3826_10856
3826_175725,224500,2551500,Erebidae,Euproctis baibarana,成蟲,2014,345826,3826_7045
3826_158760,259500,2517500,Erebidae,Euproctis baibarana,幼蟲,2014,345826,3826_6352
3826_215255,254500,2630500,Erebidae,Euproctis baibarana,成蟲,2014,345826,3826_8651
3826_256762,261500,2713500,Erebidae,Euproctis baibarana,幼蟲,2014,345826,3826_10253
3826_265782,281500,2731500,Erebidae,Euproctis baibarana,幼蟲,2014,345826,3826_10657
3826_280805,304500,2761500,Erebidae,Euproctis baibarana,幼蟲,2014,345826,3826_11261
3826_198220,219500,2596500,Erebidae,Euproctis baibarana,成蟲,2015,345826,3826_7944
3826_264279,278500,2728500,Erebidae,Euproctis baibarana,幼蟲,2015,345826,3826_10556
3826_209230,229500,2618500,Erebidae,Euproctis baibarana,幼蟲,2015,345826,3826_8346
3826_154218,217500,2508500,Erebidae,Euproctis baibarana,成蟲,2011,345826,3826_6144
3826_265768,267500,2731500,Erebidae,Euproctis baibarana,幼蟲,2015,345826,3826_10654
3826_272277,276500,2744500,Erebidae,Euproctis baibarana,幼蟲,2013,345826,3826_10856
3826_276805,304500,2753500,Erebidae,Euproctis baibarana,幼蟲,2012,345826,3826_11061
3826_237248,247500,2674500,Erebidae,Euproctis baibarana,幼蟲,2016,345826,3826_9450
3826_273279,278500,2746500,Erebidae,Euproctis baibarana,幼蟲,2013,345826,3826_10956
3826_228250,249500,2656500,Erebidae,Euproctis baibarana,幼蟲,2016,345826,3826_9150
3826_221802,301500,2643500,Erebidae,Euproctis baibarana,幼蟲,2013,345826,3826_8861
3826_227759,258500,2655500,Erebidae,Euproctis baibarana,成蟲,2015,345826,3826_9152
3826_275307,306500,2750500,Erebidae,Euproctis baibarana,幼蟲,2016,345826,3826_11062
3826_237230,229500,2674500,Erebidae,Euproctis baibarana,幼蟲,2016,345826,3826_9446
3826_212729,228500,2625500,Erebidae,Euproctis baibarana,成蟲,2016,345826,3826_8546
3826_272276,275500,2744500,Erebidae,Euproctis baibarana,幼蟲,2016,345826,3826_10856
3826_218742,241500,2637500,Erebidae,Euproctis baibarana,幼蟲,2016,345826,3826_8749
3826_238251,250500,2676500,Erebidae,Euproctis baibarana,幼蟲,2016,345826,3826_9551
3826_265768,267500,2731500,Erebidae,Euproctis baibarana,幼蟲,2016,345826,3826_10654
3826_269280,279500,2738500,Erebidae,Euproctis baibarana,幼蟲,2016,345826,3826_10756
3826_166722,221500,2533500,Erebidae,Euproctis baibarana,幼蟲,2016,345826,3826_6645
