GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_274305,304500,2748500,Noctuidae,Exsula albomaculata,幼蟲,2012,444730,3826_10961
3826_290829,328500,2781500,Noctuidae,Exsula albomaculata,幼蟲,2012,444730,3826_11666
3826_297809,308500,2795500,Noctuidae,Exsula albomaculata,幼蟲,2012,444730,3826_11962
3826_280795,294500,2761500,Noctuidae,Exsula albomaculata,成蟲,2012,444730,3826_11259
3826_277792,291500,2755500,Noctuidae,Exsula albomaculata,成蟲,2012,444730,3826_11159
3826_279306,305500,2758500,Noctuidae,Exsula albomaculata,成蟲,2012,444730,3826_11162
3826_276805,304500,2753500,Noctuidae,Exsula albomaculata,幼蟲,2012,444730,3826_11061
3826_270270,269500,2740500,Noctuidae,Exsula albomaculata,幼蟲,2012,444730,3826_10854
3826_280304,303500,2760500,Noctuidae,Exsula albomaculata,成蟲,2012,444730,3826_11261
3826_273779,278500,2747500,Noctuidae,Exsula albomaculata,成蟲,2012,444730,3826_10956
3826_281812,311500,2763500,Noctuidae,Exsula albomaculata,成蟲,2012,444730,3826_11263
3826_282336,335500,2764500,Noctuidae,Exsula albomaculata,幼蟲,2013,444730,3826_11268
3826_277807,306500,2755500,Noctuidae,Exsula albomaculata,成蟲,2013,444730,3826_11162
3826_281813,312500,2763500,Noctuidae,Exsula albomaculata,幼蟲,2013,444730,3826_11263
3826_291805,304500,2783500,Noctuidae,Exsula albomaculata,成蟲,2013,444730,3826_11661
3826_280815,314500,2761500,Noctuidae,Exsula albomaculata,幼蟲,2013,444730,3826_11263
3826_281334,333500,2762500,Noctuidae,Exsula albomaculata,幼蟲,2013,444730,3826_11267
3826_274305,304500,2748500,Noctuidae,Exsula albomaculata,成蟲,2013,444730,3826_10961
3826_277783,282500,2755500,Noctuidae,Exsula albomaculata,成蟲,2014,444730,3826_11157
3826_268824,323500,2737500,Noctuidae,Exsula albomaculata,成蟲,2013,444730,3826_10765
3826_209217,216500,2618500,Noctuidae,Exsula albomaculata,成蟲,2014,444730,3826_8344
3826_281800,299500,2763500,Noctuidae,Exsula albomaculata,成蟲,2014,444730,3826_11260
3826_279316,315500,2758500,Noctuidae,Exsula albomaculata,成蟲,2013,444730,3826_11164
3826_290829,328500,2781500,Noctuidae,Exsula albomaculata,成蟲,2013,444730,3826_11666
3826_269811,310500,2739500,Noctuidae,Exsula albomaculata,成蟲,2013,444730,3826_10763
3826_279801,300500,2759500,Noctuidae,Exsula albomaculata,成蟲,2014,444730,3826_11161
3826_270278,277500,2740500,Noctuidae,Exsula albomaculata,成蟲,2014,444730,3826_10856
3826_273804,303500,2747500,Noctuidae,Exsula albomaculata,成蟲,2014,444730,3826_10961
3826_279301,300500,2758500,Noctuidae,Exsula albomaculata,成蟲,2014,444730,3826_11161
3826_287811,310500,2775500,Noctuidae,Exsula albomaculata,成蟲,2014,444730,3826_11563
3826_285313,312500,2770500,Noctuidae,Exsula albomaculata,成蟲,2014,444730,3826_11463
3826_281810,309500,2763500,Noctuidae,Exsula albomaculata,成蟲,2014,444730,3826_11262
3826_152714,213500,2505500,Noctuidae,Exsula albomaculata,成蟲,2014,444730,3826_6143
3826_287813,312500,2775500,Noctuidae,Exsula albomaculata,成蟲,2014,444730,3826_11563
3826_140225,224500,2480500,Noctuidae,Exsula albomaculata,幼蟲,2014,444730,3826_5645
3826_279291,290500,2758500,Noctuidae,Exsula albomaculata,成蟲,2014,444730,3826_11159
3826_209219,218500,2618500,Noctuidae,Exsula albomaculata,成蟲,2014,444730,3826_8344
3826_281309,308500,2762500,Noctuidae,Exsula albomaculata,成蟲,2014,444730,3826_11262
3826_263253,252500,2726500,Noctuidae,Exsula albomaculata,成蟲,2015,444730,3826_10551
3826_271271,270500,2742500,Noctuidae,Exsula albomaculata,幼蟲,2014,444730,3826_10855
3826_274305,304500,2748500,Noctuidae,Exsula albomaculata,成蟲,2015,444730,3826_10961
3826_277786,285500,2755500,Noctuidae,Exsula albomaculata,成蟲,2015,444730,3826_11158
3826_283807,306500,2767500,Noctuidae,Exsula albomaculata,成蟲,2015,444730,3826_11362
3826_263260,259500,2726500,Noctuidae,Exsula albomaculata,成蟲,2015,444730,3826_10552
3826_222246,245500,2644500,Noctuidae,Exsula albomaculata,成蟲,2015,444730,3826_8850
3826_280805,304500,2761500,Noctuidae,Exsula albomaculata,成蟲,2012,444730,3826_11261
3826_273792,291500,2747500,Noctuidae,Exsula albomaculata,成蟲,2015,444730,3826_10959
