GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_292805,304500,2785500,Geometridae,Fascellina chromataria,成蟲,2011,344876,3826_11761
3826_269263,262500,2738500,Geometridae,Fascellina chromataria,成蟲,2010,344876,3826_10753
3826_291805,304500,2783500,Geometridae,Fascellina chromataria,幼蟲,2011,344876,3826_11661
3826_245826,325500,2691500,Geometridae,Fascellina chromataria,成蟲,2020,344876,3826_9866
3826_140224,223500,2480500,Geometridae,Fascellina chromataria,成蟲,2011,344876,3826_5645
3826_238752,251500,2677500,Geometridae,Fascellina chromataria,成蟲,2011,344876,3826_9551
3826_166722,221500,2533500,Geometridae,Fascellina chromataria,成蟲,2011,344876,3826_6645
3826_258232,231500,2716500,Geometridae,Fascellina chromataria,成蟲,2015,344876,3826_10347
3826_297809,308500,2795500,Geometridae,Fascellina chromataria,成蟲,2012,344876,3826_11962
3826_283326,325500,2766500,Geometridae,Fascellina chromataria,成蟲,2012,344876,3826_11366
3826_295802,301500,2791500,Geometridae,Fascellina chromataria,成蟲,2012,344876,3826_11861
3826_280304,303500,2760500,Geometridae,Fascellina chromataria,幼蟲,2012,344876,3826_11261
3826_218230,229500,2636500,Geometridae,Fascellina chromataria,成蟲,2012,344876,3826_8746
3826_286791,290500,2773500,Geometridae,Fascellina chromataria,成蟲,2012,344876,3826_11459
3826_202207,206500,2604500,Geometridae,Fascellina chromataria,成蟲,2012,344876,3826_8042
3826_204739,238500,2609500,Geometridae,Fascellina chromataria,成蟲,2012,344876,3826_8148
3826_274305,304500,2748500,Geometridae,Fascellina chromataria,幼蟲,2012,344876,3826_10961
3826_273788,287500,2747500,Geometridae,Fascellina chromataria,成蟲,2012,344876,3826_10958
3826_275764,263500,2751500,Geometridae,Fascellina chromataria,成蟲,2012,344876,3826_11053
3826_283292,291500,2766500,Geometridae,Fascellina chromataria,成蟲,2012,344876,3826_11359
3826_282307,306500,2764500,Geometridae,Fascellina chromataria,成蟲,2012,344876,3826_11262
3826_282806,305500,2765500,Geometridae,Fascellina chromataria,成蟲,2012,344876,3826_11362
3826_284810,309500,2769500,Geometridae,Fascellina chromataria,成蟲,2011,344876,3826_11362
3826_290794,293500,2781500,Geometridae,Fascellina chromataria,成蟲,2012,344876,3826_11659
3826_291801,300500,2783500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_11661
3826_271769,268500,2743500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_10854
3826_275267,266500,2750500,Geometridae,Fascellina chromataria,幼蟲,2013,344876,3826_11054
3826_188716,215500,2577500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_7544
3826_279306,305500,2758500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_11162
3826_150219,218500,2500500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_6044
3826_269811,310500,2739500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_10763
3826_266771,270500,2733500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_10655
3826_290315,314500,2780500,Geometridae,Fascellina chromataria,幼蟲,2011,344876,3826_11663
3826_288304,303500,2776500,Geometridae,Fascellina chromataria,幼蟲,2012,344876,3826_11561
3826_290304,303500,2780500,Geometridae,Fascellina chromataria,成蟲,2012,344876,3826_11661
3826_283807,306500,2767500,Geometridae,Fascellina chromataria,成蟲,2012,344876,3826_11362
3826_273826,325500,2747500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_10966
3826_275267,266500,2750500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_11054
3826_212212,211500,2624500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_8443
3826_297809,308500,2795500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_11962
3826_247247,246500,2694500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_9850
3826_284308,307500,2768500,Geometridae,Fascellina chromataria,成蟲,2012,344876,3826_11362
3826_264779,278500,2729500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_10556
3826_282806,305500,2765500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11362
3826_282805,304500,2765500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11361
3826_288804,303500,2777500,Geometridae,Fascellina chromataria,幼蟲,2014,344876,3826_11561
3826_287813,312500,2775500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11563
3826_291329,328500,2782500,Geometridae,Fascellina chromataria,幼蟲,2014,344876,3826_11666
3826_238794,293500,2677500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_9559
3826_283807,306500,2767500,Geometridae,Fascellina chromataria,幼蟲,2013,344876,3826_11362
3826_289802,301500,2779500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_11561
3826_290799,298500,2781500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11660
3826_281800,299500,2763500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11260
3826_279306,305500,2758500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11162
3826_273284,283500,2746500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_10957
3826_256234,233500,2712500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_10247
3826_289336,335500,2778500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11568
3826_291301,300500,2782500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11661
3826_291805,304500,2783500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11661
3826_227258,257500,2654500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_9052
3826_282300,299500,2764500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11260
3826_288825,324500,2777500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_11565
3826_287804,303500,2775500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11561
3826_225806,305500,2651500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_9062
3826_282809,308500,2765500,Geometridae,Fascellina chromataria,幼蟲,2014,344876,3826_11362
3826_290323,322500,2780500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11665
3826_277768,267500,2755500,Geometridae,Fascellina chromataria,幼蟲,2014,344876,3826_11154
3826_277268,267500,2754500,Geometridae,Fascellina chromataria,幼蟲,2014,344876,3826_11054
3826_187200,199500,2574500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_7440
3826_175223,222500,2550500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_7045
3826_174221,220500,2548500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_6945
3826_281309,308500,2762500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11262
3826_291329,328500,2782500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_11666
3826_295316,315500,2790500,Geometridae,Fascellina chromataria,成蟲,2012,344876,3826_11864
3826_242231,230500,2684500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_9647
3826_290827,326500,2781500,Geometridae,Fascellina chromataria,幼蟲,2014,344876,3826_11666
3826_266794,293500,2733500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_10659
3826_237791,290500,2675500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_9559
3826_277819,318500,2755500,Geometridae,Fascellina chromataria,幼蟲,2014,344876,3826_11164
3826_281820,319500,2763500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_11264
3826_281309,308500,2762500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_11262
3826_274805,304500,2749500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_10961
3826_237746,245500,2675500,Geometridae,Fascellina chromataria,幼蟲,2011,344876,3826_9550
3826_290827,326500,2781500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11666
3826_170217,216500,2540500,Geometridae,Fascellina chromataria,幼蟲,2014,344876,3826_6844
3826_281810,309500,2763500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11262
3826_228746,245500,2657500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_9150
3826_158223,222500,2516500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_6345
3826_238800,299500,2677500,Geometridae,Fascellina chromataria,成蟲,2013,344876,3826_9560
3826_286306,305500,2772500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11462
3826_283807,306500,2767500,Geometridae,Fascellina chromataria,成蟲,2015,344876,3826_11362
3826_282292,291500,2764500,Geometridae,Fascellina chromataria,成蟲,2015,344876,3826_11259
3826_284812,311500,2769500,Geometridae,Fascellina chromataria,成蟲,2015,344876,3826_11363
3826_195215,214500,2590500,Geometridae,Fascellina chromataria,成蟲,2015,344876,3826_7843
3826_294299,298500,2788500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11760
3826_297809,308500,2795500,Geometridae,Fascellina chromataria,幼蟲,2014,344876,3826_11962
3826_281820,319500,2763500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11264
3826_280801,300500,2761500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11261
3826_281301,300500,2762500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11261
3826_285313,312500,2770500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_11463
3826_239253,252500,2678500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_9551
3826_223302,301500,2646500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_8961
3826_263798,297500,2727500,Geometridae,Fascellina chromataria,成蟲,2014,344876,3826_10560
