GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_282307,306500,2764500,Erebidae,Garudinia taioana,成蟲,2021,444041,3826_11262
3826_166722,221500,2533500,Erebidae,Garudinia taioana,成蟲,2011,444041,3826_6645
3826_218230,229500,2636500,Erebidae,Garudinia taioana,成蟲,2012,444041,3826_8746
3826_219243,242500,2638500,Erebidae,Garudinia taioana,成蟲,2012,444041,3826_8749
3826_287813,312500,2775500,Erebidae,Garudinia taioana,成蟲,2012,444041,3826_11563
3826_287811,310500,2775500,Erebidae,Garudinia taioana,成蟲,2012,444041,3826_11563
3826_187200,199500,2574500,Erebidae,Garudinia taioana,成蟲,2012,444041,3826_7440
3826_273788,287500,2747500,Erebidae,Garudinia taioana,成蟲,2012,444041,3826_10958
3826_282307,306500,2764500,Erebidae,Garudinia taioana,成蟲,2012,444041,3826_11262
3826_155753,252500,2511500,Erebidae,Garudinia taioana,成蟲,2013,444041,3826_6251
3826_284810,309500,2769500,Erebidae,Garudinia taioana,成蟲,2011,444041,3826_11362
3826_281810,309500,2763500,Erebidae,Garudinia taioana,成蟲,2013,444041,3826_11262
3826_210713,212500,2621500,Erebidae,Garudinia taioana,成蟲,2013,444041,3826_8443
3826_188716,215500,2577500,Erebidae,Garudinia taioana,成蟲,2013,444041,3826_7544
3826_282792,291500,2765500,Erebidae,Garudinia taioana,成蟲,2013,444041,3826_11359
3826_282313,312500,2764500,Erebidae,Garudinia taioana,成蟲,2013,444041,3826_11263
3826_281309,308500,2762500,Erebidae,Garudinia taioana,成蟲,2013,444041,3826_11262
3826_282809,308500,2765500,Erebidae,Garudinia taioana,成蟲,2013,444041,3826_11362
3826_236314,313500,2672500,Erebidae,Garudinia taioana,成蟲,2013,444041,3826_9463
3826_150219,218500,2500500,Erebidae,Garudinia taioana,成蟲,2013,444041,3826_6044
3826_169279,278500,2538500,Erebidae,Garudinia taioana,成蟲,2014,444041,3826_6756
3826_281305,304500,2762500,Erebidae,Garudinia taioana,成蟲,2014,444041,3826_11261
3826_280787,286500,2761500,Erebidae,Garudinia taioana,成蟲,2013,444041,3826_11258
3826_114731,230500,2429500,Erebidae,Garudinia taioana,成蟲,2014,444041,3826_4547
3826_283807,306500,2767500,Erebidae,Garudinia taioana,成蟲,2014,444041,3826_11362
3826_229312,311500,2658500,Erebidae,Garudinia taioana,成蟲,2014,444041,3826_9163
3826_282809,308500,2765500,Erebidae,Garudinia taioana,成蟲,2014,444041,3826_11362
3826_269811,310500,2739500,Erebidae,Garudinia taioana,成蟲,2014,444041,3826_10763
3826_280795,294500,2761500,Erebidae,Garudinia taioana,成蟲,2015,444041,3826_11259
3826_283807,306500,2767500,Erebidae,Garudinia taioana,成蟲,2015,444041,3826_11362
3826_287807,306500,2775500,Erebidae,Garudinia taioana,成蟲,2015,444041,3826_11562
3826_152712,211500,2505500,Erebidae,Garudinia taioana,成蟲,2015,444041,3826_6143
3826_220810,309500,2641500,Erebidae,Garudinia taioana,成蟲,2015,444041,3826_8862
3826_280304,303500,2760500,Erebidae,Garudinia taioana,成蟲,2015,444041,3826_11261
3826_223302,301500,2646500,Erebidae,Garudinia taioana,成蟲,2014,444041,3826_8961
3826_280809,308500,2761500,Erebidae,Garudinia taioana,成蟲,2014,444041,3826_11262
3826_287813,312500,2775500,Erebidae,Garudinia taioana,成蟲,2013,444041,3826_11563
3826_279306,305500,2758500,Erebidae,Garudinia taioana,成蟲,2013,444041,3826_11162
3826_279306,305500,2758500,Erebidae,Garudinia taioana,成蟲,2014,444041,3826_11162
3826_221239,238500,2642500,Erebidae,Garudinia taioana,成蟲,2015,444041,3826_8848
3826_279306,305500,2758500,Erebidae,Garudinia taioana,成蟲,2015,444041,3826_11162
3826_287810,309500,2775500,Erebidae,Garudinia taioana,成蟲,2015,444041,3826_11562
3826_198220,219500,2596500,Erebidae,Garudinia taioana,成蟲,2015,444041,3826_7944
3826_195215,214500,2590500,Erebidae,Garudinia taioana,成蟲,2015,444041,3826_7843
3826_232753,252500,2665500,Erebidae,Garudinia taioana,成蟲,2015,444041,3826_9351
3826_218230,229500,2636500,Erebidae,Garudinia taioana,成蟲,2011,444041,3826_8746
3826_152714,213500,2505500,Erebidae,Garudinia taioana,成蟲,2015,444041,3826_6143
3826_287312,311500,2774500,Erebidae,Garudinia taioana,成蟲,2015,444041,3826_11463
3826_281309,308500,2762500,Erebidae,Garudinia taioana,成蟲,2015,444041,3826_11262
3826_280304,303500,2760500,Erebidae,Garudinia taioana,成蟲,2016,444041,3826_11261
3826_194707,206500,2589500,Erebidae,Garudinia taioana,成蟲,2016,444041,3826_7742
3826_287810,309500,2775500,Erebidae,Garudinia taioana,成蟲,2016,444041,3826_11562
3826_284814,313500,2769500,Erebidae,Garudinia taioana,成蟲,2016,444041,3826_11363
3826_282808,307500,2765500,Erebidae,Garudinia taioana,成蟲,2016,444041,3826_11362
3826_228250,249500,2656500,Erebidae,Garudinia taioana,成蟲,2016,444041,3826_9150
3826_287811,310500,2775500,Erebidae,Garudinia taioana,成蟲,2016,444041,3826_11563
3826_279803,302500,2759500,Erebidae,Garudinia taioana,成蟲,2016,444041,3826_11161
3826_279305,304500,2758500,Erebidae,Garudinia taioana,成蟲,2016,444041,3826_11161
3826_237230,229500,2674500,Erebidae,Garudinia taioana,成蟲,2016,444041,3826_9446
3826_211732,231500,2623500,Erebidae,Garudinia taioana,成蟲,2015,444041,3826_8447
3826_212229,228500,2624500,Erebidae,Garudinia taioana,成蟲,2015,444041,3826_8446
3826_281810,309500,2763500,Erebidae,Garudinia taioana,成蟲,2015,444041,3826_11262
3826_273826,325500,2747500,Erebidae,Garudinia taioana,成蟲,2016,444041,3826_10966
3826_288310,309500,2776500,Erebidae,Garudinia taioana,成蟲,2016,444041,3826_11562
3826_227744,243500,2655500,Erebidae,Garudinia taioana,成蟲,2016,444041,3826_9149
