GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_290294,293500,2780500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2010,447853,3826_11659
3826_278801,300500,2757500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2011,447853,3826_11161
3826_273788,287500,2747500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2012,447853,3826_10958
3826_285781,280500,2771500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2012,447853,3826_11457
3826_198719,218500,2597500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2011,447853,3826_7944
3826_290805,304500,2781500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2012,447853,3826_11661
3826_272276,275500,2744500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2013,447853,3826_10856
3826_290802,301500,2781500,Lasiocampidae,Gastropacha horishana horishana,幼蟲,2013,447853,3826_11661
3826_239300,299500,2678500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2013,447853,3826_9560
3826_187200,199500,2574500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2014,447853,3826_7440
3826_220810,309500,2641500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2014,447853,3826_8862
3826_227258,257500,2654500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2014,447853,3826_9052
3826_280787,286500,2761500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2013,447853,3826_11258
3826_281820,319500,2763500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2013,447853,3826_11264
3826_287813,312500,2775500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2014,447853,3826_11563
3826_140715,214500,2481500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2014,447853,3826_5643
3826_237248,247500,2674500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2015,447853,3826_9450
3826_281810,309500,2763500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2014,447853,3826_11262
3826_215255,254500,2630500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2014,447853,3826_8651
3826_270777,276500,2741500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2014,447853,3826_10856
3826_290294,293500,2780500,Lasiocampidae,Gastropacha horishana horishana,卵,2010,447853,3826_11659
3826_285793,292500,2771500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2015,447853,3826_11459
3826_279306,305500,2758500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2012,447853,3826_11162
3826_279306,305500,2758500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2013,447853,3826_11162
3826_291801,300500,2783500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2012,447853,3826_11661
3826_212229,228500,2624500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2015,447853,3826_8446
3826_252226,225500,2704500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2015,447853,3826_10046
3826_290805,304500,2781500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2013,447853,3826_11661
3826_225806,305500,2651500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2016,447853,3826_9062
3826_280805,304500,2761500,Lasiocampidae,Gastropacha horishana horishana,幼蟲,2016,447853,3826_11261
3826_292797,296500,2785500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2016,447853,3826_11760
3826_270777,276500,2741500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2016,447853,3826_10856
3826_285313,312500,2770500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2017,447853,3826_11463
3826_281810,309500,2763500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2017,447853,3826_11262
3826_190782,281500,2581500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2016,447853,3826_7657
3826_229225,224500,2658500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2017,447853,3826_9145
3826_272789,288500,2745500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2013,447853,3826_10958
3826_280805,304500,2761500,Lasiocampidae,Gastropacha horishana horishana,幼蟲,2018,447853,3826_11261
3826_154218,217500,2508500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2018,447853,3826_6144
3826_269273,272500,2738500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2018,447853,3826_10755
3826_287294,293500,2774500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2018,447853,3826_11459
3826_227760,259500,2655500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2018,447853,3826_9152
3826_269271,270500,2738500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2018,447853,3826_10755
3826_130734,233500,2461500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2017,447853,3826_5247
3826_293308,307500,2786500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2019,447853,3826_11762
3826_182206,205500,2564500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2014,447853,3826_7242
3826_178768,267500,2557500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2019,447853,3826_7154
3826_281310,309500,2762500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2019,447853,3826_11262
3826_154218,217500,2508500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2013,447853,3826_6144
3826_254738,237500,2709500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2019,447853,3826_10148
3826_251728,227500,2703500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2019,447853,3826_10046
3826_139724,223500,2479500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2014,447853,3826_5545
3826_259249,248500,2718500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2019,447853,3826_10350
3826_159220,219500,2518500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2014,447853,3826_6344
3826_197218,217500,2594500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2019,447853,3826_7844
3826_282784,283500,2765500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2019,447853,3826_11357
3826_139724,223500,2479500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2013,447853,3826_5545
3826_281810,309500,2763500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2020,447853,3826_11262
3826_130234,233500,2460500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2020,447853,3826_5247
3826_175724,223500,2551500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2020,447853,3826_7045
3826_257745,244500,2715500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2019,447853,3826_10349
3826_281310,309500,2762500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2020,447853,3826_11262
3826_159220,219500,2518500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2020,447853,3826_6344
3826_158223,222500,2516500,Lasiocampidae,Gastropacha horishana horishana,成蟲,2016,447853,3826_6345
